col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 201st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Stephen Kinsey,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Mary Jo Daley,Vincent Hughes,Blondell Reynolds Brown,Nicole Allen White,Mark Aronchick,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,Waleed Shahid,William Leopold,Margaret Lenzi,Tonya Diane Bah,All
Stephen Kinsey,"1,005","8,262","6,372","5,973","5,674","4,993","4,807","4,803","4,716","4,575","4,553","4,459","4,252","4,124","3,888","3,405","2,946","2,848","2,664","2,559","2,483","2,483","2,443","2,424","2,414",All
Cindy Bass,,365,"6,267","5,977","5,781","5,079","4,963","4,854","4,822","4,657","4,695","4,568","4,299","4,293","1,556","1,476","1,248","1,088",997,935,863,827,867,848,807,All
Malcolm Kenyatta,,,51,"5,730","5,688","4,827","4,716","4,600","4,522","4,397","4,535","4,393","4,167","4,153","1,458","1,339","1,149",969,875,852,819,783,810,776,728,All
Katherine J Gilmore,,,,64,"5,410","4,526","4,570","4,272","4,221","4,259","4,365","4,252","4,015","4,066","1,265","1,089",916,782,714,650,635,575,605,603,537,All
Jerry T Jordan,,,,,20,"4,485","4,441","4,209","4,156","4,131","4,342","4,139","3,962","3,963","1,207","1,174",888,737,694,644,638,556,624,574,522,All
Ken Washington,,,,,,16,"4,555","4,540","4,430","4,503","4,417","4,430","4,233","4,249",823,746,866,737,642,631,584,586,627,600,552,All
Mary Jo Daley,,,,,,,16,"4,221","4,185","4,250","4,545","4,269","4,037","4,087",716,618,749,580,551,513,496,392,445,454,399,All
Vincent Hughes,,,,,,,,9,"4,633","4,405","4,113","4,263","4,208","4,063",692,621,766,598,524,539,446,582,609,630,504,All
Blondell Reynolds Brown,,,,,,,,,14,"4,329","4,053","4,194","4,095","4,032",623,524,713,521,448,478,383,483,508,537,437,All
Nicole Allen White,,,,,,,,,,13,"4,110","4,275","4,168","4,100",603,528,654,548,464,477,395,529,516,593,452,All
Mark Aronchick,,,,,,,,,,,8,"4,158","3,951","3,992",688,633,736,591,511,497,491,397,464,450,370,All
Michelle W Singer,,,,,,,,,,,,2,"4,060","4,157",530,472,590,447,410,455,337,429,461,508,370,All
Joe Foster,,,,,,,,,,,,,2,"3,913",568,496,580,479,412,442,356,497,485,515,389,All
Heather A Steinmiller,,,,,,,,,,,,,,2,430,356,457,335,299,314,252,298,329,392,291,All
Yasmeen Kaboud,,,,,,,,,,,,,,,91,"3,068","2,572","2,635","2,507","2,405","2,453","2,321","2,278","2,207","2,280",All
Lou Agre,,,,,,,,,,,,,,,,33,"2,510","2,528","2,456","2,330","2,400","2,210","2,273","2,168","2,215",All
Sherrie Cohen,,,,,,,,,,,,,,,,,8,"2,596","2,552","2,401","2,463","2,248","2,343","2,238","2,288",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,16,"2,530","2,378","2,470","2,264","2,276","2,167","2,252",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,7,"2,336","2,408","2,174","2,220","2,163","2,227",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,2,"2,270","2,189","2,241","2,161","2,224",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,4,"2,129","2,187","2,085","2,146",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,1,"2,214","2,181","2,159",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,1,"2,219","2,203",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,1,"2,143",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,"13,106","9,474","7,157","6,704","6,315","5,584","5,358","5,357","5,277","5,086","5,077","4,958","4,696","4,584","4,418","3,862","3,346","3,243","3,022","2,891","2,831","2,794","2,765","2,745","2,734",All
