col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,United States Senator - Democrat,,,,All
,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Betsy May Kilkenny,Linda A Fields,Henry Albert,Val Arkoosh,Melissa Robbins,Bev Hahn,Charles Quann,Mike Stack,Elaine Tomlin,Louis Farinella,W Gerard Oleksiak,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Allyson Y Schwartz,2,17,18,35,17,14,32,10,10,28,28,29,30,23,27,20,12,7,All
Michael J Rahming,,2,32,10,29,32,12,31,29,6,8,6,6,2,13,14,17,4,All
Mark B Cohen,,,0,11,36,39,12,33,30,9,13,8,10,8,16,14,11,4,All
Betsy May Kilkenny,,,,0,10,9,29,5,4,28,23,27,26,23,18,16,4,1,All
Linda A Fields,,,,,0,35,10,32,31,6,10,6,7,5,14,13,10,3,All
Henry Albert,,,,,,0,9,34,31,7,10,6,7,7,11,14,11,3,All
Val Arkoosh,,,,,,,0,7,5,26,22,24,24,21,18,12,4,1,All
Melissa Robbins,,,,,,,,0,31,4,7,3,2,3,8,13,11,3,All
Bev Hahn,,,,,,,,,0,4,7,5,3,3,8,10,10,4,All
Charles Quann,,,,,,,,,,0,24,27,24,23,16,12,3,1,All
Mike Stack,,,,,,,,,,,0,24,22,22,14,14,4,1,All
Elaine Tomlin,,,,,,,,,,,,0,26,22,15,11,3,2,All
Louis Farinella,,,,,,,,,,,,,0,21,17,9,4,0,All
W Gerard Oleksiak,,,,,,,,,,,,,,0,13,10,3,0,All
Katie Mcginty,,,,,,,,,,,,,,,8,0,0,0,All
Joe Sestak,,,,,,,,,,,,,,,,3,0,0,All
John Fetterman,,,,,,,,,,,,,,,,,1,0,All
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,0,All
Total,70,53,46,41,41,40,37,36,33,33,33,32,31,26,49,40,26,9,All
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,United States Senator - Democrat,,,,24
,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Betsy May Kilkenny,Linda A Fields,Henry Albert,Val Arkoosh,Melissa Robbins,Bev Hahn,Charles Quann,Mike Stack,Elaine Tomlin,Louis Farinella,W Gerard Oleksiak,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,24
Allyson Y Schwartz,2,17,18,35,17,14,32,10,10,28,28,29,30,23,27,20,12,7,24
Michael J Rahming,,2,32,10,29,32,12,31,29,6,8,6,6,2,13,14,17,4,24
Mark B Cohen,,,0,11,36,39,12,33,30,9,13,8,10,8,16,14,11,4,24
Betsy May Kilkenny,,,,0,10,9,29,5,4,28,23,27,26,23,18,16,4,1,24
Linda A Fields,,,,,0,35,10,32,31,6,10,6,7,5,14,13,10,3,24
Henry Albert,,,,,,0,9,34,31,7,10,6,7,7,11,14,11,3,24
Val Arkoosh,,,,,,,0,7,5,26,22,24,24,21,18,12,4,1,24
Melissa Robbins,,,,,,,,0,31,4,7,3,2,3,8,13,11,3,24
Bev Hahn,,,,,,,,,0,4,7,5,3,3,8,10,10,4,24
Charles Quann,,,,,,,,,,0,24,27,24,23,16,12,3,1,24
Mike Stack,,,,,,,,,,,0,24,22,22,14,14,4,1,24
Elaine Tomlin,,,,,,,,,,,,0,26,22,15,11,3,2,24
Louis Farinella,,,,,,,,,,,,,0,21,17,9,4,0,24
W Gerard Oleksiak,,,,,,,,,,,,,,0,13,10,3,0,24
Katie Mcginty,,,,,,,,,,,,,,,8,0,0,0,24
Joe Sestak,,,,,,,,,,,,,,,,3,0,0,24
John Fetterman,,,,,,,,,,,,,,,,,1,0,24
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,0,24
Total,70,53,46,41,41,40,37,36,33,33,33,32,31,26,49,40,26,9,24
