col_1,col_2,col_3,division
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,All
,John J Taylor,Otto Voit,All
John J Taylor,57,114,All
Otto Voit,,3,All
Total,171,117,All
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,1
,John J Taylor,Otto Voit,1
John J Taylor,0,4,1
Otto Voit,,0,1
Total,4,4,1
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,3
,John J Taylor,Otto Voit,3
John J Taylor,1,2,3
Otto Voit,,0,3
Total,3,2,3
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,4
,John J Taylor,Otto Voit,4
John J Taylor,3,15,4
Otto Voit,,1,4
Total,18,16,4
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,8
,John J Taylor,Otto Voit,8
John J Taylor,8,15,8
Otto Voit,,1,8
Total,23,16,8
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,9
,John J Taylor,Otto Voit,9
John J Taylor,9,33,9
Otto Voit,,0,9
Total,42,33,9
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,13
,John J Taylor,Otto Voit,13
John J Taylor,12,20,13
Otto Voit,,0,13
Total,32,20,13
,Representative In The General Assembly 177th District - Republican,State Treasurer - Republican,14
,John J Taylor,Otto Voit,14
John J Taylor,24,25,14
Otto Voit,,1,14
Total,49,26,14
