col_1,col_2,col_3,col_4,col_5,division
,State Treasurer - Democrat,Attorney General - Democrat,,,All
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,All
Joe Torsella,98,"2,904","2,704",702,All
Stephen A Zappala Jr,,974,0,0,All
Josh Shapiro,,,833,0,All
John Morganelli,,,,120,All
Total,"6,408","3,878","3,537",822,All
,State Treasurer - Democrat,Attorney General - Democrat,,,1
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,1
Joe Torsella,2,43,31,11,1
Josh Shapiro,,6,0,0,1
Stephen A Zappala Jr,,,7,0,1
John Morganelli,,,,1,1
Total,87,49,38,12,1
,State Treasurer - Democrat,Attorney General - Democrat,,,2
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,2
Joe Torsella,3,60,53,10,2
Josh Shapiro,,28,0,0,2
Stephen A Zappala Jr,,,17,0,2
John Morganelli,,,,3,2
Total,126,88,70,13,2
,State Treasurer - Democrat,Attorney General - Democrat,,,3
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,3
Joe Torsella,2,115,93,16,3
Stephen A Zappala Jr,,20,0,0,3
Josh Shapiro,,,36,0,3
John Morganelli,,,,4,3
Total,226,135,129,20,3
,State Treasurer - Democrat,Attorney General - Democrat,,,4
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,4
Joe Torsella,1,142,37,14,4
Stephen A Zappala Jr,,25,0,0,4
Josh Shapiro,,,3,0,4
John Morganelli,,,,4,4
Total,194,167,40,18,4
,State Treasurer - Democrat,Attorney General - Democrat,,,5
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,5
Joe Torsella,4,60,56,25,5
Stephen A Zappala Jr,,35,0,0,5
Josh Shapiro,,,38,0,5
John Morganelli,,,,7,5
Total,145,95,94,32,5
,State Treasurer - Democrat,Attorney General - Democrat,,,6
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,6
Joe Torsella,1,51,41,14,6
Josh Shapiro,,12,0,0,6
Stephen A Zappala Jr,,,8,0,6
John Morganelli,,,,1,6
Total,107,63,49,15,6
,State Treasurer - Democrat,Attorney General - Democrat,,,7
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,7
Joe Torsella,2,81,56,11,7
Josh Shapiro,,37,0,0,7
Stephen A Zappala Jr,,,23,0,7
John Morganelli,,,,3,7
Total,150,118,79,14,7
,State Treasurer - Democrat,Attorney General - Democrat,,,8
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,8
Joe Torsella,2,17,14,6,8
Stephen A Zappala Jr,,7,0,0,8
Josh Shapiro,,,4,0,8
John Morganelli,,,,3,8
Total,39,24,18,9,8
,State Treasurer - Democrat,Attorney General - Democrat,,,9
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,9
Joe Torsella,2,56,49,19,9
Josh Shapiro,,22,0,0,9
Stephen A Zappala Jr,,,18,0,9
John Morganelli,,,,5,9
Total,126,78,67,24,9
,State Treasurer - Democrat,Attorney General - Democrat,,,10
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,10
Joe Torsella,1,36,20,3,10
Josh Shapiro,,9,0,0,10
Stephen A Zappala Jr,,,4,0,10
John Morganelli,,,,3,10
Total,60,45,24,6,10
,State Treasurer - Democrat,Attorney General - Democrat,,,11
,Joe Torsella,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,11
Joe Torsella,1,58,35,12,11
Josh Shapiro,,27,0,0,11
Stephen A Zappala Jr,,,14,0,11
John Morganelli,,,,1,11
Total,106,85,49,13,11
,State Treasurer - Democrat,Attorney General - Democrat,,,12
,Joe Torsella,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,12
Joe Torsella,2,36,14,12,12
Stephen A Zappala Jr,,8,0,0,12
