col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 191st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Joanna Mcclinton,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Yasmeen Kaboud,Michelle W Singer,Joe Foster,Lou Agre,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Waleed Shahid,Gwen Snyder,William Leopold,Hamdi Soysal,Margaret Lenzi,Tonya Diane Bah,All
Joanna Mcclinton,76,589,480,455,417,359,348,329,331,328,325,307,306,298,287,271,219,200,198,192,187,182,174,179,171,All
Cindy Bass,,20,425,423,395,311,334,322,319,298,309,105,292,277,116,268,67,61,57,56,54,47,35,50,37,All
Malcolm Kenyatta,,,6,415,395,312,312,303,301,301,291,113,283,277,98,263,64,69,53,57,54,57,49,62,51,All
Katherine J Gilmore,,,,3,389,307,313,318,308,297,292,101,285,276,85,269,51,60,39,39,39,45,33,54,37,All
Jerry T Jordan,,,,,4,283,292,284,284,272,267,101,262,260,93,254,54,61,45,48,43,49,37,49,41,All
Vincent Hughes,,,,,,3,302,291,284,326,293,53,285,283,47,271,45,55,38,46,43,48,29,51,44,All
Ken Washington,,,,,,,1,305,304,298,308,53,295,275,60,269,59,53,54,53,48,44,33,47,41,All
Mary Jo Daley,,,,,,,,1,306,283,284,42,270,269,36,261,37,48,30,24,29,26,23,35,21,All
Mark Aronchick,,,,,,,,,0,274,287,42,277,269,50,259,50,52,46,43,39,33,30,41,26,All
Blondell Reynolds Brown,,,,,,,,,,0,292,43,274,277,38,267,35,49,32,39,32,41,24,49,36,All
Nicole Allen White,,,,,,,,,,,1,47,281,273,49,262,53,46,46,51,47,42,24,48,33,All
Yasmeen Kaboud,,,,,,,,,,,,14,31,42,226,27,186,170,160,161,158,164,165,152,154,All
Michelle W Singer,,,,,,,,,,,,,0,257,40,258,36,32,33,40,38,31,13,35,24,All
Joe Foster,,,,,,,,,,,,,,0,39,250,41,39,35,40,34,37,27,42,33,All
Lou Agre,,,,,,,,,,,,,,,5,21,176,161,170,149,153,153,153,144,140,All
Heather A Steinmiller,,,,,,,,,,,,,,,,0,19,24,16,22,19,24,11,29,20,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,3,168,181,163,164,154,164,143,145,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,162,150,152,155,164,153,139,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,0,158,160,151,161,141,143,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,0,150,152,141,142,139,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,1,144,143,138,138,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,0,143,154,148,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,0,143,137,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,138,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,046",651,527,492,449,394,377,359,358,356,348,341,329,315,313,290,241,219,216,206,203,194,191,190,183,All
