col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In The General Assembly 175th District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Michael H Obrien,Sean Sullivan,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Thaddeus Kirkland,Blake Rutherford,Maria Quinones Sanchez,Anne Wakabayashi,Jennifer Lentz,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Michael H Obrien,139,0,676,601,562,530,515,488,574,496,459,462,431,419,409,406,407,378,All
Sean Sullivan,,48,465,417,397,384,380,366,212,169,181,180,166,162,148,145,144,135,All
H Douglass Brown,,,23,"1,057","1,010",969,941,923,186,151,171,172,162,130,135,110,124,87,All
Peter Cutty,,,,6,970,936,922,911,189,155,173,173,167,130,136,110,126,91,All
Amanda Mcillmurray,,,,,2,974,948,918,167,131,173,167,172,129,130,109,114,84,All
Kat Richter,,,,,,1,926,905,156,126,174,157,159,131,132,107,111,84,All
Katherine Hunter Snyder,,,,,,,2,891,134,113,169,149,142,107,116,101,102,79,All
Jacob Adeniran,,,,,,,,1,130,103,148,135,133,106,106,78,96,66,All
Thaddeus Kirkland,,,,,,,,,11,589,515,553,514,510,477,483,506,458,All
Blake Rutherford,,,,,,,,,,2,468,512,471,468,453,462,485,443,All
Maria Quinones Sanchez,,,,,,,,,,,6,529,495,509,491,472,477,470,All
Anne Wakabayashi,,,,,,,,,,,,2,526,527,478,500,502,463,All
Jennifer Lentz,,,,,,,,,,,,,0,489,470,480,470,453,All
Leanne Krueger Braneky,,,,,,,,,,,,,,1,458,478,461,459,All
Angel Cruz,,,,,,,,,,,,,,,0,459,447,449,All
Cathy Brady,,,,,,,,,,,,,,,,3,463,445,All
Ryan N Boyer,,,,,,,,,,,,,,,,,0,439,All
Ted Kirsch,,,,,,,,,,,,,,,,,,0,All
Total,"1,380",743,"1,303","1,151","1,090","1,040","1,013",967,832,692,675,673,624,606,578,576,576,532,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,1
,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Thaddeus Kirkland,Maria Quinones Sanchez,Anne Wakabayashi,Angel Cruz,Jennifer Lentz,Blake Rutherford,Ryan N Boyer,Cathy Brady,Leanne Krueger Braneky,Ted Kirsch,Michael H Obrien,Sean Sullivan,1
H Douglass Brown,4,117,112,108,102,105,22,22,18,21,17,12,15,11,10,10,57,65,1
Peter Cutty,,0,108,105,99,100,22,21,17,20,18,11,15,10,9,9,51,59,1
Amanda Mcillmurray,,,0,110,105,106,23,24,20,23,21,14,14,13,12,11,51,55,1
Kat Richter,,,,0,102,100,20,20,16,18,17,12,12,12,9,8,48,55,1
Katherine Hunter Snyder,,,,,0,97,17,20,16,17,15,11,13,11,7,7,45,53,1
Jacob Adeniran,,,,,,0,16,19,15,18,16,8,11,9,9,9,42,53,1
Thaddeus Kirkland,,,,,,,1,44,43,39,41,39,38,38,36,35,37,22,1
Maria Quinones Sanchez,,,,,,,,1,39,42,36,29,37,36,35,32,26,24,1
Anne Wakabayashi,,,,,,,,,0,38,36,36,36,33,35,32,28,20,1
Angel Cruz,,,,,,,,,,0,36,32,35,31,34,35,24,22,1
Jennifer Lentz,,,,,,,,,,,0,30,33,32,32,30,22,20,1
Blake Rutherford,,,,,,,,,,,,0,30,30,30,30,25,17,1
Ryan N Boyer,,,,,,,,,,,,,0,33,29,30,23,17,1
Cathy Brady,,,,,,,,,,,,,,0,33,31,21,20,1
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,32,22,17,1
Ted Kirsch,,,,,,,,,,,,,,,,0,21,17,1
Michael H Obrien,,,,,,,,,,,,,,,,,3,0,1
Sean Sullivan,,,,,,,,,,,,,,,,,,4,1
Total,141,122,119,115,109,106,68,58,54,50,49,46,46,44,44,41,91,90,1
,Representative In The General Assembly 175th District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,2
,Michael H Obrien,Sean Sullivan,Thaddeus Kirkland,Angel Cruz,Blake Rutherford,Maria Quinones Sanchez,H Douglass Brown,Anne Wakabayashi,Cathy Brady,Leanne Krueger Braneky,Ryan N Boyer,Jennifer Lentz,Peter Cutty,Amanda Mcillmurray,Jacob Adeniran,Kat Richter,Ted Kirsch,Katherine Hunter Snyder,2
Michael H Obrien,12,0,24,15,17,13,12,14,13,13,13,12,9,8,8,8,10,7,2
Sean Sullivan,,1,3,3,3,4,4,3,4,2,2,2,2,2,3,2,2,2,2
Thaddeus Kirkland,,,1,17,19,14,4,16,15,15,15,14,3,1,1,2,12,0,2
Angel Cruz,,,,0,15,17,4,16,14,15,15,14,3,2,2,3,12,1,2
Blake Rutherford,,,,,0,13,4,15,14,14,14,12,4,1,2,3,11,1,2
Maria Quinones Sanchez,,,,,,2,3,14,12,13,13,14,2,3,2,3,12,2,2
H Douglass Brown,,,,,,,0,3,2,2,2,1,13,11,10,11,1,10,2
Anne Wakabayashi,,,,,,,,0,14,15,15,13,3,1,2,3,11,1,2
Cathy Brady,,,,,,,,,0,14,14,12,2,0,1,2,11,0,2
