col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Wanda Logan,Vanessa L Brown,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,All
Josh Shapiro,62,0,0,246,216,65,44,50,12,All
Stephen A Zappala Jr,,59,0,176,205,70,37,30,5,All
John Morganelli,,,13,111,22,28,4,8,4,All
Wanda Logan,,,,51,0,0,0,0,0,All
Vanessa L Brown,,,,,83,0,0,0,0,All
Ray Bailey,,,,,,17,0,0,0,All
Movita Johnson Harrell,,,,,,,21,0,0,All
Darryl Thomas,,,,,,,,17,0,All
Ted Smith,,,,,,,,,2,All
Total,695,582,190,584,526,180,106,105,23,All
,Representative In The General Assembly 190th District - Democrat,,,,,,Attorney General - Democrat,,,1
,Wanda Logan,Vanessa L Brown,Ray Bailey,Darryl Thomas,Movita Johnson Harrell,Ted Smith,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,1
Wanda Logan,6,0,0,0,0,0,36,20,25,1
Vanessa L Brown,,12,0,0,0,0,27,31,2,1
Ray Bailey,,,2,0,0,0,6,4,6,1
Darryl Thomas,,,,5,0,0,7,2,1,1
Movita Johnson Harrell,,,,,3,0,4,3,0,1
Ted Smith,,,,,,0,3,1,0,1
Josh Shapiro,,,,,,,1,0,0,1
Stephen A Zappala Jr,,,,,,,,4,0,1
John Morganelli,,,,,,,,,1,1
Total,87,72,18,15,10,4,84,65,35,1
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,7
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Wanda Logan,Vanessa L Brown,Ray Bailey,Darryl Thomas,Movita Johnson Harrell,Ted Smith,7
Josh Shapiro,10,0,0,47,37,14,7,5,3,7
Stephen A Zappala Jr,,14,0,36,44,11,4,1,2,7
John Morganelli,,,4,16,7,6,2,1,2,7
Wanda Logan,,,,4,0,0,0,0,0,7
Vanessa L Brown,,,,,6,0,0,0,0,7
Ray Bailey,,,,,,3,0,0,0,7
Darryl Thomas,,,,,,,1,0,0,7
Movita Johnson Harrell,,,,,,,,4,0,7
Ted Smith,,,,,,,,,1,7
Total,123,112,38,103,94,34,14,11,8,7
,Representative In The General Assembly 190th District - Democrat,,,,,,Attorney General - Democrat,,,8
,Wanda Logan,Vanessa L Brown,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,8
Wanda Logan,16,0,0,0,0,0,32,32,24,8
Vanessa L Brown,,29,0,0,0,0,23,21,3,8
Ray Bailey,,,3,0,0,0,11,10,11,8
Movita Johnson Harrell,,,,5,0,0,11,6,1,8
Darryl Thomas,,,,,4,0,4,6,0,8
Ted Smith,,,,,,0,2,0,0,8
Josh Shapiro,,,,,,,9,0,0,8
Stephen A Zappala Jr,,,,,,,,3,0,8
John Morganelli,,,,,,,,,1,8
Total,104,76,35,23,14,2,92,78,40,8
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,12
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Vanessa L Brown,Wanda Logan,Ray Bailey,Darryl Thomas,Movita Johnson Harrell,Ted Smith,12
Josh Shapiro,8,0,0,30,28,12,14,6,1,12
Stephen A Zappala Jr,,8,0,22,21,14,2,10,0,12
John Morganelli,,,0,6,8,0,2,1,1,12
Vanessa L Brown,,,,8,0,0,0,0,0,12
Wanda Logan,,,,,3,0,0,0,0,12
Ray Bailey,,,,,,2,0,0,0,12
Darryl Thomas,,,,,,,0,0,0,12
Movita Johnson Harrell,,,,,,,,1,0,12
Ted Smith,,,,,,,,,0,12
Total,99,77,18,66,60,28,18,18,2,12
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,13
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Wanda Logan,Vanessa L Brown,Darryl Thomas,Ray Bailey,Movita Johnson Harrell,Ted Smith,13
Josh Shapiro,18,0,0,37,26,8,10,6,2,13
Stephen A Zappala Jr,,12,0,27,25,11,8,7,1,13
John Morganelli,,,4,19,3,2,1,0,1,13
Wanda Logan,,,,16,0,0,0,0,0,13
Vanessa L Brown,,,,,12,0,0,0,0,13
Darryl Thomas,,,,,,4,0,0,0,13
Ray Bailey,,,,,,,4,0,0,13
Movita Johnson Harrell,,,,,,,,2,0,13
Ted Smith,,,,,,,,,1,13
Total,107,91,30,99,66,25,23,15,5,13
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,19
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Wanda Logan,Vanessa L Brown,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,19
Josh Shapiro,8,0,0,30,15,6,6,5,1,19
Stephen A Zappala Jr,,7,0,12,19,12,4,4,0,19
John Morganelli,,,0,8,0,3,0,1,0,19
Wanda Logan,,,,4,0,0,0,0,0,19
Vanessa L Brown,,,,,7,0,0,0,0,19
Ray Bailey,,,,,,1,0,0,0,19
Movita Johnson Harrell,,,,,,,2,0,0,19
Darryl Thomas,,,,,,,,1,0,19
Ted Smith,,,,,,,,,0,19
Total,71,58,12,54,41,22,12,11,1,19
,Attorney General - Democrat,,,Representative In The General Assembly 190th District - Democrat,,,,,,20
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Vanessa L Brown,Wanda Logan,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,20
Josh Shapiro,8,0,0,58,36,6,6,5,0,20
Stephen A Zappala Jr,,11,0,43,28,11,6,1,1,20
John Morganelli,,,3,1,11,1,1,0,0,20
Vanessa L Brown,,,,9,0,0,0,0,0,20
Wanda Logan,,,,,2,0,0,0,0,20
Ray Bailey,,,,,,2,0,0,0,20
Movita Johnson Harrell,,,,,,,4,0,0,20
Darryl Thomas,,,,,,,,2,0,20
Ted Smith,,,,,,,,,0,20
Total,119,101,17,111,77,20,17,8,1,20
