col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,All
,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Maria Quinones Sanchez,Peter Cutty,Jennifer Lentz,Leanne Krueger Braneky,Angel Cruz,Ryan N Boyer,Cathy Brady,Amanda Mcillmurray,Ted Kirsch,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Thaddeus Kirkland,"1,047","32,089","7,934","28,194","26,201","7,762","26,087","25,983","24,654","25,858","25,192","6,345","23,557","4,856","4,772","4,071","19,491","11,472","5,817","5,628",All
Blake Rutherford,,313,"6,628","26,048","23,935","6,472","25,083","23,970","23,476","25,129","24,206","5,093","22,640","3,892","3,739","3,135","16,752","9,376","4,326","3,156",All
H Douglass Brown,,,620,"5,596","4,861","26,936","5,961","4,523","4,497","4,824","4,372","24,978","3,343","22,932","22,354","21,443","10,469","9,548","10,108","3,812",All
Anne Wakabayashi,,,,39,"25,533","5,385","25,940","25,759","23,899","25,233","24,684","5,752","22,921","4,504","4,395","3,675","16,197","8,959","3,114","1,779",All
Maria Quinones Sanchez,,,,,518,"4,697","23,966","24,807","24,532","23,065","23,933","5,100","23,285","4,405","4,658","3,992","15,763","8,654","3,038","1,519",All
Peter Cutty,,,,,,202,"5,958","4,437","4,497","4,716","4,084","23,488","3,432","21,752","21,242","20,749","9,242","8,320","8,538","2,851",All
Jennifer Lentz,,,,,,,22,"24,126","24,002","24,455","24,176","6,436","22,820","4,979","4,821","4,238","15,524","8,588","3,007","1,585",All
Leanne Krueger Braneky,,,,,,,,26,"23,261","23,291","23,867","4,756","22,531","3,842","3,773","3,233","14,902","8,093","2,853","1,548",All
Angel Cruz,,,,,,,,,490,"22,979","23,351","4,695","23,024","4,017","4,179","3,601","14,758","8,001","2,753","1,377",All
Ryan N Boyer,,,,,,,,,,35,"23,548","4,722","22,222","3,848","3,638","3,178","14,791","8,241","2,776","1,507",All
Cathy Brady,,,,,,,,,,,35,"4,574","22,567","3,289","3,616","2,707","14,893","8,066","2,676","1,416",All
Amanda Mcillmurray,,,,,,,,,,,,34,"3,554","23,305","22,613","21,533","9,545","8,144","7,401","1,773",All
Ted Kirsch,,,,,,,,,,,,,23,"3,148","3,332","2,879","13,902","7,534","2,477","1,142",All
Kat Richter,,,,,,,,,,,,,,12,"21,758","21,107","8,385","7,298","6,928","1,461",All
Katherine Hunter Snyder,,,,,,,,,,,,,,,22,"20,597","8,442","7,110","6,785","1,312",All
Jacob Adeniran,,,,,,,,,,,,,,,,14,"7,597","6,667","6,509","1,273",All
Katie Mcginty,,,,,,,,,,,,,,,,,"4,569",0,0,0,All
Joe Sestak,,,,,,,,,,,,,,,,,,"3,164",0,0,All
John Fetterman,,,,,,,,,,,,,,,,,,,"1,671",0,All
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,,,"1,208",All
Total,"46,467","36,662","36,377","31,815","31,304","30,861","30,278","29,087","29,028","28,948","28,675","28,299","26,531","25,348","24,887","23,240","35,644","24,390","17,899","10,357",All
