col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 177th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Joe Hohenstein,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Anne Wakabayashi,Jacob Adeniran,Cathy Brady,Jennifer Lentz,Angel Cruz,Ryan N Boyer,Leanne Krueger Braneky,Ted Kirsch,Maria Quinones Sanchez,All
Joe Hohenstein,7,67,47,47,43,40,35,35,38,33,33,34,32,32,31,31,24,All
Thaddeus Kirkland,,9,13,54,11,11,8,11,38,7,37,35,31,33,36,31,28,All
H Douglass Brown,,,6,10,50,48,45,43,8,42,9,10,11,7,7,7,4,All
Blake Rutherford,,,,2,10,6,8,7,32,7,28,30,29,32,29,26,24,All
Peter Cutty,,,,,1,44,42,41,7,41,8,9,11,7,5,7,3,All
Amanda Mcillmurray,,,,,,0,46,43,11,41,12,11,12,7,10,8,7,All
Kat Richter,,,,,,,0,44,10,41,8,10,11,10,9,6,5,All
Katherine Hunter Snyder,,,,,,,,0,10,40,12,12,15,9,9,10,7,All
Anne Wakabayashi,,,,,,,,,0,9,34,33,30,33,34,29,26,All
Jacob Adeniran,,,,,,,,,,0,8,9,10,9,5,6,3,All
Cathy Brady,,,,,,,,,,,0,33,32,30,30,32,26,All
Jennifer Lentz,,,,,,,,,,,,0,32,31,30,28,26,All
Angel Cruz,,,,,,,,,,,,,0,30,28,29,26,All
Ryan N Boyer,,,,,,,,,,,,,,1,29,29,22,All
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,29,27,All
Ted Kirsch,,,,,,,,,,,,,,,,0,23,All
Maria Quinones Sanchez,,,,,,,,,,,,,,,,,0,All
Total,125,91,68,62,57,54,51,50,45,45,42,41,40,40,39,36,32,All
,Representative In The General Assembly 177th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,5
,Joe Hohenstein,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Katherine Hunter Snyder,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Anne Wakabayashi,Angel Cruz,Jennifer Lentz,Cathy Brady,Ryan N Boyer,Leanne Krueger Braneky,Ted Kirsch,Maria Quinones Sanchez,5
Joe Hohenstein,5,36,24,27,25,21,21,19,20,23,17,19,17,17,15,15,9,5
Thaddeus Kirkland,,0,8,29,8,8,6,6,5,20,15,18,18,16,17,14,10,5
H Douglass Brown,,,3,7,29,25,26,24,24,6,8,8,6,5,4,4,4,5
Blake Rutherford,,,,0,8,6,4,6,5,15,14,15,13,15,12,12,7,5
Peter Cutty,,,,,0,25,25,24,25,6,8,7,6,6,3,4,3,5
Katherine Hunter Snyder,,,,,,0,24,25,25,7,11,9,8,7,5,6,5,5
Amanda Mcillmurray,,,,,,,0,24,23,7,8,8,7,4,5,4,5,5
Kat Richter,,,,,,,,0,23,6,9,7,5,7,5,4,3,5
Jacob Adeniran,,,,,,,,,0,6,8,7,6,6,3,4,2,5
Anne Wakabayashi,,,,,,,,,,0,16,17,17,15,15,13,8,5
Angel Cruz,,,,,,,,,,,0,17,16,16,12,13,11,5
Jennifer Lentz,,,,,,,,,,,,0,17,17,13,13,9,5
Cathy Brady,,,,,,,,,,,,,0,14,12,14,10,5
Ryan N Boyer,,,,,,,,,,,,,,0,12,13,6,5
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,12,9,5
Ted Kirsch,,,,,,,,,,,,,,,,0,8,5
Maria Quinones Sanchez,,,,,,,,,,,,,,,,,0,5
