col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,All
,H Douglass Brown,Thaddeus Kirkland,Peter Cutty,Amanda Mcillmurray,Blake Rutherford,Katherine Hunter Snyder,Kat Richter,Anne Wakabayashi,Jacob Adeniran,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Angel Cruz,Ted Kirsch,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
H Douglass Brown,58,508,"2,285","2,183",423,"2,008","2,006",410,"1,903",421,321,311,324,292,310,262,796,774,959,276,All
Thaddeus Kirkland,,75,468,403,"2,070",326,318,"1,851",265,"1,660","1,643","1,655","1,642","1,565","1,541","1,511","1,313",679,379,303,All
Peter Cutty,,,24,"2,032",383,"1,893","1,895",371,"1,840",400,299,286,309,246,297,248,708,668,820,193,All
Amanda Mcillmurray,,,,7,325,"2,038","2,047",416,"1,918",447,339,323,313,305,329,275,737,639,772,129,All
Blake Rutherford,,,,,21,269,262,"1,709",213,"1,619","1,539","1,533","1,624","1,519","1,487","1,448","1,171",534,279,176,All
Katherine Hunter Snyder,,,,,,2,"1,942",353,"1,857",358,313,268,266,253,293,255,671,601,726,86,All
Kat Richter,,,,,,,1,333,"1,868",362,291,260,268,213,278,240,647,599,701,109,All
Anne Wakabayashi,,,,,,,,3,293,"1,739","1,673","1,679","1,666","1,593","1,578","1,513","1,158",520,228,101,All
Jacob Adeniran,,,,,,,,,0,311,266,227,226,192,246,234,595,545,694,93,All
Jennifer Lentz,,,,,,,,,,1,"1,543","1,560","1,610","1,532","1,550","1,494","1,100",483,227,72,All
Maria Quinones Sanchez,,,,,,,,,,,1,"1,608","1,479","1,513","1,551","1,525","1,088",448,222,71,All
Leanne Krueger Braneky,,,,,,,,,,,,1,"1,505","1,510","1,490","1,457","1,049",433,215,69,All
Ryan N Boyer,,,,,,,,,,,,,1,"1,502","1,476","1,455","1,048",437,201,76,All
Cathy Brady,,,,,,,,,,,,,,4,"1,469","1,437","1,016",436,204,68,All
Angel Cruz,,,,,,,,,,,,,,,1,"1,504","1,028",425,199,60,All
Ted Kirsch,,,,,,,,,,,,,,,,3,996,422,180,49,All
Katie Mcginty,,,,,,,,,,,,,,,,,405,0,0,0,All
Joe Sestak,,,,,,,,,,,,,,,,,,363,0,0,All
John Fetterman,,,,,,,,,,,,,,,,,,,167,0,All
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,,,105,All
Total,"3,042","2,989","2,586","2,424","2,409","2,203","2,181","2,145","2,039","2,009","1,950","1,893","1,890","1,853","1,829","1,763","2,614","1,858","1,552",670,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,1
,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Jennifer Lentz,Anne Wakabayashi,Ryan N Boyer,Angel Cruz,Cathy Brady,Maria Quinones Sanchez,Ted Kirsch,Leanne Krueger Braneky,John Fetterman,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,1
H Douglass Brown,1,39,33,7,32,31,30,6,6,6,6,4,2,2,3,4,26,4,9,1,1
Peter Cutty,,0,34,7,32,32,30,6,7,7,7,5,3,3,4,4,22,5,9,1,1
Amanda Mcillmurray,,,0,5,31,33,29,6,8,9,9,6,2,3,5,3,20,5,9,2,1
Thaddeus Kirkland,,,,0,7,4,7,23,19,22,19,14,19,17,16,16,7,12,8,6,1
Kat Richter,,,,,0,30,30,6,6,6,6,5,1,3,3,4,19,4,7,1,1
Katherine Hunter Snyder,,,,,,0,29,4,5,6,6,6,1,3,5,2,20,4,8,0,1
Jacob Adeniran,,,,,,,0,6,6,7,6,7,1,4,4,4,19,3,8,0,1
Blake Rutherford,,,,,,,,0,21,20,19,14,15,16,15,14,6,12,5,2,1
Jennifer Lentz,,,,,,,,,0,20,20,18,16,18,18,14,6,12,5,3,1
Anne Wakabayashi,,,,,,,,,,0,21,16,16,16,15,15,6,11,4,5,1
Ryan N Boyer,,,,,,,,,,,0,14,13,15,16,13,5,12,3,3,1
Angel Cruz,,,,,,,,,,,,0,13,17,17,13,6,9,5,2,1
Cathy Brady,,,,,,,,,,,,,1,16,15,12,2,9,3,4,1
Maria Quinones Sanchez,,,,,,,,,,,,,,0,18,13,4,11,2,3,1
Ted Kirsch,,,,,,,,,,,,,,,0,12,5,10,4,2,1
Leanne Krueger Braneky,,,,,,,,,,,,,,,,0,5,8,2,2,1
John Fetterman,,,,,,,,,,,,,,,,,5,0,0,0,1
