col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,President Of The United States - Democrat,,,Attorney General - Democrat,,,13
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,13
Bernie Sanders,8,0,0,17,13,10,13
Hillary Clinton,,12,0,12,7,6,13
Roque Rocky De La Fuente,,,0,0,0,0,13
Josh Shapiro,,,,1,0,0,13
Stephen A Zappala Jr,,,,,0,0,13
John Morganelli,,,,,,0,13
Total,48,37,0,30,20,16,13
,Attorney General - Democrat,,,President Of The United States - Democrat,,,14
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,14
Josh Shapiro,0,0,0,79,87,0,14
Stephen A Zappala Jr,,0,0,24,17,0,14
John Morganelli,,,0,9,10,0,14
Bernie Sanders,,,,17,0,0,14
Hillary Clinton,,,,,7,0,14
Roque Rocky De La Fuente,,,,,,0,14
Total,166,41,19,129,121,0,14
,President Of The United States - Democrat,,,Attorney General - Democrat,,,15
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,15
Bernie Sanders,24,0,0,72,31,19,15
Hillary Clinton,,8,0,57,31,5,15
Roque Rocky De La Fuente,,,0,0,1,0,15
Josh Shapiro,,,,0,0,0,15
Stephen A Zappala Jr,,,,,0,0,15
John Morganelli,,,,,,0,15
Total,146,101,1,129,63,24,15
,Attorney General - Democrat,,,President Of The United States - Democrat,,,16
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,16
Josh Shapiro,0,0,0,115,69,0,16
Stephen A Zappala Jr,,1,0,26,24,0,16
John Morganelli,,,0,12,12,0,16
Hillary Clinton,,,,15,0,0,16
Bernie Sanders,,,,,18,0,16
Roque Rocky De La Fuente,,,,,,0,16
Total,184,51,24,168,123,0,16
,Attorney General - Democrat,,,President Of The United States - Democrat,,,17
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,17
Josh Shapiro,0,0,0,166,141,0,17
Stephen A Zappala Jr,,0,0,67,48,0,17
John Morganelli,,,1,32,18,0,17
Bernie Sanders,,,,38,0,0,17
Hillary Clinton,,,,,23,0,17
Roque Rocky De La Fuente,,,,,,0,17
Total,307,115,51,303,230,0,17
,President Of The United States - Democrat,,,Attorney General - Democrat,,,18
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,18
Hillary Clinton,18,0,0,252,43,13,18
Bernie Sanders,,13,0,68,22,9,18
Roque Rocky De La Fuente,,,0,1,0,0,18
Josh Shapiro,,,,3,0,0,18
Stephen A Zappala Jr,,,,,0,0,18
John Morganelli,,,,,,0,18
Total,326,112,1,324,65,22,18
,Attorney General - Democrat,,,President Of The United States - Democrat,,,19
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,19
Josh Shapiro,4,0,0,246,81,1,19
Stephen A Zappala Jr,,2,0,50,24,0,19
John Morganelli,,,1,16,12,0,19
Hillary Clinton,,,,17,0,0,19
Bernie Sanders,,,,,19,0,19
Roque Rocky De La Fuente,,,,,,0,19
Total,332,76,29,329,136,1,19
,Attorney General - Democrat,,,President Of The United States - Democrat,,,20
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,20
Josh Shapiro,1,0,0,70,51,0,20
Stephen A Zappala Jr,,0,0,17,15,0,20
John Morganelli,,,1,5,9,0,20
Bernie Sanders,,,,18,0,0,20
Hillary Clinton,,,,,12,0,20
Roque Rocky De La Fuente,,,,,,0,20
Total,122,32,15,110,87,0,20
,Attorney General - Democrat,,,President Of The United States - Democrat,,,21
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,21
Josh Shapiro,1,0,0,162,166,0,21
Stephen A Zappala Jr,,1,0,71,50,1,21
John Morganelli,,,0,29,28,0,21
Bernie Sanders,,,,45,0,0,21
Hillary Clinton,,,,,20,0,21
Roque Rocky De La Fuente,,,,,,0,21
Total,329,123,57,307,264,1,21
,President Of The United States - Democrat,,,Attorney General - Democrat,,,22
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,22
Hillary Clinton,22,0,0,110,31,15,22
Bernie Sanders,,11,0,51,16,7,22
Roque Rocky De La Fuente,,,0,1,0,0,22
Josh Shapiro,,,,3,0,0,22
Stephen A Zappala Jr,,,,,0,0,22
John Morganelli,,,,,,3,22
Total,178,85,1,165,47,25,22
,Attorney General - Democrat,,,President Of The United States - Democrat,,,23
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,23
Josh Shapiro,2,0,0,110,139,0,23
Stephen A Zappala Jr,,0,0,46,35,0,23
John Morganelli,,,0,20,13,0,23
Bernie Sanders,,,,32,0,0,23
Hillary Clinton,,,,,21,0,23
Roque Rocky De La Fuente,,,,,,0,23
Total,251,81,33,208,208,0,23
,Attorney General - Democrat,,,President Of The United States - Democrat,,,24
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,24
Josh Shapiro,1,0,0,75,80,0,24
Stephen A Zappala Jr,,2,0,20,29,0,24
John Morganelli,,,0,5,12,0,24
Hillary Clinton,,,,54,0,0,24
Bernie Sanders,,,,,29,0,24
Roque Rocky De La Fuente,,,,,,0,24
Total,156,51,17,154,150,0,24
,President Of The United States - Democrat,,,Attorney General - Democrat,,,25
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,25
Bernie Sanders,33,0,0,81,34,17,25
Hillary Clinton,,19,0,75,15,7,25
Roque Rocky De La Fuente,,,0,1,0,0,25
Josh Shapiro,,,,1,0,0,25
Stephen A Zappala Jr,,,,,0,0,25
John Morganelli,,,,,,0,25
Total,165,116,1,158,49,24,25
,Attorney General - Democrat,,,President Of The United States - Democrat,,,26
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,26
Josh Shapiro,2,0,0,140,93,0,26
Stephen A Zappala Jr,,0,0,30,30,0,26
John Morganelli,,,0,9,15,2,26
Hillary Clinton,,,,18,0,0,26
Bernie Sanders,,,,,13,0,26
Roque Rocky De La Fuente,,,,,,0,26
Total,235,60,26,197,151,2,26
,Attorney General - Democrat,,,President Of The United States - Democrat,,,27
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,27
Josh Shapiro,0,0,0,135,96,0,27
Stephen A Zappala Jr,,0,0,38,19,0,27
John Morganelli,,,1,8,17,0,27
Hillary Clinton,,,,16,0,0,27
Bernie Sanders,,,,,21,0,27
Roque Rocky De La Fuente,,,,,,0,27
Total,231,57,26,197,153,0,27
,Attorney General - Democrat,,,President Of The United States - Democrat,,,28
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,28
Josh Shapiro,0,0,0,63,72,0,28
Stephen A Zappala Jr,,0,0,27,18,1,28
John Morganelli,,,0,15,6,0,28
Bernie Sanders,,,,29,0,0,28
Hillary Clinton,,,,,19,0,28
Roque Rocky De La Fuente,,,,,,0,28
Total,135,46,21,134,115,1,28
,Attorney General - Democrat,,,President Of The United States - Democrat,,,29
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,29
Josh Shapiro,0,0,0,25,28,0,29
Stephen A Zappala Jr,,0,0,9,0,0,29
John Morganelli,,,0,3,4,0,29
Bernie Sanders,,,,9,0,0,29
Hillary Clinton,,,,,5,0,29
Roque Rocky De La Fuente,,,,,,0,29
Total,53,9,7,46,37,0,29
