col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Thaddeus Kirkland,Blake Rutherford,Angel Cruz,Anne Wakabayashi,Maria Quinones Sanchez,Jennifer Lentz,Leanne Krueger Braneky,Ryan N Boyer,Ted Kirsch,Cathy Brady,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Jacob Adeniran,Kat Richter,Katherine Hunter Snyder,All
Hillary Clinton,169,0,0,232,173,161,140,143,132,137,128,128,128,31,41,22,18,14,20,All
Bernie Sanders,,32,0,34,29,28,27,23,29,21,29,24,22,69,50,46,40,42,34,All
Roque Rocky De La Fuente,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Thaddeus Kirkland,,,,3,177,146,152,148,150,151,145,139,143,33,45,28,22,15,23,All
Blake Rutherford,,,,,0,131,140,131,136,132,135,128,129,27,27,15,10,11,13,All
Angel Cruz,,,,,,0,136,146,140,142,136,137,131,14,26,20,20,11,24,All
Anne Wakabayashi,,,,,,,0,135,141,142,146,136,141,20,24,18,13,14,14,All
Maria Quinones Sanchez,,,,,,,,1,135,139,130,137,131,9,18,15,13,7,13,All
Jennifer Lentz,,,,,,,,,0,141,140,130,134,19,31,26,22,13,24,All
Leanne Krueger Braneky,,,,,,,,,,0,135,132,134,10,21,17,12,6,15,All
Ryan N Boyer,,,,,,,,,,,0,136,136,21,24,17,14,15,15,All
Ted Kirsch,,,,,,,,,,,,0,131,11,16,11,9,11,14,All
Cathy Brady,,,,,,,,,,,,,0,13,16,10,8,6,10,All
H Douglass Brown,,,,,,,,,,,,,,0,63,46,40,45,36,All
Peter Cutty,,,,,,,,,,,,,,,0,51,45,41,43,All
Amanda Mcillmurray,,,,,,,,,,,,,,,,0,49,46,44,All
Jacob Adeniran,,,,,,,,,,,,,,,,,0,44,44,All
Kat Richter,,,,,,,,,,,,,,,,,,0,37,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,,,0,All
Total,473,138,1,269,203,189,167,167,161,158,157,152,150,101,92,68,58,56,54,All
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,17
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Angel Cruz,Peter Cutty,Anne Wakabayashi,Jennifer Lentz,Cathy Brady,Leanne Krueger Braneky,Ryan N Boyer,Maria Quinones Sanchez,Amanda Mcillmurray,Ted Kirsch,Jacob Adeniran,Kat Richter,Katherine Hunter Snyder,17
Hillary Clinton,30,0,0,40,28,11,25,13,20,19,19,21,16,21,5,16,6,4,6,17
Bernie Sanders,,11,0,9,7,23,4,16,6,7,4,2,7,1,15,3,11,13,11,17
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Thaddeus Kirkland,,,,0,27,11,21,17,23,25,22,22,21,21,11,18,10,7,10,17
Blake Rutherford,,,,,0,11,16,11,20,20,17,15,19,14,7,15,5,6,6,17
H Douglass Brown,,,,,,0,5,20,9,9,6,3,9,2,14,4,12,13,13,17
Angel Cruz,,,,,,,0,9,17,19,17,17,17,19,6,16,7,2,7,17
Peter Cutty,,,,,,,,0,10,13,8,6,10,5,17,5,16,12,16,17
Anne Wakabayashi,,,,,,,,,0,20,19,18,21,16,7,17,5,5,5,17
Jennifer Lentz,,,,,,,,,,0,19,19,19,16,10,15,9,6,9,17
Cathy Brady,,,,,,,,,,,0,17,18,17,4,17,4,3,4,17
Leanne Krueger Braneky,,,,,,,,,,,,0,16,18,5,14,3,1,3,17
Ryan N Boyer,,,,,,,,,,,,,0,16,8,17,6,5,5,17
Maria Quinones Sanchez,,,,,,,,,,,,,,0,3,16,4,1,3,17
Amanda Mcillmurray,,,,,,,,,,,,,,,0,3,15,13,14,17
Ted Kirsch,,,,,,,,,,,,,,,,0,3,3,4,17
Jacob Adeniran,,,,,,,,,,,,,,,,,0,12,14,17
Kat Richter,,,,,,,,,,,,,,,,,,0,12,17
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,,,0,17
Total,92,43,0,49,35,34,29,29,26,26,23,23,23,22,20,19,17,17,17,17
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,18
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Thaddeus Kirkland,Blake Rutherford,Angel Cruz,Leanne Krueger Braneky,Maria Quinones Sanchez,Anne Wakabayashi,Jennifer Lentz,Ryan N Boyer,Ted Kirsch,Cathy Brady,Peter Cutty,Amanda Mcillmurray,H Douglass Brown,Katherine Hunter Snyder,Jacob Adeniran,Kat Richter,18
Hillary Clinton,20,0,0,115,95,91,89,90,86,88,84,83,82,13,12,6,8,7,4,18
Bernie Sanders,,4,0,17,15,17,16,15,17,14,16,16,14,14,12,16,10,10,11,18
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Thaddeus Kirkland,,,,1,102,101,102,101,95,98,96,94,93,15,11,6,9,7,4,18
Blake Rutherford,,,,,0,90,91,92,92,90,92,89,88,5,4,4,3,2,3,18
Angel Cruz,,,,,,0,101,101,93,97,94,96,92,11,12,4,10,7,4,18
Leanne Krueger Braneky,,,,,,,0,101,96,99,95,96,94,10,9,3,8,6,3,18
Maria Quinones Sanchez,,,,,,,,0,94,97,93,94,93,8,8,1,6,5,1,18
Anne Wakabayashi,,,,,,,,,0,93,95,94,94,6,7,4,3,3,5,18
Jennifer Lentz,,,,,,,,,,0,93,93,91,8,9,1,7,5,1,18
Ryan N Boyer,,,,,,,,,,,0,94,93,5,3,3,2,1,4,18
Ted Kirsch,,,,,,,,,,,,0,93,5,4,2,3,1,2,18
Cathy Brady,,,,,,,,,,,,,0,4,3,1,1,0,1,18
Peter Cutty,,,,,,,,,,,,,,0,17,16,13,12,11,18
Amanda Mcillmurray,,,,,,,,,,,,,,,0,13,16,16,13,18
H Douglass Brown,,,,,,,,,,,,,,,,0,10,10,12,18
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,0,15,10,18
Jacob Adeniran,,,,,,,,,,,,,,,,,,0,11,18
Kat Richter,,,,,,,,,,,,,,,,,,,0,18
Total,149,36,0,133,110,108,105,105,103,102,100,99,96,27,24,22,18,17,15,18
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,19
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Maria Quinones Sanchez,Jennifer Lentz,Ryan N Boyer,Peter Cutty,Cathy Brady,Angel Cruz,Ted Kirsch,Leanne Krueger Braneky,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Katherine Hunter Snyder,19
Hillary Clinton,61,0,0,48,29,10,22,19,17,18,10,17,14,14,14,5,4,4,4,19
Bernie Sanders,,10,0,6,4,18,3,3,5,4,11,3,3,3,2,10,9,8,6,19
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Thaddeus Kirkland,,,,2,28,12,23,17,18,18,10,18,13,14,16,6,3,4,2,19
Blake Rutherford,,,,,0,8,17,15,16,15,7,15,12,12,14,3,1,1,1,19
H Douglass Brown,,,,,,0,7,3,8,8,16,6,5,3,4,11,11,10,8,19
