col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,All
,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Hamdi Soysal,Waleed Shahid,Tonya Diane Bah,William Leopold,Margaret Lenzi,Gwen Snyder,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Ken Washington,Vincent Hughes,Mark Aronchick,Mary Jo Daley,Nicole Allen White,Blondell Reynolds Brown,Joe Foster,Michelle W Singer,Heather A Steinmiller,Kenneth T Walker Jr,W Curtis Thomas,All
Yasmeen Kaboud,10,418,379,376,380,378,360,356,362,350,348,71,86,81,63,54,51,53,39,44,28,53,34,25,276,195,All
Lou Agre,,6,373,367,377,367,352,352,358,349,349,67,81,77,61,51,46,51,34,40,20,52,31,25,235,185,All
Sherrie Cohen,,,1,373,374,368,356,353,364,354,345,52,71,64,50,50,47,54,38,41,28,51,31,23,215,161,All
Ariana Flores Gordon,,,,2,370,366,351,342,355,347,340,50,63,59,43,45,42,45,30,38,20,47,22,15,212,157,All
Carol Rose Fleischman,,,,,0,368,353,354,355,349,345,47,60,58,46,44,42,44,31,33,17,47,27,15,214,152,All
Hamdi Soysal,,,,,,0,352,343,353,345,341,46,62,60,45,42,39,44,31,37,16,48,23,15,208,152,All
Waleed Shahid,,,,,,,0,341,348,342,336,40,54,53,39,37,41,40,24,32,18,45,24,14,198,155,All
Tonya Diane Bah,,,,,,,,0,353,345,331,48,59,57,45,42,45,44,28,36,21,49,26,22,201,152,All
William Leopold,,,,,,,,,0,347,339,43,62,57,44,41,43,41,28,32,19,48,26,18,202,148,All
Margaret Lenzi,,,,,,,,,,0,334,43,60,54,42,37,39,39,28,37,21,47,26,22,199,144,All
Gwen Snyder,,,,,,,,,,,0,41,60,59,43,43,41,44,28,34,16,47,28,20,194,145,All
Cindy Bass,,,,,,,,,,,,5,216,214,210,193,175,171,191,170,169,147,160,152,147,172,All
Malcolm Kenyatta,,,,,,,,,,,,,2,220,201,178,170,182,180,161,166,150,156,149,123,161,All
Jerry T Jordan,,,,,,,,,,,,,,1,191,171,162,172,165,153,159,147,146,141,118,136,All
Katherine J Gilmore,,,,,,,,,,,,,,,3,170,154,164,172,157,149,136,152,142,117,130,All
Ken Washington,,,,,,,,,,,,,,,,0,169,171,176,171,162,149,159,155,107,106,All
Vincent Hughes,,,,,,,,,,,,,,,,,0,146,154,155,170,145,146,139,96,107,All
Mark Aronchick,,,,,,,,,,,,,,,,,,0,166,149,146,142,143,138,95,107,All
Mary Jo Daley,,,,,,,,,,,,,,,,,,,0,161,155,138,148,145,92,105,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,0,158,136,149,141,88,101,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,0,133,147,139,82,101,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,0,130,123,91,86,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,0,138,80,93,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,0,67,91,All
Kenneth T Walker Jr,,,,,,,,,,,,,,,,,,,,,,,,,52,0,All
W Curtis Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,47,All
Total,523,473,414,410,404,397,388,386,384,379,376,340,299,263,262,229,215,212,208,197,193,187,183,173,492,444,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,5
,Yasmeen Kaboud,Lou Agre,Gwen Snyder,Carol Rose Fleischman,Waleed Shahid,Hamdi Soysal,Margaret Lenzi,Tonya Diane Bah,Ariana Flores Gordon,Sherrie Cohen,William Leopold,Katherine J Gilmore,Malcolm Kenyatta,Cindy Bass,Blondell Reynolds Brown,Ken Washington,Mark Aronchick,Michelle W Singer,Jerry T Jordan,Mary Jo Daley,Vincent Hughes,Heather A Steinmiller,Nicole Allen White,Joe Foster,W Curtis Thomas,Kenneth T Walker Jr,5
Yasmeen Kaboud,2,29,27,27,26,26,23,22,22,23,23,7,6,4,2,3,5,3,5,3,2,2,3,4,14,18,5
Lou Agre,,2,26,26,25,25,24,23,22,23,24,9,8,6,4,5,6,5,7,5,4,4,5,6,13,18,5
Gwen Snyder,,,0,27,26,25,25,23,24,24,24,6,5,2,1,2,5,3,5,2,1,2,2,3,13,14,5
Carol Rose Fleischman,,,,0,26,24,24,23,23,24,24,4,4,1,1,1,4,2,4,2,0,1,1,3,13,13,5
Waleed Shahid,,,,,0,24,24,23,23,24,24,4,5,1,2,1,3,1,3,2,1,0,2,4,13,12,5
Hamdi Soysal,,,,,,0,22,21,21,23,22,6,6,3,2,3,5,3,5,3,2,2,3,4,12,12,5
Margaret Lenzi,,,,,,,0,24,23,23,24,5,5,1,2,1,3,2,4,2,1,1,1,4,11,13,5
Tonya Diane Bah,,,,,,,,0,21,22,23,4,5,1,2,1,3,3,4,3,1,1,1,4,12,12,5
Ariana Flores Gordon,,,,,,,,,0,22,22,3,3,0,1,0,3,1,2,0,0,0,1,3,10,12,5
Sherrie Cohen,,,,,,,,,,0,23,3,4,0,1,0,3,1,3,1,0,0,1,3,11,11,5
William Leopold,,,,,,,,,,,0,3,4,0,1,0,2,1,3,1,0,0,1,3,10,12,5
Katherine J Gilmore,,,,,,,,,,,,0,15,16,13,14,13,14,14,14,14,13,13,11,15,6,5
Malcolm Kenyatta,,,,,,,,,,,,,0,13,13,14,14,13,14,13,14,12,12,11,14,4,5
Cindy Bass,,,,,,,,,,,,,,0,12,14,13,13,12,13,13,13,12,10,14,3,5
Blondell Reynolds Brown,,,,,,,,,,,,,,,0,13,11,12,10,12,14,11,13,11,12,3,5
Ken Washington,,,,,,,,,,,,,,,,0,13,14,12,13,14,14,12,10,11,3,5
Mark Aronchick,,,,,,,,,,,,,,,,,0,13,13,12,12,13,11,10,13,2,5
Michelle W Singer,,,,,,,,,,,,,,,,,,0,12,13,13,13,11,10,12,3,5
Jerry T Jordan,,,,,,,,,,,,,,,,,,,0,12,11,12,10,8,11,3,5
Mary Jo Daley,,,,,,,,,,,,,,,,,,,,0,12,12,11,10,13,1,5
Vincent Hughes,,,,,,,,,,,,,,,,,,,,,0,12,13,10,11,3,5
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,0,11,9,10,2,5
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,,0,10,10,3,5
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,5
W Curtis Thomas,,,,,,,,,,,,,,,,,,,,,,,,,4,0,5
Kenneth T Walker Jr,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
Total,36,35,29,28,27,26,26,26,24,24,24,22,19,18,16,16,16,16,15,15,15,14,14,13,35,25,5
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,6
