col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Yasmeen Kaboud,Michelle W Singer,Joe Foster,Heather A Steinmiller,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,Vanessa L Brown,Wanda Logan,Ray Bailey,Darryl Thomas,Movita Johnson Harrell,Ted Smith,All
Cindy Bass,144,"5,513","5,367","5,139","4,272","4,333","4,382","4,089","4,164","4,008","1,274","3,939","3,666","3,747","1,265",871,870,732,711,634,646,591,562,601,"2,962","2,214",895,672,578,142,All
Malcolm Kenyatta,,47,"5,207","5,090","4,160","4,161","4,145","3,947","4,066","3,837","1,315","3,801","3,622","3,656","1,262",858,895,745,724,696,722,641,629,663,"2,666","1,562",693,597,507,123,All
Katherine J Gilmore,,,33,"4,863","3,931","3,974","4,100","3,777","3,964","3,744","1,161","3,750","3,521","3,593","1,032",712,734,616,582,549,550,494,466,517,"2,522","1,499",658,515,447,119,All
Jerry T Jordan,,,,17,"3,824","3,893","3,934","3,654","3,884","3,583","1,105","3,572","3,430","3,491","1,125",688,728,604,574,553,557,478,468,492,"2,409","1,323",624,489,424,115,All
Vincent Hughes,,,,,19,"3,977","3,826","4,203","3,709","3,874",695,"3,757","3,657","3,618",629,609,666,522,543,458,614,504,519,576,"2,546",861,420,532,445,113,All
Ken Washington,,,,,,5,"3,985","3,817","3,891","3,888",700,"3,813","3,615","3,648",655,653,648,519,540,488,536,456,448,475,"2,334",885,413,455,425,99,All
Mary Jo Daley,,,,,,,2,"3,671","4,043","3,716",618,"3,696","3,480","3,580",539,529,588,446,438,424,382,350,338,380,"2,328",892,427,437,412,93,All
Blondell Reynolds Brown,,,,,,,,7,"3,575","3,751",547,"3,675","3,534","3,540",465,474,534,390,425,354,468,384,397,478,"2,334",774,381,466,392,94,All
Mark Aronchick,,,,,,,,,4,"3,603",618,"3,641","3,441","3,528",582,566,621,459,455,434,425,358,351,388,"2,250",820,394,421,385,103,All
Nicole Allen White,,,,,,,,,,4,544,"3,709","3,582","3,567",481,504,508,400,432,355,462,396,438,494,"2,162",778,389,425,378,90,All
Yasmeen Kaboud,,,,,,,,,,,60,499,490,390,"3,054","2,611","2,538","2,500","2,416","2,439","2,298","2,280","2,223","2,207","1,077","1,386",532,450,498,130,All
Michelle W Singer,,,,,,,,,,,,0,"3,482","3,597",426,420,471,361,417,313,423,327,346,410,"2,157",771,350,394,353,93,All
Joe Foster,,,,,,,,,,,,,1,"3,392",455,416,456,345,378,329,454,362,428,445,"2,005",696,346,389,341,93,All
Heather A Steinmiller,,,,,,,,,,,,,,1,307,298,366,250,292,233,319,284,254,328,"2,027",668,345,384,333,81,All
Lou Agre,,,,,,,,,,,,,,,41,"2,533","2,505","2,447","2,349","2,400","2,286","2,238","2,187","2,182",948,"1,160",491,408,441,123,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,6,"2,558","2,524","2,404","2,443","2,292","2,256","2,215","2,214",927,781,300,394,448,130,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,"2,507","2,383","2,459","2,347","2,274","2,179","2,241",935,777,271,377,418,121,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,2,"2,336","2,420","2,244","2,232","2,137","2,149",846,737,285,364,392,116,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,2,"2,252","2,248","2,219","2,173","2,174",815,708,258,354,369,112,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,"2,220","2,162","2,101","2,090",809,672,245,341,380,106,All
William Leopold,,,,,,,,,,,,,,,,,,,,,1,"2,231","2,175","2,228",814,648,246,346,369,104,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,3,"2,138","2,156",767,646,235,327,380,114,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,3,"2,155",761,634,239,340,375,104,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,774,633,234,340,352,101,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,,,,,,,,838,0,0,0,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,,,,,,,380,0,0,0,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,211,0,0,0,All
Darryl Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,0,0,All
Movita Johnson Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,0,All
Ted Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,All
Total,"8,058","6,610","6,193","5,778","5,215","4,853","4,830","4,702","4,596","4,448","4,414","4,346","4,083","4,054","3,889","3,234","3,138","2,969","2,850","2,784","2,754","2,696","2,673","2,653","5,404","4,208","1,779","1,680","1,396",337,All
