col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Jennifer Lentz,,,,,,,,,,,,,0,61,60,56,55,56,55,2
Maria Quinones Sanchez,,,,,,,,,,,,,,0,64,52,61,59,54,2
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,53,58,58,56,2
Ryan N Boyer,,,,,,,,,,,,,,,,0,53,52,49,2
Angel Cruz,,,,,,,,,,,,,,,,,0,56,52,2
Cathy Brady,,,,,,,,,,,,,,,,,,1,51,2
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,2
Total,172,104,1,138,125,119,111,111,104,103,87,83,80,80,76,68,67,67,64,2
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,3
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Thaddeus Kirkland,Jennifer Lentz,Jacob Adeniran,Maria Quinones Sanchez,Blake Rutherford,Anne Wakabayashi,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Angel Cruz,Ted Kirsch,3
Bernie Sanders,28,0,0,110,100,90,88,88,22,23,80,22,15,17,13,14,15,13,12,3
Hillary Clinton,,44,0,10,6,8,8,7,72,67,5,62,66,63,59,59,55,54,51,3
Roque Rocky De La Fuente,,,2,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,3
H Douglass Brown,,,,0,94,85,83,84,18,23,79,17,12,15,12,11,12,10,9,3
Peter Cutty,,,,,0,87,85,83,13,21,79,15,8,11,7,9,7,8,7,3
Amanda Mcillmurray,,,,,,0,87,88,16,23,80,19,11,15,10,10,13,10,10,3
Kat Richter,,,,,,,0,83,14,22,79,21,10,13,11,9,12,10,10,3
Katherine Hunter Snyder,,,,,,,,0,16,23,77,19,12,16,12,10,15,11,9,3
Thaddeus Kirkland,,,,,,,,,0,70,11,65,71,66,59,66,57,58,56,3
Jennifer Lentz,,,,,,,,,,0,16,75,69,74,67,66,68,65,62,3
Jacob Adeniran,,,,,,,,,,,0,12,8,11,8,8,7,7,7,3
Maria Quinones Sanchez,,,,,,,,,,,,0,65,68,68,61,64,63,60,3
Blake Rutherford,,,,,,,,,,,,,0,66,60,64,60,60,55,3
Anne Wakabayashi,,,,,,,,,,,,,,0,67,64,63,61,52,3
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,60,60,63,53,3
Ryan N Boyer,,,,,,,,,,,,,,,,0,55,58,53,3
Cathy Brady,,,,,,,,,,,,,,,,,0,58,54,3
Angel Cruz,,,,,,,,,,,,,,,,,,0,53,3
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,3
Total,160,137,3,121,107,98,97,96,95,92,86,86,83,82,74,74,72,69,65,3
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,4
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Thaddeus Kirkland,Jacob Adeniran,Anne Wakabayashi,Blake Rutherford,Jennifer Lentz,Leanne Krueger Braneky,Maria Quinones Sanchez,Angel Cruz,Ryan N Boyer,Ted Kirsch,Cathy Brady,4
Bernie Sanders,13,0,0,99,90,88,87,86,15,76,14,12,14,14,14,13,9,10,7,4
Hillary Clinton,,23,0,8,8,8,9,8,70,5,48,49,47,45,45,39,43,40,41,4
Roque Rocky De La Fuente,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
H Douglass Brown,,,,0,91,84,80,83,18,75,13,16,13,14,11,12,8,11,6,4
Peter Cutty,,,,,0,83,80,84,19,78,14,17,15,15,11,14,9,12,5,4
Amanda Mcillmurray,,,,,,0,87,89,18,76,19,15,18,18,17,13,10,14,9,4
Katherine Hunter Snyder,,,,,,,0,85,16,76,18,14,20,19,19,15,10,12,11,4
Kat Richter,,,,,,,,0,16,77,17,15,18,19,16,16,10,14,9,4
Thaddeus Kirkland,,,,,,,,,0,10,53,53,47,48,48,39,47,42,44,4
Jacob Adeniran,,,,,,,,,,0,11,9,12,12,10,12,6,12,2,4
Anne Wakabayashi,,,,,,,,,,,0,48,49,51,52,42,46,43,45,4
Blake Rutherford,,,,,,,,,,,,0,47,46,45,38,41,37,42,4
Jennifer Lentz,,,,,,,,,,,,,0,47,46,42,45,42,42,4
Leanne Krueger Braneky,,,,,,,,,,,,,,0,50,41,41,42,44,4
Maria Quinones Sanchez,,,,,,,,,,,,,,,0,41,38,40,43,4
Angel Cruz,,,,,,,,,,,,,,,,0,39,41,39,4
Ryan N Boyer,,,,,,,,,,,,,,,,,0,39,41,4
Ted Kirsch,,,,,,,,,,,,,,,,,,0,36,4
Cathy Brady,,,,,,,,,,,,,,,,,,,0,4
Total,129,103,3,108,99,96,96,94,87,81,62,62,61,59,59,52,52,50,48,4
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,5
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,Peter Cutty,H Douglass Brown,Thaddeus Kirkland,Amanda Mcillmurray,Jacob Adeniran,Blake Rutherford,Kat Richter,Katherine Hunter Snyder,Maria Quinones Sanchez,Ryan N Boyer,Angel Cruz,Anne Wakabayashi,Jennifer Lentz,Leanne Krueger Braneky,Ted Kirsch,Cathy Brady,5
Bernie Sanders,3,0,0,55,56,3,50,50,3,48,47,3,5,3,2,3,3,4,2,5
Hillary Clinton,,6,0,5,3,49,1,1,47,1,1,38,36,37,38,37,36,34,35,5
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Peter Cutty,,,,0,53,7,49,49,7,46,46,5,6,4,3,5,3,5,3,5
H Douglass Brown,,,,,0,5,48,48,5,47,46,3,4,3,2,3,3,4,1,5
Thaddeus Kirkland,,,,,,0,4,4,47,3,4,39,39,36,39,37,36,34,36,5
Amanda Mcillmurray,,,,,,,0,50,4,48,47,4,5,3,2,4,3,4,2,5
Jacob Adeniran,,,,,,,,0,4,48,47,4,5,3,2,4,3,4,2,5
Blake Rutherford,,,,,,,,,0,3,4,38,38,37,38,38,35,34,36,5
Kat Richter,,,,,,,,,,0,45,2,4,2,2,2,3,3,0,5
Katherine Hunter Snyder,,,,,,,,,,,0,4,5,3,2,4,3,4,2,5
Maria Quinones Sanchez,,,,,,,,,,,,0,36,38,37,38,37,36,37,5
