col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 197th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Leslie Acosta,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Lou Agre,Yasmeen Kaboud,Heather A Steinmiller,Blondell Reynolds Brown,Mary Jo Daley,Vincent Hughes,Nicole Allen White,Joe Foster,Mark Aronchick,Michelle W Singer,Sherrie Cohen,Gwen Snyder,Ariana Flores Gordon,Waleed Shahid,Carol Rose Fleischman,Hamdi Soysal,Margaret Lenzi,Tonya Diane Bah,William Leopold,All
Leslie Acosta,33,245,187,171,168,132,142,160,105,108,109,112,105,105,99,100,98,99,98,94,91,89,88,86,84,All
Cindy Bass,,15,203,189,188,156,58,55,135,140,147,136,140,131,134,131,26,24,22,19,23,20,20,20,19,All
Malcolm Kenyatta,,,3,189,193,151,63,57,132,137,142,138,137,135,132,131,30,32,25,27,24,24,28,22,24,All
Katherine J Gilmore,,,,2,182,139,51,53,124,129,136,129,127,124,126,120,18,21,17,16,15,16,17,13,14,All
Jerry T Jordan,,,,,1,142,57,52,125,128,133,130,128,128,127,121,23,24,23,21,23,19,21,21,19,All
Ken Washington,,,,,,3,42,21,156,140,140,136,142,136,132,130,17,21,20,17,17,13,17,13,14,All
Lou Agre,,,,,,,5,131,30,14,12,16,13,18,14,17,99,95,93,90,91,92,86,85,85,All
Yasmeen Kaboud,,,,,,,,5,13,12,16,15,12,16,16,13,99,98,97,93,89,95,87,86,83,All
Heather A Steinmiller,,,,,,,,,3,125,127,123,127,128,119,126,13,12,12,14,11,12,14,11,13,All
Blondell Reynolds Brown,,,,,,,,,,2,127,136,129,129,122,123,14,14,8,14,7,8,16,10,13,All
Mary Jo Daley,,,,,,,,,,,0,127,128,124,132,124,14,17,12,8,11,11,12,8,10,All
Vincent Hughes,,,,,,,,,,,,0,132,131,120,124,13,15,12,15,9,9,18,11,13,All
Nicole Allen White,,,,,,,,,,,,,0,131,122,124,7,11,11,11,8,7,12,9,8,All
Joe Foster,,,,,,,,,,,,,,0,122,120,13,15,14,16,13,9,17,14,14,All
Mark Aronchick,,,,,,,,,,,,,,,1,115,13,11,12,11,12,10,12,12,7,All
Michelle W Singer,,,,,,,,,,,,,,,,0,13,17,11,11,7,10,15,10,11,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,96,94,89,90,95,89,88,89,All
Gwen Snyder,,,,,,,,,,,,,,,,,,0,94,92,88,91,87,80,84,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,,1,87,89,90,83,81,82,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,0,83,87,87,84,83,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,,0,87,77,82,80,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,0,81,83,84,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,0,82,84,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,0,81,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,,0,All
