col_1,col_2,col_3,col_4,col_5,col_6,division
Joe Sestak,,,11,0,0,16
John Fetterman,,,,6,0,16
Joseph J Vodvarka,,,,,6,16
Total,188,111,56,31,31,16
,Auditor General - Democrat,United States Senator - Democrat,,,,17
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,17
Eugene A Depasquale,18,112,30,18,12,17
Katie Mcginty,,28,0,0,0,17
Joe Sestak,,,12,0,0,17
John Fetterman,,,,6,0,17
Joseph J Vodvarka,,,,,3,17
Total,190,140,42,24,15,17
,Auditor General - Democrat,United States Senator - Democrat,,,,18
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,18
Eugene A Depasquale,14,93,32,15,12,18
Katie Mcginty,,37,0,0,0,18
Joe Sestak,,,12,0,0,18
John Fetterman,,,,5,0,18
Joseph J Vodvarka,,,,,4,18
Total,166,130,44,20,16,18
,Auditor General - Democrat,United States Senator - Democrat,,,,19
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,19
Eugene A Depasquale,14,85,32,19,21,19
Katie Mcginty,,23,0,0,0,19
Joe Sestak,,,16,0,0,19
Joseph J Vodvarka,,,,7,0,19
John Fetterman,,,,,4,19
Total,171,108,48,26,25,19
,Auditor General - Democrat,United States Senator - Democrat,,,,20
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,20
Eugene A Depasquale,24,93,29,27,20,20
Katie Mcginty,,34,0,0,0,20
Joe Sestak,,,19,0,0,20
Joseph J Vodvarka,,,,9,0,20
John Fetterman,,,,,5,20
Total,193,127,48,36,25,20
,Auditor General - Democrat,United States Senator - Democrat,,,,21
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,21
Eugene A Depasquale,16,94,41,28,23,21
Katie Mcginty,,32,0,0,0,21
Joe Sestak,,,10,0,0,21
Joseph J Vodvarka,,,,9,0,21
John Fetterman,,,,,7,21
Total,202,126,51,37,30,21
,Auditor General - Democrat,United States Senator - Democrat,,,,22
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,22
Eugene A Depasquale,5,71,32,24,16,22
Katie Mcginty,,16,0,0,0,22
Joe Sestak,,,10,0,0,22
John Fetterman,,,,4,0,22
Joseph J Vodvarka,,,,,4,22
Total,148,87,42,28,20,22
,Auditor General - Democrat,United States Senator - Democrat,,,,23
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,23
Eugene A Depasquale,14,99,34,25,22,23
Katie Mcginty,,27,0,0,0,23
Joe Sestak,,,14,0,0,23
Joseph J Vodvarka,,,,7,0,23
John Fetterman,,,,,7,23
Total,194,126,48,32,29,23
,Auditor General - Democrat,United States Senator - Democrat,,,,24
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,24
Eugene A Depasquale,11,106,34,15,11,24
Katie Mcginty,,42,0,0,0,24
Joe Sestak,,,17,0,0,24
John Fetterman,,,,4,0,24
Joseph J Vodvarka,,,,,6,24
Total,177,148,51,19,17,24
,Auditor General - Democrat,United States Senator - Democrat,,,,25
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,25
Eugene A Depasquale,13,90,35,24,15,25
Katie Mcginty,,66,0,0,0,25
Joe Sestak,,,16,0,0,25
John Fetterman,,,,5,0,25
Joseph J Vodvarka,,,,,7,25
Total,177,156,51,29,22,25
,Auditor General - Democrat,United States Senator - Democrat,,,,26
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,26
Eugene A Depasquale,10,98,40,21,20,26
Katie Mcginty,,20,0,0,0,26
Joe Sestak,,,22,0,0,26
Joseph J Vodvarka,,,,5,0,26
John Fetterman,,,,,5,26
Total,189,118,62,26,25,26
,Auditor General - Democrat,United States Senator - Democrat,,,,27
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,27
Eugene A Depasquale,12,80,33,25,15,27
Katie Mcginty,,33,0,0,0,27
Joe Sestak,,,6,0,0,27
John Fetterman,,,,7,0,27
Joseph J Vodvarka,,,,,6,27
Total,165,113,39,32,21,27
,Auditor General - Democrat,United States Senator - Democrat,,,,28
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,28
Eugene A Depasquale,13,115,37,16,13,28
Katie Mcginty,,25,0,0,0,28
Joe Sestak,,,15,0,0,28
John Fetterman,,,,4,0,28
Joseph J Vodvarka,,,,,1,28
Total,194,140,52,20,14,28
,Auditor General - Democrat,United States Senator - Democrat,,,,29
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,29
Eugene A Depasquale,6,118,48,16,7,29
Katie Mcginty,,74,0,0,0,29
Joe Sestak,,,24,0,0,29
John Fetterman,,,,2,0,29
Joseph J Vodvarka,,,,,2,29
Total,195,192,72,18,9,29
