col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 195th District - Democrat,,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Donna Bullock,Jimmie Moore,Jamar Izzo Izzard,Donnell L Jones,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Yasmeen Kaboud,Ken Washington,Mary Jo Daley,Lou Agre,Vincent Hughes,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,Tonya Diane Bah,William Leopold,Margaret Lenzi,Waleed Shahid,All
Donna Bullock,"1,836",0,0,0,"3,995","3,119","3,001","2,804","2,088","2,198","2,161","1,855","2,099","2,033","1,998","1,962","1,944","1,846","1,812","1,409","1,370","1,299","1,277","1,233","1,196","1,177","1,180","1,142",All
Jimmie Moore,,525,0,0,454,348,328,310,334,291,291,283,266,259,263,243,240,235,237,269,259,251,236,239,228,233,217,225,All
Jamar Izzo Izzard,,,178,0,392,285,264,231,475,176,161,401,175,156,148,148,142,134,127,300,305,286,284,288,271,256,260,271,All
Donnell L Jones,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Cindy Bass,,,,,91,"3,273","3,231","3,085",931,"2,462","2,485",874,"2,296","2,305","2,221","2,237","2,192","2,069","2,111",524,523,445,458,431,364,383,355,330,All
Malcolm Kenyatta,,,,,,19,"3,123","3,062",935,"2,361","2,368",859,"2,272","2,279","2,152","2,155","2,147","2,043","2,063",529,542,481,476,457,379,420,396,374,All
Katherine J Gilmore,,,,,,,10,"2,934",842,"2,268","2,348",740,"2,125","2,214","2,068","2,103","2,105","1,998","2,031",443,455,404,392,371,292,312,311,272,All
Jerry T Jordan,,,,,,,,3,833,"2,236","2,258",808,"2,098","2,211","2,028","2,049","2,021","1,982","1,985",445,475,399,410,389,318,353,321,300,All
Yasmeen Kaboud,,,,,,,,,37,476,441,"2,181",411,418,333,366,353,362,265,"1,825","1,771","1,739","1,714","1,692","1,611","1,582","1,552","1,549",All
Ken Washington,,,,,,,,,,4,"2,260",423,"2,218","2,173","2,121","2,167","2,109","2,048","2,075",392,394,321,350,321,293,300,274,253,All
Mary Jo Daley,,,,,,,,,,,5,359,"2,089","2,273","2,016","2,073","2,060","1,971","2,012",351,381,307,296,309,219,221,205,184,All
Lou Agre,,,,,,,,,,,,13,343,354,272,293,282,309,222,"1,742","1,709","1,685","1,633","1,662","1,560","1,540","1,490","1,481",All
Vincent Hughes,,,,,,,,,,,,,7,"2,025","2,213","2,130","2,070","2,038","1,998",302,337,263,304,239,276,302,303,275,All
Mark Aronchick,,,,,,,,,,,,,,2,"1,952","1,977","1,997","1,930","1,949",364,398,307,310,294,219,240,219,194,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,1,"2,064","2,042","1,950","1,973",231,275,200,243,202,208,244,244,221,All
Nicole Allen White,,,,,,,,,,,,,,,,2,"2,057","2,019","2,001",277,273,214,268,212,242,264,285,240,All
Michelle W Singer,,,,,,,,,,,,,,,,,0,"1,958","2,030",250,277,229,266,211,222,257,257,230,All
Joe Foster,,,,,,,,,,,,,,,,,,1,"1,932",271,280,227,282,218,254,281,289,268,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,1,173,205,158,199,147,179,203,203,161,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,,,6,"1,756","1,711","1,663","1,700","1,560","1,551","1,520","1,505",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,3,"1,704","1,644","1,718","1,568","1,573","1,528","1,490",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,,,1,"1,617","1,674","1,535","1,510","1,484","1,452",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,,1,"1,582","1,549","1,543","1,525","1,497",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,1,"1,504","1,525","1,459","1,461",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,3,"1,532","1,506","1,505",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1,520","1,496",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,487",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"8,291","1,389","1,123",10,"5,126","3,950","3,769","3,504","3,142","2,817","2,750","2,748","2,677","2,578","2,535","2,487","2,445","2,341","2,307","2,146","2,102","2,003","1,958","1,924","1,850","1,812","1,806","1,789",All
