col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Yasmeen Kaboud,Katherine J Gilmore,Jerry T Jordan,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Mary Jo Daley,Vincent Hughes,Carol Rose Fleischman,Ken Washington,Gwen Snyder,Mark Aronchick,Blondell Reynolds Brown,Hamdi Soysal,Tonya Diane Bah,William Leopold,Margaret Lenzi,Waleed Shahid,Michelle W Singer,Nicole Allen White,Joe Foster,Heather A Steinmiller,All
Cindy Bass,250,610,203,606,584,188,123,125,470,442,108,455,111,446,428,101,91,100,87,89,419,423,388,397,All
Malcolm Kenyatta,,32,189,586,583,181,118,127,450,433,105,440,107,443,420,101,88,100,96,94,411,399,388,393,All
Yasmeen Kaboud,,,82,174,182,528,474,461,87,91,450,97,443,91,66,431,420,417,413,414,78,76,81,53,All
Katherine J Gilmore,,,,36,553,157,99,101,440,407,92,418,87,419,396,81,77,78,73,67,392,392,372,371,All
Jerry T Jordan,,,,,15,180,114,116,430,402,100,429,103,433,389,93,88,97,86,83,385,386,388,379,All
Lou Agre,,,,,,46,449,437,67,74,428,88,431,84,58,424,401,407,400,397,63,68,75,51,All
Ariana Flores Gordon,,,,,,,8,460,73,72,447,84,442,78,49,441,418,419,411,411,59,63,67,41,All
Sherrie Cohen,,,,,,,,6,79,81,444,93,436,90,64,452,419,425,413,404,67,64,68,49,All
Mary Jo Daley,,,,,,,,,3,399,60,421,62,433,384,63,49,53,40,46,384,382,366,378,All
Vincent Hughes,,,,,,,,,,6,61,412,75,393,426,52,62,72,69,60,389,399,387,379,All
Carol Rose Fleischman,,,,,,,,,,,6,71,423,70,44,435,399,401,396,385,50,57,57,33,All
Ken Washington,,,,,,,,,,,,6,78,401,391,72,70,74,58,65,393,387,384,380,All
Gwen Snyder,,,,,,,,,,,,,2,75,54,411,407,411,410,402,62,68,68,44,All
Mark Aronchick,,,,,,,,,,,,,,3,375,63,53,61,54,52,373,364,363,366,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,5,44,41,53,51,50,390,383,366,374,All
Hamdi Soysal,,,,,,,,,,,,,,,,5,396,404,394,388,48,52,54,37,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,3,407,405,408,56,60,67,40,All
William Leopold,,,,,,,,,,,,,,,,,,1,410,405,67,64,70,49,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,1,401,63,64,68,45,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,6,59,53,69,43,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,1,374,363,381,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,1,371,363,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,2,364,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"1,004",742,733,703,673,644,544,541,517,512,511,509,506,495,492,492,478,475,472,472,466,460,445,432,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,Lou Agre,Yasmeen Kaboud,Sherrie Cohen,William Leopold,Ariana Flores Gordon,Tonya Diane Bah,Margaret Lenzi,Waleed Shahid,Cindy Bass,Hamdi Soysal,Gwen Snyder,Carol Rose Fleischman,Jerry T Jordan,Katherine J Gilmore,Vincent Hughes,Malcolm Kenyatta,Ken Washington,Mark Aronchick,Michelle W Singer,Blondell Reynolds Brown,Nicole Allen White,Mary Jo Daley,Joe Foster,Heather A Steinmiller,1
Lou Agre,4,55,51,51,49,49,49,49,13,48,45,44,13,8,10,11,8,8,9,6,8,4,10,7,1
Yasmeen Kaboud,,4,50,47,47,50,46,47,9,45,45,43,10,7,10,8,6,5,8,5,5,4,7,6,1
Sherrie Cohen,,,2,50,49,50,49,48,11,48,46,46,11,7,10,8,7,6,8,5,7,3,9,7,1
William Leopold,,,,0,46,47,48,46,13,48,44,44,14,9,10,13,10,10,11,8,10,5,12,8,1
Ariana Flores Gordon,,,,,1,47,45,46,11,44,45,44,10,7,9,7,6,6,9,4,7,4,9,6,1
Tonya Diane Bah,,,,,,0,48,48,8,47,44,44,8,7,7,6,5,5,7,3,5,4,7,4,1
Margaret Lenzi,,,,,,,0,45,9,48,45,45,9,6,8,8,6,7,7,3,8,3,8,6,1
Waleed Shahid,,,,,,,,0,9,44,43,41,9,4,5,7,4,5,8,3,5,3,8,5,1
Cindy Bass,,,,,,,,,6,7,6,7,34,34,32,31,28,28,30,28,30,27,26,24,1
Hamdi Soysal,,,,,,,,,,0,44,43,8,6,5,6,5,6,6,4,6,2,7,5,1
Gwen Snyder,,,,,,,,,,,1,43,6,4,6,4,3,5,6,1,6,2,5,5,1
Carol Rose Fleischman,,,,,,,,,,,,0,7,4,6,5,6,4,7,1,5,1,6,4,1
Jerry T Jordan,,,,,,,,,,,,,0,27,28,34,29,26,25,25,23,25,25,23,1
Katherine J Gilmore,,,,,,,,,,,,,,1,31,30,25,27,26,28,27,27,21,22,1
Vincent Hughes,,,,,,,,,,,,,,,0,29,28,27,26,29,26,25,24,24,1
Malcolm Kenyatta,,,,,,,,,,,,,,,,0,29,28,25,27,24,24,22,22,1
Ken Washington,,,,,,,,,,,,,,,,,0,25,24,23,23,24,21,19,1
Mark Aronchick,,,,,,,,,,,,,,,,,,0,24,24,24,25,20,20,1
Michelle W Singer,,,,,,,,,,,,,,,,,,,0,23,25,24,23,25,1
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,0,21,20,18,20,1
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,0,25,21,21,1
Mary Jo Daley,,,,,,,,,,,,,,,,,,,,,,0,20,22,1
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,0,21,1
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,66,65,57,55,53,53,52,51,50,50,49,46,41,40,40,38,33,33,33,32,31,30,29,28,1
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,2
,Cindy Bass,Katherine J Gilmore,Jerry T Jordan,Malcolm Kenyatta,Yasmeen Kaboud,Lou Agre,Carol Rose Fleischman,Ariana Flores Gordon,Sherrie Cohen,Gwen Snyder,Ken Washington,Mark Aronchick,Mary Jo Daley,William Leopold,Hamdi Soysal,Tonya Diane Bah,Waleed Shahid,Blondell Reynolds Brown,Heather A Steinmiller,Joe Foster,Margaret Lenzi,Michelle W Singer,Nicole Allen White,Vincent Hughes,2
