col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 2nd District - Republican,Delegate To The Republican National Convention 2nd District,,,,All
,James A Jones,Calvin Tucker,Aaron Cohen,Elizabeth Havey,Aldridk Gessa,All
James A Jones,1,6,5,4,1,All
Calvin Tucker,,0,4,1,1,All
Aaron Cohen,,,0,1,1,All
Elizabeth Havey,,,,1,0,All
Aldridk Gessa,,,,,0,All
Total,11,6,5,5,1,All
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,1
,Aaron Cohen,Calvin Tucker,Aldridk Gessa,Elizabeth Havey,James A Jones,1
Aaron Cohen,0,1,0,0,1,1
Calvin Tucker,,0,0,0,1,1
Aldridk Gessa,,,0,0,0,1
Elizabeth Havey,,,,0,0,1
James A Jones,,,,,0,1
Total,1,1,0,0,1,1
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,4
,Calvin Tucker,Aaron Cohen,Aldridk Gessa,Elizabeth Havey,James A Jones,4
Calvin Tucker,0,0,0,0,1,4
Aaron Cohen,,0,0,0,0,4
Aldridk Gessa,,,0,0,0,4
Elizabeth Havey,,,,0,0,4
James A Jones,,,,,0,4
Total,1,0,0,0,1,4
,Representative In Congress 2nd District - Republican,Delegate To The Republican National Convention 2nd District,,,,11
,James A Jones,Calvin Tucker,Elizabeth Havey,Aaron Cohen,Aldridk Gessa,11
James A Jones,1,1,0,0,0,11
Calvin Tucker,,0,0,0,0,11
Elizabeth Havey,,,1,0,0,11
Aaron Cohen,,,,0,0,11
Aldridk Gessa,,,,,0,11
Total,2,1,1,0,0,11
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,13
,Elizabeth Havey,Aaron Cohen,Aldridk Gessa,Calvin Tucker,James A Jones,13
Elizabeth Havey,0,0,0,0,1,13
Aaron Cohen,,0,0,0,0,13
Aldridk Gessa,,,0,0,0,13
Calvin Tucker,,,,0,0,13
James A Jones,,,,,0,13
Total,1,0,0,0,1,13
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,14
,Elizabeth Havey,Aaron Cohen,Aldridk Gessa,Calvin Tucker,James A Jones,14
Elizabeth Havey,0,0,0,0,1,14
Aaron Cohen,,0,0,0,0,14
Aldridk Gessa,,,0,0,0,14
Calvin Tucker,,,,0,0,14
James A Jones,,,,,0,14
Total,1,0,0,0,1,14
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,15
,Elizabeth Havey,Aaron Cohen,Aldridk Gessa,Calvin Tucker,James A Jones,15
Elizabeth Havey,0,0,0,0,1,15
Aaron Cohen,,0,0,0,0,15
Aldridk Gessa,,,0,0,0,15
Calvin Tucker,,,,0,0,15
James A Jones,,,,,0,15
Total,1,0,0,0,1,15
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,16
,Aaron Cohen,Calvin Tucker,Elizabeth Havey,Aldridk Gessa,James A Jones,16
Aaron Cohen,0,2,1,0,3,16
Calvin Tucker,,0,1,0,2,16
Elizabeth Havey,,,0,0,1,16
Aldridk Gessa,,,,0,0,16
James A Jones,,,,,0,16
Total,3,2,1,0,3,16
,Delegate To The Republican National Convention 2nd District,,,,Representative In Congress 2nd District - Republican,18
,Aaron Cohen,Aldridk Gessa,Calvin Tucker,Elizabeth Havey,James A Jones,18
Aaron Cohen,0,1,1,0,1,18
Aldridk Gessa,,0,1,0,1,18
Calvin Tucker,,,0,0,1,18
Elizabeth Havey,,,,0,0,18
James A Jones,,,,,0,18
Total,1,1,1,0,1,18
