col_1,col_2,col_3,col_4,division
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 202nd District - Democrat,,All
,Robert A Brady,Jared Solomon,Mark B Cohen,All
Robert A Brady,2,92,83,All
Jared Solomon,,37,0,All
Mark B Cohen,,,16,All
Total,177,129,99,All
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 202nd District - Democrat,,3
,Robert A Brady,Jared Solomon,Mark B Cohen,3
Robert A Brady,2,56,53,3
Jared Solomon,,14,0,3
Mark B Cohen,,,12,3
Total,111,70,65,3
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 202nd District - Democrat,,16
,Robert A Brady,Jared Solomon,Mark B Cohen,16
Robert A Brady,0,36,30,16
Jared Solomon,,23,0,16
Mark B Cohen,,,4,16
Total,66,59,34,16
