col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,All
,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Ryan N Boyer,Maria Quinones Sanchez,Jennifer Lentz,Angel Cruz,Cathy Brady,Leanne Krueger Braneky,H Douglass Brown,Ted Kirsch,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Thaddeus Kirkland,148,"3,623","3,143","2,944","2,970","2,941","2,824","2,815","2,858",941,"2,584",858,761,575,542,489,"2,557","1,318",509,673,All
Blake Rutherford,,45,"2,908","2,846","2,655","2,817","2,660","2,703","2,617",745,"2,498",664,569,412,378,332,"2,130",962,338,364,All
Anne Wakabayashi,,,5,"2,821","2,730","2,816","2,620","2,657","2,741",599,"2,457",523,567,427,369,337,"1,968",904,190,209,All
Ryan N Boyer,,,,14,"2,566","2,763","2,593","2,615","2,555",572,"2,411",498,507,395,338,311,"1,966",847,175,193,All
Maria Quinones Sanchez,,,,,3,"2,609","2,716","2,671","2,678",505,"2,565",422,475,382,414,366,"1,919",922,167,153,All
Jennifer Lentz,,,,,,4,"2,663","2,629","2,581",643,"2,458",585,659,456,412,385,"1,901",869,162,192,All
Angel Cruz,,,,,,,1,"2,613","2,540",517,"2,522",458,490,420,411,366,"1,838",832,161,148,All
Cathy Brady,,,,,,,,5,"2,588",462,"2,470",379,431,270,309,237,"1,820",833,157,154,All
Leanne Krueger Braneky,,,,,,,,,5,478,"2,434",410,458,344,316,286,"1,800",815,164,169,All
H Douglass Brown,,,,,,,,,,73,344,"1,943","1,796","1,585","1,488","1,409","1,008",968,516,414,All
Ted Kirsch,,,,,,,,,,,0,310,317,276,303,253,"1,697",725,144,123,All
Peter Cutty,,,,,,,,,,,,18,"1,608","1,429","1,342","1,314",789,733,361,276,All
Amanda Mcillmurray,,,,,,,,,,,,,2,"1,560","1,466","1,389",840,764,261,162,All
Kat Richter,,,,,,,,,,,,,,0,"1,382","1,373",677,644,241,129,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,0,"1,293",669,628,226,102,All
Jacob Adeniran,,,,,,,,,,,,,,,,2,598,592,215,98,All
Katie Mcginty,,,,,,,,,,,,,,,,,503,0,0,0,All
Joe Sestak,,,,,,,,,,,,,,,,,,297,0,0,All
John Fetterman,,,,,,,,,,,,,,,,,,,103,0,All
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,,,106,All
Total,"5,548","4,149","3,466","3,372","3,357","3,312","3,156","3,146","3,130","3,110","2,843","2,290","2,128","1,773","1,693","1,581","4,214","2,590","1,166","1,160",All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,1
,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Jennifer Lentz,Ryan N Boyer,Cathy Brady,Ted Kirsch,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,1
Thaddeus Kirkland,1,75,71,67,66,63,66,61,60,60,15,11,12,11,8,7,60,11,13,8,1
Blake Rutherford,,1,64,59,58,60,63,61,61,59,11,9,8,8,4,6,50,9,11,6,1
Anne Wakabayashi,,,0,69,67,64,63,62,63,62,10,6,9,10,4,5,53,7,11,3,1
Maria Quinones Sanchez,,,,0,66,63,61,58,60,61,12,7,10,9,6,5,53,4,8,4,1
Leanne Krueger Braneky,,,,,0,62,59,59,59,60,9,6,7,8,8,6,53,4,9,2,1
Angel Cruz,,,,,,0,66,58,63,63,11,7,8,9,6,5,53,4,8,1,1
Jennifer Lentz,,,,,,,0,59,61,61,11,7,9,9,5,5,49,8,7,1,1
Ryan N Boyer,,,,,,,,0,57,57,9,5,8,6,5,4,50,6,7,2,1
Cathy Brady,,,,,,,,,1,59,6,2,4,6,1,2,49,5,9,2,1
Ted Kirsch,,,,,,,,,,0,9,6,7,8,4,4,49,4,7,1,1
H Douglass Brown,,,,,,,,,,,2,29,28,23,22,19,17,11,4,8,1
Peter Cutty,,,,,,,,,,,,0,25,21,20,19,14,8,3,4,1
Amanda Mcillmurray,,,,,,,,,,,,,0,23,21,18,15,9,2,4,1
Katherine Hunter Snyder,,,,,,,,,,,,,,0,17,16,12,9,3,2,1
Kat Richter,,,,,,,,,,,,,,,0,16,10,7,2,3,1
Jacob Adeniran,,,,,,,,,,,,,,,,0,7,7,3,2,1
Katie Mcginty,,,,,,,,,,,,,,,,,11,0,0,0,1
Joe Sestak,,,,,,,,,,,,,,,,,,6,0,0,1
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,,2,0,1
John Fetterman,,,,,,,,,,,,,,,,,,,,1,1
Total,102,86,79,74,72,71,71,70,69,66,47,32,31,26,23,21,89,30,22,16,1
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,2
,Thaddeus Kirkland,Blake Rutherford,Maria Quinones Sanchez,H Douglass Brown,Jennifer Lentz,Leanne Krueger Braneky,Anne Wakabayashi,Angel Cruz,Cathy Brady,Ryan N Boyer,Peter Cutty,Ted Kirsch,Amanda Mcillmurray,Katherine Hunter Snyder,Jacob Adeniran,Kat Richter,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,2
Thaddeus Kirkland,7,57,58,17,53,56,52,49,47,42,22,38,18,11,11,6,50,29,8,9,2
Blake Rutherford,,1,45,13,44,42,47,41,43,41,11,36,8,3,3,3,35,19,5,2,2
Maria Quinones Sanchez,,,0,16,50,53,48,51,47,42,13,42,13,12,13,7,38,22,1,1,2
H Douglass Brown,,,,2,11,11,12,11,12,9,37,7,29,21,20,21,23,18,13,6,2
Jennifer Lentz,,,,,0,49,45,44,43,40,15,33,16,8,9,4,33,19,0,1,2
Leanne Krueger Braneky,,,,,,0,47,47,46,40,13,37,13,8,10,6,33,20,1,1,2
Anne Wakabayashi,,,,,,,0,43,44,42,8,38,11,2,5,6,30,22,1,1,2
Angel Cruz,,,,,,,,0,45,39,11,38,10,10,11,7,33,19,1,0,2
Cathy Brady,,,,,,,,,0,42,10,38,8,6,6,6,33,18,1,0,2
Ryan N Boyer,,,,,,,,,,0,5,34,3,3,2,2,29,22,1,0,2
Peter Cutty,,,,,,,,,,,0,4,32,23,24,18,21,13,9,5,2
Ted Kirsch,,,,,,,,,,,,0,4,5,4,4,25,16,1,0,2
Amanda Mcillmurray,,,,,,,,,,,,,0,24,25,20,21,10,4,4,2
Katherine Hunter Snyder,,,,,,,,,,,,,,0,21,15,15,9,3,1,2
Jacob Adeniran,,,,,,,,,,,,,,,0,20,14,8,4,1,2
Kat Richter,,,,,,,,,,,,,,,,0,11,8,3,1,2
Katie Mcginty,,,,,,,,,,,,,,,,,14,0,0,0,2
Joe Sestak,,,,,,,,,,,,,,,,,,7,0,0,2
John Fetterman,,,,,,,,,,,,,,,,,,,0,0,2
Joseph J Vodvarka,,,,,,,,,,,,,,,,,,,,0,2
Total,109,65,65,62,57,57,56,54,53,53,51,43,41,29,28,23,90,55,22,17,2
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,3
