col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In Congress 1st District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Robert A Brady,Angel Cruz,Thaddeus Kirkland,Maria Quinones Sanchez,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Leanne Krueger Braneky,Jennifer Lentz,Peter Cutty,Ryan N Boyer,Cathy Brady,Ted Kirsch,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Robert A Brady,138,402,699,425,463,404,331,311,299,318,265,273,252,230,187,181,153,All
Angel Cruz,,424,384,410,319,86,330,317,332,85,291,289,285,86,59,69,46,All
Thaddeus Kirkland,,,40,384,484,141,383,359,331,141,314,305,286,77,38,49,28,All
Maria Quinones Sanchez,,,,151,300,75,331,323,310,75,281,288,283,80,55,65,47,All
Blake Rutherford,,,,,14,121,315,291,311,124,298,287,261,56,32,32,22,All
H Douglass Brown,,,,,,26,65,56,71,282,47,50,38,216,187,175,162,All
Anne Wakabayashi,,,,,,,2,343,317,58,303,288,264,59,33,34,18,All
Leanne Krueger Braneky,,,,,,,,3,298,61,283,283,258,66,35,39,27,All
Jennifer Lentz,,,,,,,,,3,77,297,298,269,84,44,45,34,All
Peter Cutty,,,,,,,,,,3,43,51,33,197,171,162,150,All
Ryan N Boyer,,,,,,,,,,,1,275,253,49,22,27,16,All
Cathy Brady,,,,,,,,,,,,3,263,59,25,32,17,All
Ted Kirsch,,,,,,,,,,,,,3,40,29,34,26,All
Amanda Mcillmurray,,,,,,,,,,,,,,2,201,186,168,All
Kat Richter,,,,,,,,,,,,,,,2,179,166,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,2,155,All
Jacob Adeniran,,,,,,,,,,,,,,,,,0,All
Total,"1,358",976,866,717,583,484,428,403,395,369,349,347,323,277,228,221,188,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In Congress 1st District - Democrat,1
,Angel Cruz,Thaddeus Kirkland,Maria Quinones Sanchez,Blake Rutherford,H Douglass Brown,Peter Cutty,Cathy Brady,Jennifer Lentz,Ted Kirsch,Anne Wakabayashi,Ryan N Boyer,Leanne Krueger Braneky,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Robert A Brady,1
Angel Cruz,55,8,14,6,1,2,4,6,6,5,4,3,1,2,1,1,11,1
Thaddeus Kirkland,,0,8,15,6,7,6,7,7,6,6,4,2,2,1,1,27,1
Maria Quinones Sanchez,,,9,6,1,2,4,6,6,5,4,3,1,2,1,1,12,1
Blake Rutherford,,,,1,6,7,4,6,4,5,5,3,1,1,1,1,16,1
H Douglass Brown,,,,,1,6,2,2,1,2,1,1,2,1,1,0,13,1
Peter Cutty,,,,,,1,1,2,0,1,2,1,1,1,1,1,11,1
Cathy Brady,,,,,,,0,5,5,5,4,3,2,1,0,0,7,1
Jennifer Lentz,,,,,,,,0,5,6,5,3,2,2,1,1,6,1
Ted Kirsch,,,,,,,,,0,5,4,3,1,1,0,0,6,1
Anne Wakabayashi,,,,,,,,,,0,4,3,2,1,0,0,5,1
Ryan N Boyer,,,,,,,,,,,0,3,1,1,1,1,5,1
Leanne Krueger Braneky,,,,,,,,,,,,1,1,0,0,0,4,1
Amanda Mcillmurray,,,,,,,,,,,,,0,2,1,0,3,1
Katherine Hunter Snyder,,,,,,,,,,,,,,0,2,1,3,1
Kat Richter,,,,,,,,,,,,,,,0,1,2,1
Jacob Adeniran,,,,,,,,,,,,,,,,0,1,1
Robert A Brady,,,,,,,,,,,,,,,,,8,1
Total,70,29,25,19,14,13,7,7,7,6,6,5,3,3,2,1,55,1
,Representative In Congress 1st District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,2
