col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,United States Senator - Democrat,,,,Senator In The General Assembly 1st District - Democrat,,All
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,Lawrence M Farnese Jr,John H Morley Jr,All
Katie Mcginty,49,0,0,0,71,25,All
Joe Sestak,,20,0,0,30,16,All
John Fetterman,,,8,0,25,16,All
Joseph J Vodvarka,,,,1,9,2,All
Lawrence M Farnese Jr,,,,,6,0,All
John H Morley Jr,,,,,,2,All
Total,145,66,49,12,141,61,All
,United States Senator - Democrat,,,,Senator In The General Assembly 1st District - Democrat,,10
,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,Lawrence M Farnese Jr,John H Morley Jr,10
Katie Mcginty,49,0,0,0,71,25,10
Joe Sestak,,20,0,0,30,16,10
John Fetterman,,,8,0,25,16,10
Joseph J Vodvarka,,,,1,9,2,10
Lawrence M Farnese Jr,,,,,6,0,10
John H Morley Jr,,,,,,2,10
Total,145,66,49,12,141,61,10
