col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,W Curtis Thomas,Kenneth T Walker Jr,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Mary Jo Daley,Nicole Allen White,Yasmeen Kaboud,Mark Aronchick,Vincent Hughes,Blondell Reynolds Brown,Lou Agre,Michelle W Singer,Heather A Steinmiller,Joe Foster,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,William Leopold,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,All
W Curtis Thomas,181,0,872,656,665,623,432,412,395,308,391,396,386,286,371,352,356,195,170,172,164,155,154,158,142,140,All
Kenneth T Walker Jr,,84,221,163,143,149,109,96,105,176,89,89,83,163,80,74,83,128,117,111,116,112,111,100,108,105,All
Cindy Bass,,,20,742,754,728,522,511,496,171,489,474,461,186,450,424,435,105,90,85,85,72,74,67,51,63,All
Malcolm Kenyatta,,,,4,717,712,475,474,452,174,465,451,437,182,437,416,424,105,92,88,92,76,82,71,66,74,All
Katherine J Gilmore,,,,,2,708,469,472,453,172,461,439,423,160,437,413,420,83,77,75,77,58,59,53,45,56,All
Jerry T Jordan,,,,,,3,456,454,436,166,449,430,410,183,414,402,412,87,81,82,78,71,73,62,52,64,All
Ken Washington,,,,,,,2,479,480,82,466,461,447,95,452,456,433,79,67,70,69,60,63,56,44,52,All
Mary Jo Daley,,,,,,,,2,461,73,479,433,425,76,436,412,415,66,60,57,63,45,46,37,32,35,All
Nicole Allen White,,,,,,,,,3,69,446,460,443,68,446,421,432,63,55,50,52,48,56,50,42,58,All
Yasmeen Kaboud,,,,,,,,,,7,71,61,48,352,40,38,55,280,260,262,257,248,242,240,236,222,All
Mark Aronchick,,,,,,,,,,,0,437,419,71,434,420,420,67,63,57,57,49,45,37,29,36,All
Vincent Hughes,,,,,,,,,,,,0,451,63,439,412,431,52,48,45,46,47,50,48,40,48,All
Blondell Reynolds Brown,,,,,,,,,,,,,1,48,424,403,412,44,43,32,34,38,44,39,32,37,All
Lou Agre,,,,,,,,,,,,,,3,45,55,50,272,251,253,247,236,232,235,221,216,All
Michelle W Singer,,,,,,,,,,,,,,,0,426,413,34,37,33,32,30,39,28,25,36,All
Heather A Steinmiller,,,,,,,,,,,,,,,,0,396,34,24,29,28,25,33,27,20,30,All
Joe Foster,,,,,,,,,,,,,,,,,0,42,40,34,35,37,46,38,37,43,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,0,262,263,257,250,239,237,228,226,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,255,257,239,233,231,220,222,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,0,257,238,233,241,222,215,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,0,237,231,227,224,215,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,1,232,228,226,211,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,0,235,224,221,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,0,224,219,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,0,222,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,420",528,"1,175",875,865,822,610,560,547,529,527,525,509,494,489,484,478,347,309,307,302,287,287,281,272,267,All
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,W Curtis Thomas,Kenneth T Walker Jr,Cindy Bass,Lou Agre,Yasmeen Kaboud,Katherine J Gilmore,Malcolm Kenyatta,Jerry T Jordan,Ken Washington,Hamdi Soysal,Nicole Allen White,Sherrie Cohen,Ariana Flores Gordon,Blondell Reynolds Brown,Margaret Lenzi,Mary Jo Daley,Vincent Hughes,Waleed Shahid,William Leopold,Carol Rose Fleischman,Tonya Diane Bah,Gwen Snyder,Joe Foster,Michelle W Singer,Heather A Steinmiller,Mark Aronchick,1
W Curtis Thomas,4,0,25,16,15,15,13,13,11,8,10,7,8,11,6,11,10,7,7,7,6,5,10,9,9,8,1
Kenneth T Walker Jr,,3,18,10,7,9,7,5,5,7,5,7,5,3,7,3,4,5,6,5,5,6,1,2,1,2,1
Cindy Bass,,,0,9,4,20,18,18,16,5,14,5,4,13,6,13,13,2,4,2,3,3,10,11,10,10,1
Lou Agre,,,,0,15,3,6,5,1,10,2,11,10,2,8,2,2,10,9,8,7,9,2,0,1,1,1
Yasmeen Kaboud,,,,,1,3,4,2,0,11,1,12,11,1,9,2,1,12,11,10,9,9,2,0,0,0,1
Katherine J Gilmore,,,,,,0,15,11,13,4,11,3,2,10,4,10,9,1,2,1,3,1,8,10,8,8,1
Malcolm Kenyatta,,,,,,,0,12,12,4,11,3,4,11,4,10,13,2,3,1,3,3,9,8,9,9,1
Jerry T Jordan,,,,,,,,0,10,1,10,2,0,9,2,10,10,1,0,0,1,1,8,9,8,8,1
Ken Washington,,,,,,,,,0,4,15,4,3,13,5,13,12,2,2,1,3,2,10,12,11,11,1
Hamdi Soysal,,,,,,,,,,0,3,12,13,2,11,4,3,12,13,11,12,11,3,1,1,1,1
Nicole Allen White,,,,,,,,,,,0,5,3,13,5,13,12,3,2,1,3,3,10,11,10,11,1
Sherrie Cohen,,,,,,,,,,,,0,12,4,12,4,3,12,11,10,10,11,3,2,2,2,1
Ariana Flores Gordon,,,,,,,,,,,,,0,3,12,2,3,11,13,11,11,10,3,0,2,2,1
Blondell Reynolds Brown,,,,,,,,,,,,,,0,3,11,13,2,2,0,1,2,10,11,10,11,1
Margaret Lenzi,,,,,,,,,,,,,,,0,3,3,9,12,11,11,9,3,1,3,3,1
Mary Jo Daley,,,,,,,,,,,,,,,,0,11,4,2,1,2,3,11,11,9,9,1
Vincent Hughes,,,,,,,,,,,,,,,,,0,3,2,0,2,3,9,9,9,10,1
Waleed Shahid,,,,,,,,,,,,,,,,,,0,11,10,10,10,3,1,1,1,1
William Leopold,,,,,,,,,,,,,,,,,,,0,13,12,10,3,0,1,1,1
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,0,11,9,2,0,1,0,1
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,0,9,2,0,1,1,1
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,0,9,10,9,1
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,1
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,0,10,1
Mark Aronchick,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,53,29,43,27,25,24,20,18,17,16,16,16,15,15,15,15,15,15,15,14,13,12,12,12,11,11,1
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,2
,W Curtis Thomas,Kenneth T Walker Jr,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Gwen Snyder,Carol Rose Fleischman,Margaret Lenzi,Tonya Diane Bah,Waleed Shahid,Hamdi Soysal,Sherrie Cohen,William Leopold,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Joe Foster,Mark Aronchick,Vincent Hughes,Blondell Reynolds Brown,Nicole Allen White,Mary Jo Daley,Heather A Steinmiller,Michelle W Singer,2
W Curtis Thomas,9,0,30,25,22,22,21,20,21,22,20,20,20,37,28,27,25,18,16,14,15,16,13,13,12,11,2
Kenneth T Walker Jr,,8,34,30,27,26,27,27,26,25,26,26,26,13,9,7,9,5,6,7,6,4,5,4,3,4,2
Yasmeen Kaboud,,,0,58,53,53,52,52,53,52,51,51,52,8,14,8,11,6,7,7,6,3,5,1,2,2,2
Lou Agre,,,,0,50,50,49,49,50,48,49,49,49,8,15,8,14,4,5,7,6,3,3,2,2,1,2
Ariana Flores Gordon,,,,,0,54,50,52,51,51,51,51,51,4,11,4,8,6,6,6,6,3,4,0,1,1,2
Gwen Snyder,,,,,,0,50,52,51,51,51,51,51,4,11,4,8,6,6,6,6,3,4,0,1,1,2
