col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 201st District - Democrat,President Of The United States - Democrat,,,All
,Stephen Kinsey,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,All
Stephen Kinsey,37,"2,728","1,112",4,All
Hillary Clinton,,"1,062",0,0,All
Bernie Sanders,,,327,0,All
Roque Rocky De La Fuente,,,,3,All
Total,"3,881","3,790","1,439",7,All
,President Of The United States - Democrat,,,Representative In The General Assembly 201st District - Democrat,1
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Stephen Kinsey,1
Hillary Clinton,46,0,0,135,1
Bernie Sanders,,12,0,39,1
Roque Rocky De La Fuente,,,0,0,1
Stephen Kinsey,,,,1,1
Total,181,51,0,175,1
,President Of The United States - Democrat,,,Representative In The General Assembly 201st District - Democrat,2
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Stephen Kinsey,2
Hillary Clinton,44,0,0,108,2
Bernie Sanders,,17,0,40,2
Roque Rocky De La Fuente,,,0,0,2
Stephen Kinsey,,,,1,2
Total,152,57,0,149,2
,Representative In The General Assembly 201st District - Democrat,President Of The United States - Democrat,,,3
,Stephen Kinsey,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,3
Stephen Kinsey,0,141,58,0,3
Hillary Clinton,,47,0,0,3
Bernie Sanders,,,17,0,3
Roque Rocky De La Fuente,,,,0,3
Total,199,188,75,0,3
,President Of The United States - Democrat,,,Representative In The General Assembly 201st District - Democrat,4
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Stephen Kinsey,4
Hillary Clinton,109,0,0,170,4
Bernie Sanders,,16,0,30,4
Roque Rocky De La Fuente,,,0,0,4
Stephen Kinsey,,,,0,4
Total,279,46,0,200,4
,Representative In The General Assembly 201st District - Democrat,President Of The United States - Democrat,,,5
,Stephen Kinsey,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,5
Stephen Kinsey,3,120,47,1,5
Hillary Clinton,,45,0,0,5
Bernie Sanders,,,14,0,5
Roque Rocky De La Fuente,,,,0,5
Total,171,165,61,1,5
,Representative In The General Assembly 201st District - Democrat,President Of The United States - Democrat,,,6
