col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Joe Torsella,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Betsy May Kilkenny,Val Arkoosh,Mike Stack,Elaine Tomlin,Linda A Fields,Louis Farinella,Henry Albert,Charles Quann,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,All
Joe Torsella,251,"1,516","1,031",934,943,864,747,720,647,660,639,639,629,563,534,All
Allyson Y Schwartz,,120,466,510,929,877,763,745,279,682,257,676,274,596,208,All
Michael J Rahming,,,59,697,348,324,229,246,593,201,641,186,572,131,536,All
Mark B Cohen,,,,46,317,287,337,311,615,266,654,236,596,198,535,All
Betsy May Kilkenny,,,,,29,823,653,682,165,641,156,630,160,563,110,All
Val Arkoosh,,,,,,19,605,638,139,611,128,601,140,543,99,All
Mike Stack,,,,,,,8,657,197,594,166,584,188,550,145,All
Elaine Tomlin,,,,,,,,3,179,625,168,613,177,544,132,All
Linda A Fields,,,,,,,,,3,127,603,115,607,88,564,All
Louis Farinella,,,,,,,,,,1,127,592,126,542,91,All
Henry Albert,,,,,,,,,,,2,117,581,73,542,All
Charles Quann,,,,,,,,,,,,3,113,531,75,All
Melissa Robbins,,,,,,,,,,,,,1,90,561,All
W Gerard Oleksiak,,,,,,,,,,,,,,2,59,All
Bev Hahn,,,,,,,,,,,,,,,2,All
Total,"2,684","1,801","1,222","1,128","1,100",999,856,821,751,748,743,727,724,645,626,All
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,1
,Joe Torsella,Allyson Y Schwartz,Mark B Cohen,Betsy May Kilkenny,Michael J Rahming,Val Arkoosh,Elaine Tomlin,Mike Stack,Charles Quann,Henry Albert,Louis Farinella,W Gerard Oleksiak,Linda A Fields,Melissa Robbins,Bev Hahn,1
Joe Torsella,7,66,46,39,38,36,29,29,27,27,24,23,26,23,22,1
Allyson Y Schwartz,,3,27,42,22,43,31,34,29,15,28,26,14,10,10,1
Mark B Cohen,,,2,14,33,14,18,18,14,28,12,11,25,21,21,1
Betsy May Kilkenny,,,,0,13,41,27,26,27,7,28,28,4,2,1,1
Michael J Rahming,,,,,4,12,10,7,6,27,3,3,24,21,20,1
Val Arkoosh,,,,,,0,28,27,28,6,30,28,4,2,1,1
Elaine Tomlin,,,,,,,1,27,24,9,26,25,8,7,6,1
Mike Stack,,,,,,,,0,27,8,26,27,8,7,7,1
Charles Quann,,,,,,,,,0,7,26,25,5,3,2,1
Henry Albert,,,,,,,,,,1,4,4,23,21,20,1
Louis Farinella,,,,,,,,,,,0,27,2,1,0,1
W Gerard Oleksiak,,,,,,,,,,,,0,2,2,1,1
Linda A Fields,,,,,,,,,,,,,0,22,23,1
Melissa Robbins,,,,,,,,,,,,,,0,22,1
Bev Hahn,,,,,,,,,,,,,,,0,1
Total,110,79,54,49,49,45,37,36,31,31,30,29,28,24,23,1
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,2
,Joe Torsella,Allyson Y Schwartz,Michael J Rahming,Betsy May Kilkenny,Val Arkoosh,Mark B Cohen,Elaine Tomlin,Henry Albert,Louis Farinella,Linda A Fields,Mike Stack,Charles Quann,Melissa Robbins,Bev Hahn,W Gerard Oleksiak,2
Joe Torsella,9,81,57,41,40,40,35,33,33,31,32,30,31,26,24,2
Allyson Y Schwartz,,5,22,40,43,20,36,12,34,14,32,32,13,11,26,2
Michael J Rahming,,,4,13,12,36,11,35,11,32,9,7,30,31,5,2
Betsy May Kilkenny,,,,4,35,13,32,8,32,9,30,30,8,7,25,2
Val Arkoosh,,,,,3,13,30,6,30,7,27,31,8,4,26,2
Mark B Cohen,,,,,,1,10,32,13,29,10,10,27,28,7,2
Elaine Tomlin,,,,,,,0,8,29,8,33,28,8,6,25,2
Henry Albert,,,,,,,,1,9,32,7,6,30,29,1,2
Louis Farinella,,,,,,,,,1,10,29,31,7,6,25,2
Linda A Fields,,,,,,,,,,1,9,6,30,28,2,2
Mike Stack,,,,,,,,,,,1,27,8,6,26,2
Charles Quann,,,,,,,,,,,,0,7,3,25,2
Melissa Robbins,,,,,,,,,,,,,0,27,2,2
Bev Hahn,,,,,,,,,,,,,,0,2,2
