col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Eugene A Depasquale,Allyson Y Schwartz,Betsy May Kilkenny,Mark B Cohen,Michael J Rahming,Elaine Tomlin,Louis Farinella,Linda A Fields,Mike Stack,Henry Albert,Val Arkoosh,W Gerard Oleksiak,Melissa Robbins,Charles Quann,Bev Hahn,All
Eugene A Depasquale,11,130,102,75,71,70,66,63,61,53,54,54,50,46,40,All
Allyson Y Schwartz,,12,104,46,27,74,70,33,66,25,56,57,19,47,14,All
Betsy May Kilkenny,,,4,35,21,66,66,24,55,18,51,54,11,44,6,All
Mark B Cohen,,,,2,56,34,32,53,26,60,15,24,47,15,39,All
Michael J Rahming,,,,,5,17,14,46,16,53,13,7,49,10,44,All
Elaine Tomlin,,,,,,0,59,27,60,19,41,52,17,45,11,All
Louis Farinella,,,,,,,1,18,54,18,41,54,8,43,7,All
Linda A Fields,,,,,,,,3,18,51,10,15,47,9,44,All
Mike Stack,,,,,,,,,0,13,38,46,15,42,11,All
Henry Albert,,,,,,,,,,1,7,15,43,7,41,All
Val Arkoosh,,,,,,,,,,,2,36,5,35,5,All
W Gerard Oleksiak,,,,,,,,,,,,0,6,39,4,All
Melissa Robbins,,,,,,,,,,,,,0,7,45,All
Charles Quann,,,,,,,,,,,,,,0,4,All
Bev Hahn,,,,,,,,,,,,,,,0,All
Total,218,163,120,96,92,81,79,75,73,69,62,61,59,50,49,All
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,10
,Eugene A Depasquale,Allyson Y Schwartz,Betsy May Kilkenny,Mark B Cohen,Michael J Rahming,Elaine Tomlin,Henry Albert,Louis Farinella,Linda A Fields,Melissa Robbins,Mike Stack,Charles Quann,Val Arkoosh,W Gerard Oleksiak,Bev Hahn,10
Eugene A Depasquale,7,56,45,34,32,34,25,29,26,22,24,23,21,22,15,10
Allyson Y Schwartz,,7,45,23,14,33,15,29,15,9,24,21,18,22,5,10
Betsy May Kilkenny,,,1,19,12,28,11,27,12,7,19,21,17,21,2,10
Mark B Cohen,,,,1,27,19,30,16,22,20,11,8,6,12,16,10
Michael J Rahming,,,,,2,10,25,6,17,21,7,7,5,3,17,10
Elaine Tomlin,,,,,,0,14,26,15,10,24,21,15,20,6,10
Henry Albert,,,,,,,1,12,21,19,7,4,3,9,17,10
Louis Farinella,,,,,,,,0,8,4,19,20,14,22,1,10
Linda A Fields,,,,,,,,,0,19,9,4,4,7,17,10
Melissa Robbins,,,,,,,,,,0,7,4,2,2,18,10
Mike Stack,,,,,,,,,,,0,18,10,14,4,10
Charles Quann,,,,,,,,,,,,0,14,15,1,10
Val Arkoosh,,,,,,,,,,,,,1,12,1,10
W Gerard Oleksiak,,,,,,,,,,,,,,0,1,10
Bev Hahn,,,,,,,,,,,,,,,0,10
Total,98,69,49,43,43,36,36,31,29,26,26,23,23,23,19,10
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,20
,Eugene A Depasquale,Allyson Y Schwartz,Betsy May Kilkenny,Mark B Cohen,Michael J Rahming,Louis Farinella,Mike Stack,Linda A Fields,Elaine Tomlin,Val Arkoosh,W Gerard Oleksiak,Henry Albert,Melissa Robbins,Bev Hahn,Charles Quann,20
Eugene A Depasquale,4,74,57,41,39,37,37,37,36,33,32,28,28,25,23,20
Allyson Y Schwartz,,5,59,23,13,41,42,18,41,38,35,10,10,9,26,20
Betsy May Kilkenny,,,3,16,9,39,36,12,38,34,33,7,4,4,23,20
Mark B Cohen,,,,1,29,16,15,31,15,9,12,30,27,23,7,20
Michael J Rahming,,,,,3,8,9,29,7,8,4,28,28,27,3,20
Louis Farinella,,,,,,1,35,10,33,27,32,6,4,6,23,20
Mike Stack,,,,,,,0,9,36,28,32,6,8,7,24,20
Linda A Fields,,,,,,,,3,12,6,8,30,28,27,5,20
Elaine Tomlin,,,,,,,,,0,26,32,5,7,5,24,20
Val Arkoosh,,,,,,,,,,1,24,4,3,4,21,20
W Gerard Oleksiak,,,,,,,,,,,0,6,4,3,24,20
Henry Albert,,,,,,,,,,,,0,24,24,3,20
Melissa Robbins,,,,,,,,,,,,,0,27,3,20
Bev Hahn,,,,,,,,,,,,,,0,3,20
Charles Quann,,,,,,,,,,,,,,,0,20
Total,120,94,71,53,49,48,47,46,45,39,38,33,33,30,27,20
