col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Joe Foster,Yasmeen Kaboud,Heather A Steinmiller,Lou Agre,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Sherrie Cohen,William Leopold,Hamdi Soysal,Waleed Shahid,Tonya Diane Bah,Margaret Lenzi,Wanda Logan,Vanessa L Brown,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,All
Cindy Bass,17,543,529,505,398,413,411,404,381,382,367,348,117,334,151,90,80,84,82,71,72,68,49,56,291,303,85,38,47,12,All
Malcolm Kenyatta,,7,517,495,387,397,390,394,365,356,353,344,123,329,137,84,82,78,86,80,75,66,56,63,204,269,59,33,42,9,All
Katherine J Gilmore,,,4,494,374,382,389,387,359,359,354,341,114,331,117,69,62,67,72,69,62,48,45,48,190,256,64,29,40,7,All
Jerry T Jordan,,,,3,365,365,375,377,346,335,333,333,113,324,123,70,67,63,72,61,62,48,42,46,168,237,60,27,37,6,All
Vincent Hughes,,,,,2,374,362,360,393,367,356,348,55,339,56,55,44,49,50,63,39,51,39,45,101,253,36,34,35,8,All
Ken Washington,,,,,,1,382,392,364,375,365,352,72,340,79,73,65,69,64,65,59,54,47,45,103,236,37,32,36,3,All
Mary Jo Daley,,,,,,,0,391,348,347,347,333,56,329,58,48,44,46,53,43,47,33,27,28,106,239,33,26,28,4,All
Mark Aronchick,,,,,,,,0,349,355,353,338,55,337,62,60,52,51,58,49,48,37,30,35,97,231,35,29,32,4,All
Blondell Reynolds Brown,,,,,,,,,0,348,344,337,41,323,39,45,35,36,41,53,31,43,28,40,87,234,32,29,31,2,All
Nicole Allen White,,,,,,,,,,1,349,345,41,330,45,44,39,45,38,47,34,45,31,38,85,219,33,31,30,2,All
Michelle W Singer,,,,,,,,,,,0,333,34,326,39,35,29,40,32,43,29,33,23,28,84,221,25,24,27,2,All
Joe Foster,,,,,,,,,,,,0,40,320,36,40,31,35,36,40,31,36,29,38,85,201,26,27,30,2,All
Yasmeen Kaboud,,,,,,,,,,,,,4,25,249,196,189,183,179,162,178,155,159,147,160,81,45,35,25,9,All
Heather A Steinmiller,,,,,,,,,,,,,,1,24,25,17,24,21,36,20,18,19,23,74,194,27,24,28,1,All
Lou Agre,,,,,,,,,,,,,,,4,196,191,185,179,160,178,159,156,154,143,82,42,32,26,11,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,1,199,183,184,164,179,161,157,156,81,75,22,28,32,12,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,0,179,182,164,184,158,154,155,79,64,25,28,25,11,All
