col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,All
,Pat Toomey,Michael J Mcmonagle,Gilbert Cox,Tom Ellis,Shannon Oscar,Lauren E Casper,Pam Levy,Alan Apt,All
Pat Toomey,194,382,316,293,321,269,235,218,All
Michael J Mcmonagle,,32,82,132,103,96,97,49,All
Gilbert Cox,,,3,197,98,200,41,91,All
Tom Ellis,,,,8,43,210,56,28,All
Shannon Oscar,,,,,8,68,126,146,All
Lauren E Casper,,,,,,2,47,23,All
Pam Levy,,,,,,,11,78,All
Alan Apt,,,,,,,,3,All
Total,"1,086",450,406,394,359,349,272,247,All
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,1
,Pat Toomey,Michael J Mcmonagle,Lauren E Casper,Tom Ellis,Gilbert Cox,Shannon Oscar,Pam Levy,Alan Apt,1
Pat Toomey,8,19,18,16,15,14,11,7,1
Michael J Mcmonagle,,1,9,8,2,5,3,1,1
Lauren E Casper,,,0,13,12,4,3,2,1
Tom Ellis,,,,0,9,1,3,0,1
Gilbert Cox,,,,,0,6,2,6,1
Shannon Oscar,,,,,,0,3,5,1
Pam Levy,,,,,,,0,2,1
Alan Apt,,,,,,,,0,1
Total,54,23,22,21,20,17,11,9,1
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,2
,Pat Toomey,Michael J Mcmonagle,Gilbert Cox,Shannon Oscar,Tom Ellis,Lauren E Casper,Pam Levy,Alan Apt,2
Pat Toomey,21,43,25,28,25,24,19,15,2
Michael J Mcmonagle,,3,13,8,15,9,9,6,2
Gilbert Cox,,,1,6,15,8,5,4,2
Shannon Oscar,,,,1,2,8,8,10,2
Tom Ellis,,,,,0,11,4,1,2
Lauren E Casper,,,,,,1,4,2,2
Pam Levy,,,,,,,0,5,2
Alan Apt,,,,,,,,0,2
Total,102,49,31,29,27,26,20,15,2
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,3
,Pat Toomey,Tom Ellis,Michael J Mcmonagle,Shannon Oscar,Gilbert Cox,Pam Levy,Lauren E Casper,Alan Apt,3
Pat Toomey,6,16,17,16,13,15,7,4,3
Tom Ellis,,0,8,2,6,5,7,0,3
Michael J Mcmonagle,,,0,4,5,4,2,1,3
Shannon Oscar,,,,1,7,8,2,3,3
Gilbert Cox,,,,,0,3,5,2,3
Pam Levy,,,,,,1,4,2,3
Lauren E Casper,,,,,,,0,0,3
Alan Apt,,,,,,,,0,3
Total,46,20,18,17,16,16,10,4,3
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,4
,Pat Toomey,Michael J Mcmonagle,Gilbert Cox,Tom Ellis,Lauren E Casper,Shannon Oscar,Pam Levy,Alan Apt,4
Pat Toomey,12,31,20,14,15,14,11,10,4
Michael J Mcmonagle,,1,6,8,7,10,8,3,4
Gilbert Cox,,,1,14,15,5,3,6,4
Tom Ellis,,,,0,14,0,3,3,4
Lauren E Casper,,,,,0,6,3,1,4
Shannon Oscar,,,,,,0,7,4,4
Pam Levy,,,,,,,1,2,4
Alan Apt,,,,,,,,1,4
Total,64,36,29,24,23,18,16,12,4
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,5
,Pat Toomey,Michael J Mcmonagle,Gilbert Cox,Lauren E Casper,Shannon Oscar,Tom Ellis,Pam Levy,Alan Apt,5
Pat Toomey,15,27,24,23,24,14,18,19,5
Michael J Mcmonagle,,3,6,10,6,6,5,5,5
Gilbert Cox,,,0,17,8,12,4,8,5
Lauren E Casper,,,,0,6,15,4,3,5
Shannon Oscar,,,,,0,1,9,9,5
Tom Ellis,,,,,,1,3,3,5
Pam Levy,,,,,,,2,6,5
Alan Apt,,,,,,,,0,5
Total,82,33,31,31,24,22,21,20,5
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,6
,Pat Toomey,Tom Ellis,Shannon Oscar,Michael J Mcmonagle,Pam Levy,Lauren E Casper,Alan Apt,Gilbert Cox,6
Pat Toomey,12,26,26,25,23,18,20,15,6
Tom Ellis,,2,2,11,8,15,4,12,6
Shannon Oscar,,,1,9,14,5,15,5,6
Michael J Mcmonagle,,,,1,9,8,4,3,6
Pam Levy,,,,,1,3,11,2,6
Lauren E Casper,,,,,,1,2,12,6
Alan Apt,,,,,,,0,4,6
Gilbert Cox,,,,,,,,0,6
Total,71,33,29,26,25,24,22,20,6
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,7
,Pat Toomey,Shannon Oscar,Michael J Mcmonagle,Alan Apt,Gilbert Cox,Pam Levy,Tom Ellis,Lauren E Casper,7
Pat Toomey,10,18,15,16,13,12,12,6,7
Shannon Oscar,,0,4,10,6,7,3,1,7
Michael J Mcmonagle,,,2,4,4,2,6,2,7
Alan Apt,,,,0,7,6,2,0,7
Gilbert Cox,,,,,0,3,5,6,7
Pam Levy,,,,,,0,4,1,7
Tom Ellis,,,,,,,0,3,7
Lauren E Casper,,,,,,,,0,7
Total,51,20,19,18,16,14,14,8,7
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,8
,Pat Toomey,Tom Ellis,Gilbert Cox,Michael J Mcmonagle,Lauren E Casper,Shannon Oscar,Alan Apt,Pam Levy,8
Pat Toomey,11,25,28,29,20,13,11,8,8
Tom Ellis,,1,21,8,20,5,5,2,8
Gilbert Cox,,,0,6,21,3,4,1,8
Michael J Mcmonagle,,,,2,9,7,3,7,8
Lauren E Casper,,,,,0,2,2,3,8
Shannon Oscar,,,,,,1,4,4,8
Alan Apt,,,,,,,0,4,8
Pam Levy,,,,,,,,1,8
Total,73,36,35,33,30,17,14,12,8
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,9
,Pat Toomey,Michael J Mcmonagle,Gilbert Cox,Lauren E Casper,Tom Ellis,Pam Levy,Shannon Oscar,Alan Apt,9
Pat Toomey,7,13,6,6,6,6,8,5,9
Michael J Mcmonagle,,1,1,5,2,6,4,1,9
Gilbert Cox,,,0,6,6,2,4,3,9
Lauren E Casper,,,,0,7,2,2,0,9
Tom Ellis,,,,,0,1,0,0,9
Pam Levy,,,,,,1,3,0,9
Shannon Oscar,,,,,,,0,3,9
Alan Apt,,,,,,,,0,9
Total,30,15,12,11,11,8,8,5,9
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,10
,Pat Toomey,Gilbert Cox,Lauren E Casper,Michael J Mcmonagle,Shannon Oscar,Tom Ellis,Pam Levy,Alan Apt,10
Pat Toomey,10,18,17,16,17,10,10,6,10
Gilbert Cox,,0,13,4,4,10,2,3,10
Lauren E Casper,,,0,3,6,11,5,0,10
Michael J Mcmonagle,,,,1,4,4,6,1,10
Shannon Oscar,,,,,0,1,4,3,10
Tom Ellis,,,,,,0,1,0,10
Pam Levy,,,,,,,0,1,10
Alan Apt,,,,,,,,0,10
Total,52,21,20,19,17,15,10,6,10
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,11
,Pat Toomey,Shannon Oscar,Alan Apt,Gilbert Cox,Michael J Mcmonagle,Tom Ellis,Pam Levy,Lauren E Casper,11
Pat Toomey,14,27,25,23,17,16,18,16,11
Shannon Oscar,,0,18,10,7,2,10,4,11
Alan Apt,,,0,8,5,3,8,1,11
Gilbert Cox,,,,0,3,12,1,10,11
Michael J Mcmonagle,,,,,1,8,4,5,11
Tom Ellis,,,,,,0,1,10,11
Pam Levy,,,,,,,1,3,11
Lauren E Casper,,,,,,,,0,11
Total,75,28,27,25,22,22,20,18,11
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,13
,Pat Toomey,Michael J Mcmonagle,Shannon Oscar,Gilbert Cox,Tom Ellis,Lauren E Casper,Alan Apt,Pam Levy,13
Pat Toomey,17,28,22,17,16,14,13,16,13
Michael J Mcmonagle,,5,6,5,7,5,3,7,13
Shannon Oscar,,,0,8,4,3,11,9,13
Gilbert Cox,,,,1,9,9,5,4,13
Tom Ellis,,,,,1,10,2,3,13
Lauren E Casper,,,,,,0,4,3,13
Alan Apt,,,,,,,2,5,13
Pam Levy,,,,,,,,0,13
Total,76,33,26,25,22,20,19,18,13
,United States Senator - Republican,Delegate To The Republican National Convention 13th District,,,,,,,14
,Pat Toomey,Michael J Mcmonagle,Shannon Oscar,Gilbert Cox,Tom Ellis,Lauren E Casper,Pam Levy,Alan Apt,14
