col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Brendan F Boyle,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Michael J Rahming,Elaine Tomlin,Charles Quann,Mike Stack,Louis Farinella,W Gerard Oleksiak,Mark B Cohen,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,All
Brendan F Boyle,203,"1,825","1,338","1,287","1,099",942,934,897,890,787,707,575,568,514,462,All
Allyson Y Schwartz,,81,"1,277","1,257",514,923,913,865,877,776,299,228,222,187,148,All
Betsy May Kilkenny,,,12,"1,208",421,884,868,805,842,759,225,168,153,130,94,All
Val Arkoosh,,,,9,442,861,856,795,830,743,231,171,160,132,92,All
Michael J Rahming,,,,,48,219,224,194,202,134,587,540,489,467,448,All
Elaine Tomlin,,,,,,2,865,808,844,741,211,151,157,126,93,All
Charles Quann,,,,,,,2,797,844,750,209,159,146,121,87,All
Mike Stack,,,,,,,,4,786,759,185,146,158,135,106,All
Louis Farinella,,,,,,,,,4,749,190,128,118,94,70,All
W Gerard Oleksiak,,,,,,,,,,1,116,84,98,72,53,All
Mark B Cohen,,,,,,,,,,,8,570,509,489,453,All
Henry Albert,,,,,,,,,,,,1,499,475,457,All
Linda A Fields,,,,,,,,,,,,,2,484,473,All
Melissa Robbins,,,,,,,,,,,,,,2,458,All
Bev Hahn,,,,,,,,,,,,,,,0,All
Total,"2,938","2,015","1,444","1,387","1,227","1,011","1,009",969,962,843,782,640,633,575,519,All
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,1
,Brendan F Boyle,Allyson Y Schwartz,Val Arkoosh,Betsy May Kilkenny,Michael J Rahming,Charles Quann,Elaine Tomlin,Louis Farinella,Mike Stack,W Gerard Oleksiak,Mark B Cohen,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,1
Brendan F Boyle,1,34,25,24,19,14,14,13,13,10,5,4,3,3,2,1
Allyson Y Schwartz,,0,24,22,7,14,13,13,12,10,3,2,1,2,1,1
Val Arkoosh,,,0,21,6,13,13,13,11,10,3,2,1,2,1,1
Betsy May Kilkenny,,,,0,6,13,13,12,10,10,3,1,0,1,0,1
Michael J Rahming,,,,,1,3,3,4,2,1,4,4,3,3,2,1
Charles Quann,,,,,,0,11,11,10,9,3,1,0,1,0,1
Elaine Tomlin,,,,,,,0,11,9,9,3,1,0,1,0,1
Louis Farinella,,,,,,,,0,11,10,3,2,1,2,1,1
Mike Stack,,,,,,,,,0,10,1,1,1,1,1,1
W Gerard Oleksiak,,,,,,,,,,0,1,0,0,0,0,1
Mark B Cohen,,,,,,,,,,,0,3,2,2,1,1
Henry Albert,,,,,,,,,,,,0,3,2,2,1
Linda A Fields,,,,,,,,,,,,,0,2,2,1
Melissa Robbins,,,,,,,,,,,,,,0,2,1
Bev Hahn,,,,,,,,,,,,,,,0,1
Total,53,35,26,25,20,14,14,13,13,10,5,4,3,3,2,1
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,2
,Brendan F Boyle,Allyson Y Schwartz,Michael J Rahming,Betsy May Kilkenny,Val Arkoosh,Henry Albert,Charles Quann,Mark B Cohen,Linda A Fields,Mike Stack,Louis Farinella,Bev Hahn,Melissa Robbins,W Gerard Oleksiak,Elaine Tomlin,2
Brendan F Boyle,4,51,35,33,33,27,24,24,23,22,21,19,18,18,16,2
Allyson Y Schwartz,,3,15,31,30,10,21,6,8,21,19,6,6,16,15,2
Michael J Rahming,,,3,13,13,22,11,19,18,8,6,19,18,6,6,2
Betsy May Kilkenny,,,,1,31,8,21,5,5,19,18,3,2,15,18,2
Val Arkoosh,,,,,0,8,22,6,4,17,18,3,3,16,17,2
Henry Albert,,,,,,0,10,24,23,8,6,21,19,5,7,2
Charles Quann,,,,,,,0,8,7,20,20,5,4,17,18,2
Mark B Cohen,,,,,,,,0,21,5,5,19,19,4,4,2
Linda A Fields,,,,,,,,,0,7,4,18,18,3,4,2
Mike Stack,,,,,,,,,,0,19,5,4,15,16,2
Louis Farinella,,,,,,,,,,,0,1,2,16,15,2
Bev Hahn,,,,,,,,,,,,0,18,3,2,2
Melissa Robbins,,,,,,,,,,,,,0,3,1,2
W Gerard Oleksiak,,,,,,,,,,,,,,0,13,2
Elaine Tomlin,,,,,,,,,,,,,,,0,2
Total,87,58,41,37,36,30,28,26,25,25,23,21,20,20,19,2
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,3
,Brendan F Boyle,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Michael J Rahming,Louis Farinella,Mike Stack,W Gerard Oleksiak,Charles Quann,Elaine Tomlin,Mark B Cohen,Linda A Fields,Melissa Robbins,Henry Albert,Bev Hahn,3
Brendan F Boyle,7,50,38,35,31,29,26,26,25,24,24,21,21,20,19,3
Allyson Y Schwartz,,0,37,34,14,28,27,26,26,24,8,8,7,8,6,3
Betsy May Kilkenny,,,2,35,11,26,26,26,27,25,6,7,7,7,5,3
Val Arkoosh,,,,0,11,25,23,23,24,23,5,5,5,5,3,3
Michael J Rahming,,,,,3,7,3,5,3,3,18,17,18,17,16,3
Louis Farinella,,,,,,0,24,25,24,22,7,5,5,5,3,3
Mike Stack,,,,,,,0,25,24,22,4,5,5,5,5,3
W Gerard Oleksiak,,,,,,,,0,25,23,4,4,4,4,3,3
Charles Quann,,,,,,,,,0,24,4,4,3,4,2,3
Elaine Tomlin,,,,,,,,,,0,3,5,2,3,2,3
Mark B Cohen,,,,,,,,,,,0,16,18,17,15,3
Linda A Fields,,,,,,,,,,,,0,17,16,18,3
Melissa Robbins,,,,,,,,,,,,,0,18,17,3
Henry Albert,,,,,,,,,,,,,,0,16,3
Bev Hahn,,,,,,,,,,,,,,,0,3
Total,81,52,42,37,34,31,28,28,27,26,24,21,21,20,19,3
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,4
,Brendan F Boyle,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Michael J Rahming,Charles Quann,Elaine Tomlin,Mike Stack,Louis Farinella,Henry Albert,Mark B Cohen,W Gerard Oleksiak,Linda A Fields,Melissa Robbins,Bev Hahn,4
Brendan F Boyle,12,83,57,53,52,45,38,37,35,32,33,33,28,27,21,4
Allyson Y Schwartz,,3,58,57,21,50,46,41,42,13,12,36,6,9,5,4
Betsy May Kilkenny,,,0,54,19,46,42,39,40,12,11,36,4,8,3,4
Val Arkoosh,,,,0,19,47,41,36,40,12,14,35,7,9,4,4
Michael J Rahming,,,,,0,14,10,8,8,35,35,5,29,27,26,4
Charles Quann,,,,,,0,45,40,42,13,11,38,7,9,5,4
Elaine Tomlin,,,,,,,0,36,41,10,7,34,3,7,3,4
Mike Stack,,,,,,,,0,34,7,5,35,5,8,5,4
Louis Farinella,,,,,,,,,0,6,5,33,1,4,0,4
Henry Albert,,,,,,,,,,0,37,6,31,30,28,4
Mark B Cohen,,,,,,,,,,,0,3,31,29,27,4
W Gerard Oleksiak,,,,,,,,,,,,0,4,6,1,4
Linda A Fields,,,,,,,,,,,,,0,28,28,4
Melissa Robbins,,,,,,,,,,,,,,0,28,4
Bev Hahn,,,,,,,,,,,,,,,0,4
Total,143,96,68,63,61,53,46,43,42,41,41,38,35,35,29,4
