col_1,col_2,col_3,division
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,All
,Robert A Brady,Eugene A Depasquale,All
Robert A Brady,373,"1,585",All
Eugene A Depasquale,,58,All
Total,"1,958","1,643",All
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,1
,Robert A Brady,Eugene A Depasquale,1
Robert A Brady,21,93,1
Eugene A Depasquale,,1,1
Total,114,94,1
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,2
,Robert A Brady,Eugene A Depasquale,2
Robert A Brady,12,72,2
Eugene A Depasquale,,3,2
Total,84,75,2
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,3
,Robert A Brady,Eugene A Depasquale,3
Robert A Brady,13,48,3
Eugene A Depasquale,,4,3
Total,61,52,3
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,4
,Robert A Brady,Eugene A Depasquale,4
Robert A Brady,12,59,4
Eugene A Depasquale,,6,4
Total,71,65,4
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,5
,Robert A Brady,Eugene A Depasquale,5
Robert A Brady,22,88,5
Eugene A Depasquale,,3,5
Total,110,91,5
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,6
,Robert A Brady,Eugene A Depasquale,6
Robert A Brady,20,75,6
Eugene A Depasquale,,1,6
Total,95,76,6
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,7
,Robert A Brady,Eugene A Depasquale,7
Robert A Brady,35,109,7
Eugene A Depasquale,,5,7
Total,144,114,7
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,8
,Robert A Brady,Eugene A Depasquale,8
Robert A Brady,15,77,8
Eugene A Depasquale,,4,8
Total,92,81,8
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,9
,Robert A Brady,Eugene A Depasquale,9
Robert A Brady,21,85,9
Eugene A Depasquale,,5,9
Total,106,90,9
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,10
,Robert A Brady,Eugene A Depasquale,10
Robert A Brady,18,76,10
Eugene A Depasquale,,2,10
Total,94,78,10
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,11
,Robert A Brady,Eugene A Depasquale,11
Robert A Brady,17,105,11
Eugene A Depasquale,,3,11
Total,122,108,11
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,12
,Robert A Brady,Eugene A Depasquale,12
Robert A Brady,19,99,12
Eugene A Depasquale,,5,12
Total,118,104,12
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,13
,Robert A Brady,Eugene A Depasquale,13
Robert A Brady,16,73,13
Eugene A Depasquale,,1,13
Total,89,74,13
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,14
,Robert A Brady,Eugene A Depasquale,14
Robert A Brady,15,75,14
Eugene A Depasquale,,2,14
Total,90,77,14
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,15
,Robert A Brady,Eugene A Depasquale,15
Robert A Brady,17,62,15
Eugene A Depasquale,,0,15
Total,79,62,15
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,16
,Robert A Brady,Eugene A Depasquale,16
Robert A Brady,9,36,16
Eugene A Depasquale,,3,16
Total,45,39,16
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,17
,Robert A Brady,Eugene A Depasquale,17
Robert A Brady,7,31,17
Eugene A Depasquale,,0,17
Total,38,31,17
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,18
,Robert A Brady,Eugene A Depasquale,18
Robert A Brady,12,25,18
Eugene A Depasquale,,3,18
Total,37,28,18
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,19
,Robert A Brady,Eugene A Depasquale,19
Robert A Brady,17,45,19
Eugene A Depasquale,,2,19
Total,62,47,19
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,20
,Robert A Brady,Eugene A Depasquale,20
Robert A Brady,13,60,20
Eugene A Depasquale,,0,20
Total,73,60,20
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,21
,Robert A Brady,Eugene A Depasquale,21
Robert A Brady,11,39,21
Eugene A Depasquale,,1,21
Total,50,40,21
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,22
,Robert A Brady,Eugene A Depasquale,22
Robert A Brady,11,67,22
Eugene A Depasquale,,2,22
Total,78,69,22
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,23
,Robert A Brady,Eugene A Depasquale,23
Robert A Brady,8,38,23
Eugene A Depasquale,,1,23
Total,46,39,23
,Representative In Congress 1st District - Democrat,Auditor General - Democrat,24
,Robert A Brady,Eugene A Depasquale,24
Robert A Brady,12,48,24
Eugene A Depasquale,,1,24
Total,60,49,24
