col_1,col_2,division
,Representative In The General Assembly 173rd District - Democrat,All
,Mike Driscoll,All
Mike Driscoll,674,All
Total,674,All
,Representative In The General Assembly 173rd District - Democrat,4
,Mike Driscoll,4
Mike Driscoll,138,4
Total,138,4
,Representative In The General Assembly 173rd District - Democrat,5
,Mike Driscoll,5
Mike Driscoll,125,5
Total,125,5
,Representative In The General Assembly 173rd District - Democrat,7
,Mike Driscoll,7
Mike Driscoll,164,7
Total,164,7
,Representative In The General Assembly 173rd District - Democrat,26
,Mike Driscoll,26
Mike Driscoll,137,26
Total,137,26
,Representative In The General Assembly 173rd District - Democrat,28
,Mike Driscoll,28
Mike Driscoll,110,28
Total,110,28
