col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,All
,Thaddeus Kirkland,H Douglass Brown,Anne Wakabayashi,Blake Rutherford,Maria Quinones Sanchez,Jennifer Lentz,Peter Cutty,Amanda Mcillmurray,Leanne Krueger Braneky,Cathy Brady,Angel Cruz,Ryan N Boyer,Kat Richter,Katherine Hunter Snyder,Ted Kirsch,Jacob Adeniran,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,All
Thaddeus Kirkland,32,576,"2,834","2,873","2,650","2,631",590,581,"2,628","2,535","2,492","2,548",478,449,"2,436",393,"1,458",967,513,369,All
H Douglass Brown,,51,559,452,492,557,"2,738","2,679",431,375,377,391,"2,513","2,478",333,"2,404",969,959,537,413,All
Anne Wakabayashi,,,5,"2,651","2,695","2,703",562,630,"2,675","2,560","2,468","2,525",530,504,"2,409",426,"1,460",802,334,388,All
Blake Rutherford,,,,14,"2,471","2,537",458,445,"2,464","2,464","2,388","2,487",355,339,"2,349",296,"1,354",820,356,331,All
Maria Quinones Sanchez,,,,,1,"2,536",486,555,"2,593","2,493","2,510","2,370",486,511,"2,412",434,"1,413",766,300,365,All
Jennifer Lentz,,,,,,2,581,648,"2,540","2,507","2,449","2,433",546,528,"2,395",456,"1,425",769,289,351,All
Peter Cutty,,,,,,,13,"2,576",449,370,397,410,"2,444","2,395",352,"2,351",943,869,473,401,All
Amanda Mcillmurray,,,,,,,,9,508,446,432,417,"2,574","2,519",392,"2,432",991,846,415,426,All
Leanne Krueger Braneky,,,,,,,,,0,"2,483","2,407","2,368",434,419,"2,379",371,"1,350",751,280,346,All
Cathy Brady,,,,,,,,,,1,"2,381","2,348",354,352,"2,319",290,"1,323",709,264,327,All
Angel Cruz,,,,,,,,,,,0,"2,306",398,396,"2,368",346,"1,309",687,267,323,All
Ryan N Boyer,,,,,,,,,,,,0,360,337,"2,275",288,"1,296",691,279,303,All
Kat Richter,,,,,,,,,,,,,2,"2,457",351,"2,365",913,757,388,407,All
Katherine Hunter Snyder,,,,,,,,,,,,,,3,354,"2,352",924,747,349,399,All
Ted Kirsch,,,,,,,,,,,,,,,1,311,"1,271",659,252,322,All
Jacob Adeniran,,,,,,,,,,,,,,,,1,859,722,339,372,All
Brian Sims,,,,,,,,,,,,,,,,,148,0,0,0,All
Ben Waxman,,,,,,,,,,,,,,,,,,153,0,0,All
Lou Lanni,,,,,,,,,,,,,,,,,,,130,0,All
Marni Snyder,,,,,,,,,,,,,,,,,,,,59,All
Total,"3,596","3,270","3,226","3,121","3,077","3,062","3,023","2,992","2,944","2,835","2,794","2,771","2,757","2,717","2,700","2,567","2,575","2,041","1,174",859,All
