col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Allyson Y Schwartz,Michael J Rahming,Betsy May Kilkenny,Mike Stack,Mark B Cohen,Val Arkoosh,Louis Farinella,Henry Albert,Linda A Fields,Elaine Tomlin,Melissa Robbins,Charles Quann,Bev Hahn,W Gerard Oleksiak,All
Allyson Y Schwartz,865,737,"1,672","1,558",705,"1,477","1,267",484,498,"1,339",491,"1,235",346,996,All
Michael J Rahming,,388,583,492,"1,311",503,388,"1,243","1,143",413,"1,135",346,"1,044",209,All
Betsy May Kilkenny,,,120,"1,262",490,"1,398","1,169",335,349,"1,270",355,"1,160",243,977,All
Mike Stack,,,,107,573,"1,105","1,174",385,434,"1,187",447,"1,067",331,955,All
Mark B Cohen,,,,,65,377,403,"1,322","1,231",434,"1,204",349,"1,080",214,All
Val Arkoosh,,,,,,66,"1,098",257,235,"1,117",239,"1,090",156,923,All
Louis Farinella,,,,,,,60,281,252,"1,112",265,"1,078",178,911,All
Henry Albert,,,,,,,,6,"1,228",298,"1,194",232,"1,104",155,All
Linda A Fields,,,,,,,,,15,287,"1,228",216,"1,138",170,All
Elaine Tomlin,,,,,,,,,,11,305,"1,122",207,925,All
Melissa Robbins,,,,,,,,,,,13,215,"1,140",174,All
Charles Quann,,,,,,,,,,,,13,142,924,All
Bev Hahn,,,,,,,,,,,,,7,121,All
W Gerard Oleksiak,,,,,,,,,,,,,,3,All
Total,"3,109","2,124","1,939","1,919","1,793","1,645","1,519","1,505","1,488","1,483","1,471","1,346","1,264","1,105",All
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,1
,Allyson Y Schwartz,Mike Stack,Michael J Rahming,Betsy May Kilkenny,Val Arkoosh,Louis Farinella,Charles Quann,Mark B Cohen,Henry Albert,Elaine Tomlin,Melissa Robbins,Linda A Fields,W Gerard Oleksiak,Bev Hahn,1
Allyson Y Schwartz,27,34,12,36,34,33,33,12,10,30,8,7,28,6,1
Mike Stack,,3,9,27,26,31,29,8,9,27,7,6,26,5,1
Michael J Rahming,,,7,10,10,6,7,31,27,7,29,28,5,27,1
Betsy May Kilkenny,,,,3,36,32,33,9,4,29,6,4,26,3,1
Val Arkoosh,,,,,5,30,32,6,3,28,5,3,27,2,1
Louis Farinella,,,,,,0,31,8,5,27,5,3,26,3,1
Charles Quann,,,,,,,1,8,6,29,6,4,28,3,1
Mark B Cohen,,,,,,,,0,30,7,28,28,4,27,1
Henry Albert,,,,,,,,,0,6,26,26,4,25,1
Elaine Tomlin,,,,,,,,,,0,5,4,25,4,1
Melissa Robbins,,,,,,,,,,,1,28,4,25,1
Linda A Fields,,,,,,,,,,,,1,3,25,1
W Gerard Oleksiak,,,,,,,,,,,,,0,2,1
Bev Hahn,,,,,,,,,,,,,,0,1
Total,73,46,45,44,43,39,38,37,33,32,32,30,30,28,1
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,2
,Allyson Y Schwartz,Mark B Cohen,Michael J Rahming,Mike Stack,Betsy May Kilkenny,Louis Farinella,Val Arkoosh,Elaine Tomlin,Henry Albert,Charles Quann,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,Linda A Fields,2
Allyson Y Schwartz,9,10,11,18,17,15,17,15,7,16,5,11,4,4,2
Mark B Cohen,,4,17,13,8,9,7,9,17,7,15,5,14,14,2
Michael J Rahming,,,5,10,10,8,10,7,17,7,15,5,12,12,2
Mike Stack,,,,1,18,15,13,16,9,14,6,13,6,6,2
Betsy May Kilkenny,,,,,2,16,17,18,7,15,3,13,4,3,2
Louis Farinella,,,,,,0,16,15,5,15,4,14,2,3,2
Val Arkoosh,,,,,,,0,14,4,13,3,13,3,1,2
Elaine Tomlin,,,,,,,,0,6,16,3,11,3,3,2
Henry Albert,,,,,,,,,0,5,15,4,13,14,2
Charles Quann,,,,,,,,,,0,4,10,3,3,2
Melissa Robbins,,,,,,,,,,,0,2,13,13,2
W Gerard Oleksiak,,,,,,,,,,,,0,1,1,2
Bev Hahn,,,,,,,,,,,,,0,12,2
Linda A Fields,,,,,,,,,,,,,,0,2
Total,33,29,28,27,25,21,21,20,19,18,17,16,15,15,2
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,3
,Allyson Y Schwartz,Mike Stack,Betsy May Kilkenny,Michael J Rahming,Louis Farinella,Val Arkoosh,Elaine Tomlin,Mark B Cohen,Charles Quann,Henry Albert,Melissa Robbins,Linda A Fields,Bev Hahn,W Gerard Oleksiak,3
Allyson Y Schwartz,11,33,29,9,26,24,25,13,21,7,9,8,6,17,3
Mike Stack,,3,27,8,25,20,22,14,21,9,9,10,8,16,3
Betsy May Kilkenny,,,5,5,23,22,23,9,20,6,6,6,5,17,3
Michael J Rahming,,,,10,5,5,3,17,4,15,16,13,15,3,3
Louis Farinella,,,,,0,19,20,8,20,6,7,7,5,14,3
