col_1,col_2,col_3,col_4,division
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,All
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,All
Robert A Brady,535,"1,819",950,All
Lawrence M Farnese Jr,,137,0,All
John H Morley Jr,,,65,All
Total,"3,304","1,956","1,015",All
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,1
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,1
Robert A Brady,49,203,100,1
Lawrence M Farnese Jr,,16,0,1
John H Morley Jr,,,9,1
Total,352,219,109,1
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,2
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,2
Robert A Brady,50,173,72,2
Lawrence M Farnese Jr,,17,0,2
John H Morley Jr,,,4,2
Total,295,190,76,2
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,3
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,3
Robert A Brady,9,81,9,3
Lawrence M Farnese Jr,,1,0,3
John H Morley Jr,,,0,3
Total,99,82,9,3
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,4
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,4
Robert A Brady,36,116,71,4
Lawrence M Farnese Jr,,5,0,4
John H Morley Jr,,,2,4
Total,223,121,73,4
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,5
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,5
Robert A Brady,29,106,61,5
Lawrence M Farnese Jr,,12,0,5
John H Morley Jr,,,2,5
Total,196,118,63,5
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,6
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,6
Robert A Brady,35,101,63,6
Lawrence M Farnese Jr,,8,0,6
John H Morley Jr,,,3,6
Total,199,109,66,6
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,7
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,7
Robert A Brady,33,115,63,7
Lawrence M Farnese Jr,,12,0,7
John H Morley Jr,,,5,7
Total,211,127,68,7
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,8
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,8
Robert A Brady,13,25,13,8
Lawrence M Farnese Jr,,2,0,8
John H Morley Jr,,,1,8
Total,51,27,14,8
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,9
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,9
Robert A Brady,39,121,72,9
Lawrence M Farnese Jr,,15,0,9
John H Morley Jr,,,2,9
Total,232,136,74,9
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,10
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,10
Robert A Brady,36,150,59,10
Lawrence M Farnese Jr,,7,0,10
John H Morley Jr,,,9,10
Total,245,157,68,10
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,11
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,11
Robert A Brady,43,109,49,11
Lawrence M Farnese Jr,,7,0,11
John H Morley Jr,,,5,11
Total,201,116,54,11
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,12
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,12
Robert A Brady,31,132,79,12
Lawrence M Farnese Jr,,9,0,12
John H Morley Jr,,,7,12
Total,242,141,86,12
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,13
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,13
Robert A Brady,15,55,35,13
Lawrence M Farnese Jr,,1,0,13
John H Morley Jr,,,2,13
Total,105,56,37,13
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,14
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,14
Robert A Brady,35,87,57,14
Lawrence M Farnese Jr,,5,0,14
John H Morley Jr,,,1,14
Total,179,92,58,14
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,15
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,15
Robert A Brady,18,74,37,15
Lawrence M Farnese Jr,,4,0,15
John H Morley Jr,,,1,15
Total,129,78,38,15
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,16
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,16
Robert A Brady,19,66,58,16
Lawrence M Farnese Jr,,3,0,16
John H Morley Jr,,,4,16
Total,143,69,62,16
,Representative In Congress 1st District - Democrat,Senator In The General Assembly 1st District - Democrat,,17
,Robert A Brady,Lawrence M Farnese Jr,John H Morley Jr,17
Robert A Brady,45,105,52,17
Lawrence M Farnese Jr,,13,0,17
John H Morley Jr,,,8,17
Total,202,118,60,17
