col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 7th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Vincent Hughes,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Yasmeen Kaboud,Lou Agre,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Tonya Diane Bah,Waleed Shahid,All
Vincent Hughes,"3,327","16,676","13,792","13,155","12,394","11,169","10,836","10,549","10,213","9,966","10,102","10,001","9,774","9,544","9,137","8,990","7,954","7,799","7,438","7,321","7,056","7,035","6,899","6,798","6,796",All
Cindy Bass,,420,"12,700","12,651","12,043","10,113","10,465","10,510","2,956","3,112","9,636","9,926","9,564","9,438","8,860","9,087","2,121","2,109","1,829","1,785","1,618","1,601","1,536","1,407","1,389",All
Malcolm Kenyatta,,,96,"12,079","11,901","9,841","9,985","9,894","3,056","3,042","9,246","9,686","9,089","9,098","8,677","8,797","2,084","2,157","1,841","1,815","1,789","1,772","1,659","1,526","1,549",All
Katherine J Gilmore,,,,143,"11,440","9,371","9,621","9,885","2,731","2,568","8,944","9,493","8,947","9,035","8,510","8,738","1,748","1,831","1,581","1,537","1,450","1,378","1,328","1,196","1,179",All
Jerry T Jordan,,,,,60,"9,205","9,489","9,492","2,688","2,859","8,707","9,369","8,625","8,679","8,394","8,525","1,758","1,889","1,604","1,565","1,521","1,504","1,373","1,244","1,275",All
Vincent Hughes,,,,,,52,"9,653","9,150","1,696","1,803","9,833","8,889","9,178","8,948","8,884","8,665","1,471","1,602","1,293","1,430","1,172","1,500","1,489","1,245","1,275",All
Ken Washington,,,,,,,27,"9,633","1,798","1,916","9,163","9,425","9,348","9,154","8,889","8,903","1,675","1,621","1,385","1,494","1,287","1,383","1,336","1,160","1,170",All
Mary Jo Daley,,,,,,,,28,"1,590","1,637","8,675","9,681","8,969","8,961","8,444","8,698","1,365","1,520","1,176","1,201","1,134","1,016","1,044",897,865,All
Yasmeen Kaboud,,,,,,,,,203,"8,596","1,267","1,542","1,328","1,260","1,322",990,"7,558","7,314","7,253","7,039","7,118","6,772","6,512","6,695","6,612",All
Lou Agre,,,,,,,,,,156,"1,333","1,607","1,380","1,256","1,427","1,004","7,470","7,370","7,302","7,080","7,119","6,867","6,636","6,686","6,577",All
Blondell Reynolds Brown,,,,,,,,,,,24,"8,519","8,838","8,669","8,474","8,423","1,067","1,235",914,"1,073",849,"1,106","1,165",880,923,All
Mark Aronchick,,,,,,,,,,,,21,"8,595","8,757","8,360","8,544","1,405","1,522","1,193","1,216","1,135","1,103","1,022",882,885,All
Nicole Allen White,,,,,,,,,,,,,12,"8,836","8,610","8,597","1,251","1,255","1,008","1,133",899,"1,144","1,275",997,"1,064",All
Michelle W Singer,,,,,,,,,,,,,,5,"8,381","8,735","1,055","1,180",947,"1,082",831,"1,080","1,091",844,908,All
Joe Foster,,,,,,,,,,,,,,,6,"8,218","1,119","1,197",962,"1,155",904,"1,215","1,273",963,"1,120",All
Heather A Steinmiller,,,,,,,,,,,,,,,,6,780,937,702,788,630,829,884,715,661,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,41,"7,424","7,367","7,066","7,173","6,810","6,560","6,675","6,610",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,13,"7,278","6,996","7,152","6,896","6,620","6,673","6,501",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,16,"6,883","7,053","6,657","6,422","6,580","6,372",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,8,"6,693","6,706","6,568","6,563","6,485",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,4,"6,647","6,284","6,451","6,353",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,1,"6,637","6,591","6,535",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,6,"6,406","6,412",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,9,"6,366",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,6,All
Total,"32,428","18,503","15,146","14,591","13,628","12,160","11,877","11,647","11,560","11,311","11,035","11,000","10,696","10,448","9,993","9,877","9,034","8,850","8,467","8,267","8,042","7,943","7,830","7,714","7,694",All
