col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Representative In The General Assembly 195th District - Democrat,,,,Representative In Congress 2nd District - Democrat,,,,All
,Donna Bullock,Jimmie Moore,Jamar Izzo Izzard,Donnell L Jones,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,All
Donna Bullock,227,0,0,0,563,674,212,79,All
Jimmie Moore,,48,0,0,348,72,21,16,All
Jamar Izzo Izzard,,,24,0,59,94,36,15,All
Donnell L Jones,,,,0,2,0,0,0,All
Dwight Evans,,,,,57,0,0,0,All
Chaka Fattah,,,,,,44,0,0,All
Brian Anthony Gordon,,,,,,,19,0,All
Dan Muroff,,,,,,,,10,All
Total,"1,755",505,228,2,"1,029",884,288,120,All
,Representative In The General Assembly 195th District - Democrat,,,,Representative In Congress 2nd District - Democrat,,,,1
,Donna Bullock,Jimmie Moore,Jamar Izzo Izzard,Donnell L Jones,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,1
Donna Bullock,3,0,0,0,37,29,9,13,1
Jimmie Moore,,0,0,0,8,5,2,1,1
Jamar Izzo Izzard,,,1,0,1,5,3,1,1
Donnell L Jones,,,,0,0,0,0,0,1
Dwight Evans,,,,,3,0,0,0,1
Chaka Fattah,,,,,,2,0,0,1
Brian Anthony Gordon,,,,,,,3,0,1
Dan Muroff,,,,,,,,2,1
Total,91,16,11,0,49,41,17,17,1
,Representative In The General Assembly 195th District - Democrat,,,,Representative In Congress 2nd District - Democrat,,,,2
,Donna Bullock,Jimmie Moore,Jamar Izzo Izzard,Donnell L Jones,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,2
Donna Bullock,1,0,0,0,13,18,12,0,2
Jimmie Moore,,1,0,0,16,1,1,0,2
Jamar Izzo Izzard,,,0,0,2,1,1,1,2
Donnell L Jones,,,,0,0,0,0,0,2
Dwight Evans,,,,,2,0,0,0,2
Chaka Fattah,,,,,,0,0,0,2
Brian Anthony Gordon,,,,,,,1,0,2
Dan Muroff,,,,,,,,0,2
Total,44,19,5,0,33,20,15,1,2
,Representative In The General Assembly 195th District - Democrat,,,,Representative In Congress 2nd District - Democrat,,,,3
,Donna Bullock,Jimmie Moore,Jamar Izzo Izzard,Donnell L Jones,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,3
Donna Bullock,17,0,0,0,73,46,22,14,3
Jimmie Moore,,5,0,0,54,3,5,6,3
Jamar Izzo Izzard,,,1,0,7,10,6,6,3
Donnell L Jones,,,,0,1,0,0,0,3
Dwight Evans,,,,,8,0,0,0,3
Chaka Fattah,,,,,,0,0,0,3
Brian Anthony Gordon,,,,,,,4,0,3
Dan Muroff,,,,,,,,1,3
Total,172,73,30,1,143,59,37,27,3
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,,,4
