col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Jared Solomon,Mark B Cohen,Allyson Y Schwartz,Michael J Rahming,Betsy May Kilkenny,Mark B Cohen,Val Arkoosh,Mike Stack,Elaine Tomlin,Charles Quann,Linda A Fields,Louis Farinella,Henry Albert,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,All
Jared Solomon,198,0,493,278,279,213,272,218,221,196,179,184,169,173,162,151,All
Mark B Cohen,,84,268,180,171,207,146,125,117,116,115,109,113,103,92,96,All
Allyson Y Schwartz,,,9,185,377,200,377,316,312,290,137,272,123,119,240,98,All
Michael J Rahming,,,,6,132,256,140,100,102,86,225,80,234,221,52,213,All
Betsy May Kilkenny,,,,,2,120,332,259,276,255,71,246,73,67,216,53,All
Mark B Cohen,,,,,,6,120,133,128,103,234,103,245,230,67,205,All
Val Arkoosh,,,,,,,4,246,256,258,66,245,75,66,218,56,All
Mike Stack,,,,,,,,0,264,239,87,229,78,79,215,68,All
Elaine Tomlin,,,,,,,,,1,258,84,251,79,79,217,61,All
Charles Quann,,,,,,,,,,0,66,242,56,56,222,47,All
Linda A Fields,,,,,,,,,,,1,51,226,228,40,218,All
Louis Farinella,,,,,,,,,,,,1,56,53,201,44,All
Henry Albert,,,,,,,,,,,,,0,222,37,211,All
Melissa Robbins,,,,,,,,,,,,,,0,40,218,All
W Gerard Oleksiak,,,,,,,,,,,,,,,1,29,All
Bev Hahn,,,,,,,,,,,,,,,,0,All
Total,938,567,782,468,460,432,429,351,345,318,301,301,287,280,261,251,All
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,2
,Mark B Cohen,Jared Solomon,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Betsy May Kilkenny,Val Arkoosh,Charles Quann,Linda A Fields,Melissa Robbins,Elaine Tomlin,Henry Albert,Bev Hahn,Mike Stack,Louis Farinella,W Gerard Oleksiak,2
Mark B Cohen,7,0,47,33,32,24,23,21,18,16,18,17,15,14,16,14,2
Jared Solomon,,7,35,31,17,25,22,15,17,19,15,17,18,16,11,8,2
Allyson Y Schwartz,,,0,24,18,40,41,29,12,12,25,11,11,25,24,21,2
Michael J Rahming,,,,0,31,21,23,13,26,29,11,28,28,9,11,4,2
Mark B Cohen,,,,,0,11,13,14,27,26,14,27,25,11,11,5,2
Betsy May Kilkenny,,,,,,0,37,25,7,8,25,7,7,20,22,18,2
Val Arkoosh,,,,,,,0,26,8,11,24,9,10,21,21,19,2
Charles Quann,,,,,,,,0,9,11,26,7,11,22,25,21,2
Linda A Fields,,,,,,,,,0,29,7,28,29,9,6,3,2
Melissa Robbins,,,,,,,,,,0,8,27,31,10,7,2,2
Elaine Tomlin,,,,,,,,,,,0,9,7,21,23,19,2
Henry Albert,,,,,,,,,,,,0,27,10,4,2,2
Bev Hahn,,,,,,,,,,,,,0,9,6,3,2
Mike Stack,,,,,,,,,,,,,,0,17,18,2
Louis Farinella,,,,,,,,,,,,,,,0,17,2
W Gerard Oleksiak,,,,,,,,,,,,,,,,0,2
Total,84,73,82,65,51,49,45,36,35,35,34,34,33,30,27,22,2
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,4
