col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Representative In Congress 2nd District - Democrat,,,,Attorney General - Democrat,,,All
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,All
Chaka Fattah,17,0,0,0,84,91,14,All
Dwight Evans,,11,0,0,53,59,6,All
Brian Anthony Gordon,,,0,0,32,20,8,All
Dan Muroff,,,,0,11,1,0,All
Josh Shapiro,,,,,16,0,0,All
Stephen A Zappala Jr,,,,,,20,0,All
John Morganelli,,,,,,,2,All
Total,206,129,60,12,196,191,30,All
,Attorney General - Democrat,,,Representative In Congress 2nd District - Democrat,,,,7
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,7
Stephen A Zappala Jr,16,0,0,53,46,13,0,7
Josh Shapiro,,14,0,47,34,25,7,7
John Morganelli,,,2,8,5,5,0,7
Chaka Fattah,,,,10,0,0,0,7
Dwight Evans,,,,,5,0,0,7
Brian Anthony Gordon,,,,,,0,0,7
Dan Muroff,,,,,,,0,7
Total,128,127,20,118,90,43,7,7
,Representative In Congress 2nd District - Democrat,,,,Attorney General - Democrat,,,9
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,9
Chaka Fattah,7,0,0,0,37,38,6,9
Dwight Evans,,6,0,0,19,13,1,9
Brian Anthony Gordon,,,0,0,7,7,3,9
Dan Muroff,,,,0,4,1,0,9
Josh Shapiro,,,,,2,0,0,9
Stephen A Zappala Jr,,,,,,4,0,9
John Morganelli,,,,,,,0,9
Total,88,39,17,5,69,63,10,9
