col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,State Treasurer - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Joe Torsella,Cindy Bass,Yasmeen Kaboud,Malcolm Kenyatta,Lou Agre,Katherine J Gilmore,Jerry T Jordan,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,Mary Jo Daley,Ken Washington,Mark Aronchick,Vincent Hughes,Nicole Allen White,Blondell Reynolds Brown,Michelle W Singer,Joe Foster,Heather A Steinmiller,All
Joe Torsella,384,"1,213","1,072",942,953,896,813,791,765,731,725,687,694,685,683,680,610,627,598,575,575,548,542,543,527,All
Cindy Bass,,78,308,875,295,866,821,188,166,149,154,125,132,125,118,120,662,651,614,585,600,562,578,557,565,All
Yasmeen Kaboud,,,31,329,901,303,279,777,772,741,727,723,708,698,695,692,131,145,132,126,124,118,110,122,98,All
Malcolm Kenyatta,,,,40,297,836,820,195,173,156,160,147,143,138,134,141,620,619,593,573,562,543,549,546,539,All
Lou Agre,,,,,22,260,276,772,780,744,731,728,726,712,696,684,107,130,124,104,102,101,95,108,82,All
Katherine J Gilmore,,,,,,30,777,181,145,143,135,121,121,116,110,115,614,582,573,552,545,521,539,526,530,All
Jerry T Jordan,,,,,,,8,174,157,136,143,124,125,111,107,120,586,572,573,539,525,509,518,518,522,All
Sherrie Cohen,,,,,,,,5,781,756,748,740,741,716,698,713,136,137,144,128,114,117,114,121,101,All
Ariana Flores Gordon,,,,,,,,,5,757,741,730,719,704,688,691,108,120,114,101,102,97,85,100,67,All
Carol Rose Fleischman,,,,,,,,,,0,707,714,691,687,683,674,97,109,108,94,99,88,78,91,74,All
Gwen Snyder,,,,,,,,,,,1,687,698,685,679,685,96,111,100,100,104,90,93,93,79,All
Hamdi Soysal,,,,,,,,,,,,1,687,680,659,669,76,90,89,73,81,74,59,78,58,All
William Leopold,,,,,,,,,,,,,0,697,689,701,77,99,91,97,92,82,77,98,67,All
Tonya Diane Bah,,,,,,,,,,,,,,2,679,684,68,94,76,86,89,84,68,88,65,All
Waleed Shahid,,,,,,,,,,,,,,,3,672,67,94,81,90,100,84,80,95,60,All
Margaret Lenzi,,,,,,,,,,,,,,,,1,79,100,89,97,104,97,84,104,78,All
Mary Jo Daley,,,,,,,,,,,,,,,,,4,579,589,540,550,509,540,524,539,All
Ken Washington,,,,,,,,,,,,,,,,,,1,560,569,563,527,549,542,534,All
Mark Aronchick,,,,,,,,,,,,,,,,,,,0,530,513,486,523,521,506,All
Vincent Hughes,,,,,,,,,,,,,,,,,,,,4,539,560,524,539,511,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,1,520,514,532,515,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,5,497,501,496,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,1,509,522,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,1,504,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,795","1,479","1,259","1,143","1,133","1,091",973,926,904,856,844,807,806,803,800,794,753,743,697,693,685,666,647,641,628,All
,State Treasurer - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,Joe Torsella,Cindy Bass,Yasmeen Kaboud,Malcolm Kenyatta,Lou Agre,Gwen Snyder,Katherine J Gilmore,Ken Washington,Ariana Flores Gordon,Sherrie Cohen,Nicole Allen White,Waleed Shahid,Carol Rose Fleischman,Jerry T Jordan,William Leopold,Hamdi Soysal,Margaret Lenzi,Mary Jo Daley,Tonya Diane Bah,Mark Aronchick,Michelle W Singer,Vincent Hughes,Joe Foster,Heather A Steinmiller,Blondell Reynolds Brown,1
Joe Torsella,4,63,56,50,45,43,43,39,41,41,37,40,40,36,38,37,37,28,35,34,34,33,31,30,29,1
Cindy Bass,,1,11,47,13,12,43,45,11,12,41,12,9,41,8,7,8,38,5,34,35,33,34,34,32,1
Yasmeen Kaboud,,,1,9,43,44,9,7,42,41,8,41,40,4,42,40,41,3,39,7,7,6,5,5,2,1
Malcolm Kenyatta,,,,1,7,9,45,38,6,9,35,8,4,38,5,4,5,31,3,36,33,37,33,32,32,1
Lou Agre,,,,,1,40,7,8,41,40,8,40,41,6,40,38,38,4,39,6,8,5,7,6,4,1
Gwen Snyder,,,,,,0,9,10,44,39,12,42,40,6,41,38,39,5,37,10,12,9,10,8,5,1
Katherine J Gilmore,,,,,,,0,33,5,10,34,8,4,36,6,5,5,30,3,32,34,33,33,33,30,1
Ken Washington,,,,,,,,0,9,11,42,11,7,31,7,6,7,37,5,34,34,36,33,32,32,1
Ariana Flores Gordon,,,,,,,,,0,39,9,40,40,4,40,37,39,3,38,7,8,6,7,5,4,1
Sherrie Cohen,,,,,,,,,,0,11,39,40,8,42,39,38,7,38,9,11,8,9,10,6,1
Nicole Allen White,,,,,,,,,,,0,11,7,28,7,6,7,35,5,32,33,33,32,30,29,1
Waleed Shahid,,,,,,,,,,,,0,39,5,40,37,39,3,37,9,11,8,8,7,5,1
Carol Rose Fleischman,,,,,,,,,,,,,0,4,41,39,38,2,38,6,8,3,6,5,2,1
Jerry T Jordan,,,,,,,,,,,,,,0,4,4,4,29,2,29,30,31,31,30,28,1
William Leopold,,,,,,,,,,,,,,,0,40,40,2,39,5,7,4,6,5,1,1
Hamdi Soysal,,,,,,,,,,,,,,,,0,36,3,37,5,7,4,5,5,2,1
Margaret Lenzi,,,,,,,,,,,,,,,,,0,1,37,5,6,4,6,5,2,1
Mary Jo Daley,,,,,,,,,,,,,,,,,,0,1,28,30,30,29,30,27,1
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,1,3,5,3,3,3,1,1
Mark Aronchick,,,,,,,,,,,,,,,,,,,,0,32,32,29,30,28,1
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,0,32,31,34,30,1
Vincent Hughes,,,,,,,,,,,,,,,,,,,,,,0,34,31,33,1
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,0,31,30,1
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,0,29,1
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,128,79,65,60,54,51,51,50,48,47,46,46,45,44,44,43,43,41,41,40,40,39,38,36,35,1
,State Treasurer - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,2
,Joe Torsella,Cindy Bass,Malcolm Kenyatta,Yasmeen Kaboud,Lou Agre,Katherine J Gilmore,Ariana Flores Gordon,Jerry T Jordan,Ken Washington,Gwen Snyder,Sherrie Cohen,Carol Rose Fleischman,Mary Jo Daley,Nicole Allen White,William Leopold,Tonya Diane Bah,Hamdi Soysal,Heather A Steinmiller,Blondell Reynolds Brown,Mark Aronchick,Vincent Hughes,Waleed Shahid,Joe Foster,Margaret Lenzi,Michelle W Singer,2
Joe Torsella,9,65,57,66,62,47,54,46,40,48,49,46,37,35,45,44,43,32,31,35,31,38,30,38,28,2
Cindy Bass,,2,57,23,22,51,18,50,44,15,16,14,40,40,13,13,13,38,35,37,35,9,32,6,34,2
Malcolm Kenyatta,,,5,27,23,50,21,49,44,17,18,18,39,36,15,14,16,37,35,35,34,13,32,10,33,2
