col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Senator In The General Assembly 1st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Lawrence M Farnese Jr,John H Morley Jr,Cindy Bass,Katherine J Gilmore,Malcolm Kenyatta,Jerry T Jordan,Mary Jo Daley,Mark Aronchick,Ken Washington,Michelle W Singer,Nicole Allen White,Vincent Hughes,Blondell Reynolds Brown,Heather A Steinmiller,Joe Foster,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,William Leopold,Margaret Lenzi,Hamdi Soysal,Waleed Shahid,Tonya Diane Bah,All
Lawrence M Farnese Jr,459,0,"6,158","5,660","5,665","5,543","5,269","5,291","5,167","5,038","4,985","5,013","4,898","4,861","4,861","3,185","3,072","2,937","2,876","2,811","2,739","2,688","2,661","2,649","2,567","2,561",All
John H Morley Jr,,87,"1,526","1,405","1,361","1,353","1,239","1,237","1,258","1,180","1,210","1,182","1,124","1,160","1,189","1,280","1,215","1,146","1,148","1,109","1,063","1,073","1,042","1,044","1,018","1,001",All
Cindy Bass,,,128,"7,807","7,623","7,555","7,309","7,128","7,072","6,887","6,848","6,799","6,653","6,751","6,609","1,154","1,141","1,011",909,841,818,769,770,730,685,626,All
Katherine J Gilmore,,,,34,"7,469","7,374","7,137","6,958","6,871","6,763","6,688","6,595","6,466","6,640","6,481","1,108",999,900,821,770,750,704,730,675,628,553,All
Malcolm Kenyatta,,,,,28,"7,482","7,017","6,971","6,911","6,665","6,604","6,674","6,505","6,573","6,514","1,120","1,072",926,837,773,781,782,747,751,720,618,All
Jerry T Jordan,,,,,,12,"6,924","6,948","6,818","6,600","6,496","6,546","6,374","6,493","6,433","1,089","1,118",930,843,801,790,807,742,719,671,619,All
Mary Jo Daley,,,,,,,8,"6,976","6,865","6,723","6,641","6,576","6,436","6,618","6,481",780,740,751,648,593,606,546,567,534,473,425,All
Mark Aronchick,,,,,,,,8,"6,801","6,647","6,492","6,557","6,388","6,536","6,458",829,824,830,723,659,674,681,648,596,547,488,All
Ken Washington,,,,,,,,,5,"6,648","6,642","6,645","6,436","6,568","6,590",811,789,750,687,617,652,658,612,570,564,504,All
Michelle W Singer,,,,,,,,,,2,"6,575","6,474","6,376","6,596","6,405",673,631,650,548,506,586,549,588,432,478,410,All
Nicole Allen White,,,,,,,,,,,2,"6,534","6,419","6,480","6,469",692,650,655,592,506,607,569,648,462,544,465,All
Vincent Hughes,,,,,,,,,,,,1,"6,515","6,394","6,519",655,650,629,552,477,542,583,605,451,515,428,All
Blondell Reynolds Brown,,,,,,,,,,,,,6,"6,312","6,267",586,536,555,481,419,471,479,554,400,439,369,All
Heather A Steinmiller,,,,,,,,,,,,,,1,"6,328",555,515,542,437,392,452,436,490,351,376,350,All
Joe Foster,,,,,,,,,,,,,,,2,688,668,623,573,512,570,605,625,471,564,447,All
Yasmeen Kaboud,,,,,,,,,,,,,,,,57,"4,438","4,198","4,293","4,179","4,020","3,975","3,871","4,066","3,887","3,901",All
Lou Agre,,,,,,,,,,,,,,,,,28,"4,189","4,201","4,148","3,963","3,994","3,842","4,015","3,830","3,861",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,5,"4,248","4,252","4,052","4,060","3,939","4,090","3,852","3,907",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,,10,"4,257","4,057","4,021","3,904","4,069","3,869","3,946",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,9,"4,008","3,989","3,858","4,052","3,824","3,916",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,6,"3,929","3,840","3,849","3,773","3,876",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,0,"3,893","3,905","3,886","3,880",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,2,"3,737","3,799","3,795",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,2,"3,775","3,798",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,762",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"9,716","2,871","9,130","8,374","8,306","8,138","7,694","7,668","7,530","7,315","7,287","7,269","7,101","7,079","7,078","5,400","5,158","4,918","4,851","4,751","4,578","4,537","4,478","4,472","4,346","4,314",All
