col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Jordan A Harris,L Warren Bullard,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Blondell Reynolds Brown,Mary Jo Daley,Ken Washington,Nicole Allen White,Mark Aronchick,Heather A Steinmiller,Michelle W Singer,Joe Foster,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Gwen Snyder,Margaret Lenzi,Waleed Shahid,William Leopold,Carol Rose Fleischman,Hamdi Soysal,Tonya Diane Bah,All
Jordan A Harris,73,0,794,702,673,628,444,437,436,430,421,410,406,402,400,285,251,158,150,152,145,146,146,136,135,127,All
L Warren Bullard,,4,12,13,11,9,7,7,8,7,7,7,6,6,7,3,2,2,2,1,2,2,2,2,0,2,All
Cindy Bass,,,30,654,659,638,431,420,440,430,422,415,407,402,396,114,116,43,37,46,42,31,47,30,32,26,All
Malcolm Kenyatta,,,,17,651,636,435,421,429,426,413,414,401,399,398,141,125,57,57,65,60,56,59,45,49,44,All
Katherine J Gilmore,,,,,7,629,427,407,425,414,417,409,403,401,395,123,111,50,49,52,54,45,50,37,44,35,All
Jerry T Jordan,,,,,,3,406,400,414,403,395,405,389,380,389,116,108,36,39,47,41,34,44,29,33,26,All
Vincent Hughes,,,,,,,1,444,405,423,428,391,410,398,406,46,34,28,31,36,42,28,41,19,21,23,All
Blondell Reynolds Brown,,,,,,,,3,396,414,417,383,402,391,402,40,27,20,24,32,42,30,36,17,17,18,All
Mary Jo Daley,,,,,,,,,0,408,394,421,395,387,376,47,36,34,34,34,33,24,30,24,29,17,All
Ken Washington,,,,,,,,,,0,415,394,404,395,396,46,31,27,31,36,35,24,36,20,21,18,All
Nicole Allen White,,,,,,,,,,,0,385,403,399,404,44,28,22,28,31,39,30,33,20,22,22,All
