col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,Attorney General - Democrat,,,All
,Allyson Y Schwartz,Betsy May Kilkenny,Michael J Rahming,Val Arkoosh,Mike Stack,Elaine Tomlin,Mark B Cohen,Louis Farinella,Charles Quann,Henry Albert,Linda A Fields,W Gerard Oleksiak,Melissa Robbins,Bev Hahn,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,All
Allyson Y Schwartz,591,"15,209","6,434","14,329","12,766","12,331","5,996","11,202","11,308","3,795","3,944","9,563","3,686","2,866","13,697","8,807","3,214",All
Betsy May Kilkenny,,91,"4,885","13,405","10,844","11,463","3,986","10,502","10,640","2,467","2,507","9,155","2,346","1,672","8,818","6,012","1,871",All
Michael J Rahming,,,308,"4,700","3,457","3,505","9,976","2,896","2,942","9,041","8,358","1,888","8,118","7,669","8,460","5,245","2,291",All
Val Arkoosh,,,,48,"10,056","10,575","3,472","10,096","10,207","2,126","2,050","8,842","1,886","1,426","8,213","5,353","1,715",All
Mike Stack,,,,,68,"10,740","4,221","9,938","9,793","2,609","2,964","9,127","2,815","2,168","7,609","5,188","1,286",All
Elaine Tomlin,,,,,,109,"3,872","10,329","10,506","2,429","2,536","9,002","2,391","1,749","7,702","4,674","1,244",All
Mark B Cohen,,,,,,,106,"3,166","3,088","9,555","8,889","2,094","8,556","7,848","7,465","4,205","1,640",All
Louis Farinella,,,,,,,,20,"10,027","1,887","1,772","8,683","1,639","1,221","6,335","4,500","1,129",All
Charles Quann,,,,,,,,,9,"1,894","1,854","8,851","1,713","1,184","6,518","4,218","1,119",All
Henry Albert,,,,,,,,,,12,"8,640","1,266","8,299","7,850","5,590","3,330","1,353",All
Linda A Fields,,,,,,,,,,,8,"1,418","8,551","8,122","5,657","3,269","1,312",All
W Gerard Oleksiak,,,,,,,,,,,,8,"1,282",970,"5,468","3,665",897,All
Melissa Robbins,,,,,,,,,,,,,10,"8,039","5,344","3,172","1,238",All
Bev Hahn,,,,,,,,,,,,,,3,"4,741","2,754","1,113",All
Josh Shapiro,,,,,,,,,,,,,,,"2,883",0,0,All
Stephen A Zappala Jr,,,,,,,,,,,,,,,,"2,330",0,All
John Morganelli,,,,,,,,,,,,,,,,,810,All
Total,"27,123","17,452","16,984","15,929","14,640","14,202","14,126","12,432","12,333","10,868","10,779","10,392","10,258","9,066","24,710","16,314","6,101",All
