col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Sharif Street,Allyson Y Schwartz,Elaine Tomlin,Betsy May Kilkenny,Val Arkoosh,Michael J Rahming,Charles Quann,Mike Stack,Louis Farinella,Mark B Cohen,W Gerard Oleksiak,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,All
Sharif Street,446,"3,651","2,570","2,562","2,445","2,108","1,877","1,724","1,664","1,510","1,536","1,135","1,119","1,034",849,All
Allyson Y Schwartz,,163,"2,101","2,535","2,483","1,073","1,915","1,753","1,758",803,"1,586",503,536,502,383,All
Elaine Tomlin,,,115,"1,868","1,803",612,"1,796","1,676","1,668",641,"1,531",388,423,393,285,All
Betsy May Kilkenny,,,,39,"2,320",850,"1,761","1,591","1,657",573,"1,491",359,358,326,219,All
Val Arkoosh,,,,,27,860,"1,727","1,538","1,627",531,"1,478",323,329,286,224,All
Michael J Rahming,,,,,,69,533,431,433,"1,212",337,"1,018",946,877,808,All
Charles Quann,,,,,,,7,"1,575","1,656",517,"1,510",321,346,298,207,All
Mike Stack,,,,,,,,9,"1,484",462,"1,485",273,350,320,223,All
Louis Farinella,,,,,,,,,1,423,"1,434",240,236,201,136,All
Mark B Cohen,,,,,,,,,,25,330,"1,085","1,011",944,842,All
W Gerard Oleksiak,,,,,,,,,,,0,191,243,216,159,All
Henry Albert,,,,,,,,,,,,5,957,883,815,All
Linda A Fields,,,,,,,,,,,,,8,922,857,All
Melissa Robbins,,,,,,,,,,,,,,5,836,All
Bev Hahn,,,,,,,,,,,,,,,1,All
Total,"6,433","4,204","2,968","2,919","2,779","2,385","2,113","1,955","1,893","1,748","1,728","1,307","1,296","1,183",985,All
