col_1,col_2,division
,Representative In The General Assembly 172nd District - Democrat,All
,Kevin J Boyle,All
Kevin J Boyle,285,All
Total,285,All
,Representative In The General Assembly 172nd District - Democrat,19
,Kevin J Boyle,19
Kevin J Boyle,77,19
Total,77,19
,Representative In The General Assembly 172nd District - Democrat,23
,Kevin J Boyle,23
Kevin J Boyle,107,23
Total,107,23
,Representative In The General Assembly 172nd District - Democrat,24
,Kevin J Boyle,24
Kevin J Boyle,101,24
Total,101,24
