col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 200th District - Democrat,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Blondell Reynolds Brown,Mary Jo Daley,Mark Aronchick,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Margaret Lenzi,Gwen Snyder,Hamdi Soysal,William Leopold,Tonya Diane Bah,Waleed Shahid,Chris Rabb,Tonyelle Cook Artis,Bobby Curry,All
Cindy Bass,180,"10,761","10,587","10,310","9,731","9,632","9,490","9,450","9,141","8,938","9,020","8,582","8,567","1,990","1,875","1,796","1,603","1,377","1,422","1,373","1,247","1,336","1,179","1,196","5,938","6,044","1,486",All
Malcolm Kenyatta,,20,"10,071","10,006","9,322","9,102","8,894","9,018","8,894","8,576","8,657","8,337","8,315","1,801","1,662","1,532","1,364","1,183","1,226","1,157","1,131","1,217",998,"1,037","5,086","5,131","1,007",All
Katherine J Gilmore,,,28,"9,756","9,063","8,772","8,633","9,044","8,764","8,457","8,603","8,247","8,291","1,595","1,344","1,292","1,129",983,"1,049",971,898,952,785,802,"4,863","4,941",975,All
Jerry T Jordan,,,,10,"8,949","8,687","8,490","8,783","8,665","8,266","8,400","8,155","8,112","1,575","1,538","1,357","1,160","1,015","1,097","1,013",975,"1,017",839,876,"4,716","4,826",955,All
Ken Washington,,,,,9,"8,933","8,729","8,932","8,781","8,655","8,705","8,404","8,370","1,253","1,115","1,240","1,072",917,"1,010",932,813,954,793,802,"4,484","4,612",793,All
Vincent Hughes,,,,,,8,"9,134","8,491","8,365","8,550","8,511","8,386","8,217","1,120","1,005","1,138",939,796,"1,038",854,733,899,757,804,"4,485","4,633",689,All
Blondell Reynolds Brown,,,,,,,9,"8,345","8,222","8,377","8,335","8,120","8,085","1,009",873,"1,057",850,698,901,755,645,818,688,706,"4,276","4,645",669,All
Mary Jo Daley,,,,,,,,6,"8,770","8,324","8,475","8,085","8,206","1,039",899,"1,015",824,723,820,739,684,677,559,568,"4,328","4,335",767,All
Mark Aronchick,,,,,,,,,3,"8,089","8,280","7,993","8,082","1,013",927,"1,043",852,707,823,751,698,711,546,583,"4,178","4,284",705,All
Nicole Allen White,,,,,,,,,,1,"8,312","8,139","8,076",996,866,966,838,696,991,763,627,800,682,719,"4,176","4,186",694,All
Michelle W Singer,,,,,,,,,,,2,"8,108","8,280",900,753,872,704,594,875,716,548,721,504,583,"4,109","4,267",671,All
Joe Foster,,,,,,,,,,,,1,"7,881",946,841,901,761,659,915,712,613,806,618,728,"4,011","4,086",633,All
Heather A Steinmiller,,,,,,,,,,,,,1,728,583,685,542,463,686,528,403,528,434,425,"3,881","4,033",603,All
Yasmeen Kaboud,,,,,,,,,,,,,,38,"4,913","4,497","4,588","4,379","3,988","4,224","4,285","4,111","4,065","4,049","3,390","1,829",861,All
Lou Agre,,,,,,,,,,,,,,,23,"4,503","4,485","4,363","3,974","4,168","4,276","4,161","4,045","4,009","3,186","1,641",774,All
Sherrie Cohen,,,,,,,,,,,,,,,,8,"4,588","4,517","4,160","4,321","4,383","4,254","4,131","4,065","3,105","1,560",616,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,6,"4,479","4,004","4,248","4,348","4,175","4,103","4,031","2,954","1,515",615,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,3,"3,935","4,153","4,264","4,079","4,038","3,910","2,826","1,359",568,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,1,"3,939","3,839","4,007","3,904","3,937","2,812","1,392",498,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,0,"4,053","4,061","3,979","3,922","2,741","1,345",558,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,0,"4,042","3,902","3,916","2,704","1,297",547,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,1,"3,988","3,963","2,743","1,324",511,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,2,"3,862","2,618","1,321",519,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,1,"2,660","1,295",478,All
Chris Rabb,,,,,,,,,,,,,,,,,,,,,,,,,642,0,0,All
Tonyelle Cook Artis,,,,,,,,,,,,,,,,,,,,,,,,,,725,0,All
Bobby Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,215,All
Total,"14,454","11,924","11,485","11,150","10,502","10,415","10,182","10,030","9,752","9,604","9,597","9,222","9,035","6,520","6,016","5,681","5,476","5,128","5,037","4,994","4,916","4,911","4,783","4,756","10,042","8,569","2,577",All
