col_1,col_2,col_3,division
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,All
,John J Taylor,John Brown,All
John J Taylor,167,665,All
John Brown,,20,All
Total,832,685,All
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,1
,John J Taylor,John Brown,1
John J Taylor,9,23,1
John Brown,,1,1
Total,32,24,1
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,2
,John J Taylor,John Brown,2
John J Taylor,9,24,2
John Brown,,0,2
Total,33,24,2
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,3
,John J Taylor,John Brown,3
John J Taylor,6,24,3
John Brown,,1,3
Total,30,25,3
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,6
,John J Taylor,John Brown,6
John J Taylor,8,38,6
John Brown,,3,6
Total,46,41,6
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,8
,John J Taylor,John Brown,8
John J Taylor,13,49,8
John Brown,,3,8
Total,62,52,8
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,11
,John J Taylor,John Brown,11
John J Taylor,7,55,11
John Brown,,1,11
Total,62,56,11
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,12
,John J Taylor,John Brown,12
John J Taylor,10,47,12
John Brown,,0,12
Total,57,47,12
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,18
,John J Taylor,John Brown,18
John J Taylor,8,39,18
John Brown,,3,18
Total,47,42,18
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,19
,John J Taylor,John Brown,19
John J Taylor,10,56,19
John Brown,,0,19
Total,66,56,19
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,20
,John J Taylor,John Brown,20
John J Taylor,10,47,20
John Brown,,1,20
Total,57,48,20
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,21
,John J Taylor,John Brown,21
John J Taylor,12,49,21
John Brown,,0,21
Total,61,49,21
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,22
,John J Taylor,John Brown,22
John J Taylor,12,42,22
John Brown,,2,22
Total,54,44,22
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,23
,John J Taylor,John Brown,23
John J Taylor,7,21,23
John Brown,,0,23
Total,28,21,23
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,24
,John J Taylor,John Brown,24
John J Taylor,15,61,24
John Brown,,1,24
Total,76,62,24
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,25
,John J Taylor,John Brown,25
John J Taylor,11,22,25
John Brown,,0,25
Total,33,22,25
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,27
,John J Taylor,John Brown,27
John J Taylor,6,25,27
John Brown,,4,27
Total,31,29,27
,Representative In The General Assembly 177th District - Republican,Auditor General - Republican,29
,John J Taylor,John Brown,29
John J Taylor,14,43,29
John Brown,,0,29
Total,57,43,29
