col_1,col_2,division
,Senator In The General Assembly 7th District - Democrat,All
,Vincent Hughes,All
Vincent Hughes,"4,630",All
Total,"4,630",All
,Senator In The General Assembly 7th District - Democrat,1
,Vincent Hughes,1
Vincent Hughes,144,1
Total,144,1
,Senator In The General Assembly 7th District - Democrat,2
,Vincent Hughes,2
Vincent Hughes,139,2
Total,139,2
,Senator In The General Assembly 7th District - Democrat,4
,Vincent Hughes,4
Vincent Hughes,89,4
Total,89,4
,Senator In The General Assembly 7th District - Democrat,5
,Vincent Hughes,5
Vincent Hughes,239,5
Total,239,5
,Senator In The General Assembly 7th District - Democrat,6
,Vincent Hughes,6
Vincent Hughes,131,6
Total,131,6
,Senator In The General Assembly 7th District - Democrat,7
,Vincent Hughes,7
Vincent Hughes,144,7
Total,144,7
,Senator In The General Assembly 7th District - Democrat,8
,Vincent Hughes,8
Vincent Hughes,117,8
Total,117,8
,Senator In The General Assembly 7th District - Democrat,9
,Vincent Hughes,9
Vincent Hughes,157,9
Total,157,9
,Senator In The General Assembly 7th District - Democrat,10
,Vincent Hughes,10
Vincent Hughes,129,10
Total,129,10
,Senator In The General Assembly 7th District - Democrat,11
,Vincent Hughes,11
Vincent Hughes,162,11
Total,162,11
,Senator In The General Assembly 7th District - Democrat,12
,Vincent Hughes,12
Vincent Hughes,145,12
Total,145,12
,Senator In The General Assembly 7th District - Democrat,13
,Vincent Hughes,13
Vincent Hughes,147,13
Total,147,13
,Senator In The General Assembly 7th District - Democrat,14
,Vincent Hughes,14
Vincent Hughes,266,14
Total,266,14
,Senator In The General Assembly 7th District - Democrat,15
,Vincent Hughes,15
Vincent Hughes,172,15
Total,172,15
,Senator In The General Assembly 7th District - Democrat,16
,Vincent Hughes,16
Vincent Hughes,102,16
Total,102,16
,Senator In The General Assembly 7th District - Democrat,17
,Vincent Hughes,17
Vincent Hughes,199,17
Total,199,17
,Senator In The General Assembly 7th District - Democrat,18
,Vincent Hughes,18
Vincent Hughes,144,18
Total,144,18
,Senator In The General Assembly 7th District - Democrat,19
,Vincent Hughes,19
Vincent Hughes,139,19
Total,139,19
,Senator In The General Assembly 7th District - Democrat,20
,Vincent Hughes,20
Vincent Hughes,146,20
Total,146,20
,Senator In The General Assembly 7th District - Democrat,21
,Vincent Hughes,21
Vincent Hughes,127,21
Total,127,21
,Senator In The General Assembly 7th District - Democrat,22
,Vincent Hughes,22
Vincent Hughes,223,22
Total,223,22
,Senator In The General Assembly 7th District - Democrat,29
,Vincent Hughes,29
Vincent Hughes,231,29
Total,231,29
,Senator In The General Assembly 7th District - Democrat,33
,Vincent Hughes,33
Vincent Hughes,292,33
Total,292,33
,Senator In The General Assembly 7th District - Democrat,34
,Vincent Hughes,34
Vincent Hughes,295,34
Total,295,34
,Senator In The General Assembly 7th District - Democrat,35
,Vincent Hughes,35
Vincent Hughes,212,35
Total,212,35
,Senator In The General Assembly 7th District - Democrat,36
,Vincent Hughes,36
Vincent Hughes,115,36
Total,115,36
,Senator In The General Assembly 7th District - Democrat,45
,Vincent Hughes,45
Vincent Hughes,224,45
Total,224,45
