col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharif Street,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Yasmeen Kaboud,Mary Jo Daley,Vincent Hughes,Lou Agre,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Tonya Diane Bah,Waleed Shahid,All
Sharif Street,"3,605","16,890","13,020","12,388","11,758","10,035","9,710","9,404","9,324","9,159","8,993","8,974","8,883","8,535","8,404","8,099","6,973","6,816","6,399","6,305","6,143","6,021","5,951","5,971","5,958",All
Cindy Bass,,787,"13,111","12,824","12,383","10,301","3,495","10,246","9,780","3,566","9,705","9,562","9,539","9,247","8,855","8,831","2,194","2,254","1,952","1,880","1,742","1,682","1,660","1,627","1,517",All
Malcolm Kenyatta,,,166,"12,280","12,125","9,718","3,450","9,615","9,294","3,367","9,363","9,055","8,935","8,871","8,553","8,513","2,088","2,210","1,859","1,840","1,763","1,737","1,639","1,594","1,551",All
Katherine J Gilmore,,,,195,"11,696","9,346","3,059","9,538","8,827","2,878","9,135","8,632","8,789","8,733","8,377","8,409","1,703","1,809","1,574","1,504","1,427","1,355","1,317","1,244","1,179",All
Jerry T Jordan,,,,,67,"9,188","3,036","9,201","8,698","3,139","9,011","8,458","8,489","8,444","8,286","8,224","1,756","1,866","1,597","1,561","1,507","1,473","1,390","1,302","1,267",All
Ken Washington,,,,,,40,"1,759","9,410","9,196","2,032","9,151","8,945","9,187","8,896","8,752","8,714","1,600","1,694","1,382","1,428","1,265","1,337","1,305","1,231","1,161",All
Yasmeen Kaboud,,,,,,,270,"1,569","1,447","8,183","1,548","1,205","1,353","1,189","1,314",943,"6,844","6,656","6,493","6,349","6,435","6,085","5,869","6,079","6,045",All
Mary Jo Daley,,,,,,,,26,"8,775","1,524","9,437","8,557","8,825","8,708","8,381","8,459","1,320","1,524","1,207","1,171","1,175",999,986,929,848,All
Vincent Hughes,,,,,,,,,25,"1,493","8,540","9,333","8,950","8,604","8,648","8,319","1,242","1,432","1,106","1,231",949,"1,258","1,332","1,091","1,131",All
Lou Agre,,,,,,,,,,250,"1,555","1,214","1,314","1,179","1,361","1,002","6,701","6,599","6,464","6,308","6,339","6,109","5,907","6,019","5,847",All
Mark Aronchick,,,,,,,,,,,24,"8,323","8,498","8,504","8,230","8,275","1,397","1,570","1,188","1,184","1,148","1,062","1,009",926,889,All
Blondell Reynolds Brown,,,,,,,,,,,,24,"8,738","8,449","8,364","8,218",996,"1,241",849,"1,010",760,"1,001","1,101",897,908,All
Nicole Allen White,,,,,,,,,,,,,23,"8,658","8,572","8,381","1,233","1,294","1,004","1,093",909,"1,148","1,274","1,035","1,109",All
Michelle W Singer,,,,,,,,,,,,,,6,"8,272","8,411",966,"1,124",898,"1,005",794,"1,010","1,020",804,870,All
Joe Foster,,,,,,,,,,,,,,,10,"8,073","1,122","1,241",992,"1,137",901,"1,181","1,268","1,023","1,150",All
Heather A Steinmiller,,,,,,,,,,,,,,,,6,753,915,684,747,612,783,844,719,675,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,47,"6,718","6,608","6,330","6,497","6,100","5,881","6,064","5,955",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,15,"6,555","6,283","6,492","6,175","5,959","6,059","5,862",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,18,"6,143","6,383","5,940","5,733","5,968","5,728",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,10,"6,025","5,980","5,831","5,938","5,847",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,5,"5,927","5,657","5,828","5,746",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,4,"5,951","5,968","5,878",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,6,"5,758","5,803",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,6,"5,806",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,8,All
Total,"31,197","20,201","15,387","14,708","13,817","11,815","11,463","11,211","11,063","10,967","10,667","10,654","10,514","10,134","9,914","9,622","8,337","8,203","7,719","7,553","7,370","7,209","7,165","7,146","7,113",All
