col_1,col_2,division
,Auditor General - Democrat,All
,Eugene A Depasquale,All
Eugene A Depasquale,"4,269",All
Total,"4,269",All
,Auditor General - Democrat,1
,Eugene A Depasquale,1
Eugene A Depasquale,70,1
Total,70,1
,Auditor General - Democrat,2
,Eugene A Depasquale,2
Eugene A Depasquale,59,2
Total,59,2
,Auditor General - Democrat,3
,Eugene A Depasquale,3
Eugene A Depasquale,146,3
Total,146,3
,Auditor General - Democrat,4
,Eugene A Depasquale,4
Eugene A Depasquale,102,4
Total,102,4
,Auditor General - Democrat,5
,Eugene A Depasquale,5
Eugene A Depasquale,102,5
Total,102,5
,Auditor General - Democrat,6
,Eugene A Depasquale,6
Eugene A Depasquale,85,6
Total,85,6
,Auditor General - Democrat,7
,Eugene A Depasquale,7
Eugene A Depasquale,87,7
Total,87,7
,Auditor General - Democrat,8
,Eugene A Depasquale,8
Eugene A Depasquale,116,8
Total,116,8
,Auditor General - Democrat,9
,Eugene A Depasquale,9
Eugene A Depasquale,101,9
Total,101,9
,Auditor General - Democrat,10
,Eugene A Depasquale,10
Eugene A Depasquale,100,10
Total,100,10
,Auditor General - Democrat,11
,Eugene A Depasquale,11
Eugene A Depasquale,75,11
Total,75,11
,Auditor General - Democrat,12
,Eugene A Depasquale,12
Eugene A Depasquale,92,12
Total,92,12
,Auditor General - Democrat,13
,Eugene A Depasquale,13
Eugene A Depasquale,92,13
Total,92,13
,Auditor General - Democrat,14
,Eugene A Depasquale,14
Eugene A Depasquale,66,14
Total,66,14
,Auditor General - Democrat,15
,Eugene A Depasquale,15
Eugene A Depasquale,67,15
Total,67,15
,Auditor General - Democrat,16
,Eugene A Depasquale,16
Eugene A Depasquale,88,16
Total,88,16
,Auditor General - Democrat,17
,Eugene A Depasquale,17
Eugene A Depasquale,110,17
Total,110,17
,Auditor General - Democrat,18
,Eugene A Depasquale,18
Eugene A Depasquale,115,18
Total,115,18
,Auditor General - Democrat,19
,Eugene A Depasquale,19
Eugene A Depasquale,128,19
Total,128,19
,Auditor General - Democrat,20
,Eugene A Depasquale,20
Eugene A Depasquale,115,20
Total,115,20
,Auditor General - Democrat,21
,Eugene A Depasquale,21
Eugene A Depasquale,98,21
Total,98,21
,Auditor General - Democrat,22
,Eugene A Depasquale,22
Eugene A Depasquale,80,22
Total,80,22
,Auditor General - Democrat,23
,Eugene A Depasquale,23
Eugene A Depasquale,103,23
Total,103,23
,Auditor General - Democrat,24
,Eugene A Depasquale,24
Eugene A Depasquale,138,24
Total,138,24
,Auditor General - Democrat,25
,Eugene A Depasquale,25
Eugene A Depasquale,115,25
Total,115,25
,Auditor General - Democrat,26
,Eugene A Depasquale,26
Eugene A Depasquale,111,26
Total,111,26
,Auditor General - Democrat,27
,Eugene A Depasquale,27
Eugene A Depasquale,102,27
Total,102,27
,Auditor General - Democrat,28
,Eugene A Depasquale,28
Eugene A Depasquale,96,28
Total,96,28
,Auditor General - Democrat,29
,Eugene A Depasquale,29
Eugene A Depasquale,135,29
Total,135,29
,Auditor General - Democrat,30
,Eugene A Depasquale,30
Eugene A Depasquale,93,30
Total,93,30
,Auditor General - Democrat,31
,Eugene A Depasquale,31
Eugene A Depasquale,98,31
Total,98,31
,Auditor General - Democrat,32
,Eugene A Depasquale,32
Eugene A Depasquale,56,32
Total,56,32
,Auditor General - Democrat,33
,Eugene A Depasquale,33
Eugene A Depasquale,64,33
Total,64,33
,Auditor General - Democrat,34
,Eugene A Depasquale,34
Eugene A Depasquale,116,34
Total,116,34
,Auditor General - Democrat,35
,Eugene A Depasquale,35
Eugene A Depasquale,125,35
Total,125,35
,Auditor General - Democrat,36
,Eugene A Depasquale,36
Eugene A Depasquale,52,36
Total,52,36
,Auditor General - Democrat,37
,Eugene A Depasquale,37
Eugene A Depasquale,118,37
Total,118,37
,Auditor General - Democrat,38
,Eugene A Depasquale,38
Eugene A Depasquale,44,38
Total,44,38
,Auditor General - Democrat,39
,Eugene A Depasquale,39
Eugene A Depasquale,89,39
Total,89,39
,Auditor General - Democrat,40
,Eugene A Depasquale,40
Eugene A Depasquale,87,40
Total,87,40
,Auditor General - Democrat,41
,Eugene A Depasquale,41
Eugene A Depasquale,155,41
Total,155,41
,Auditor General - Democrat,42
,Eugene A Depasquale,42
Eugene A Depasquale,88,42
Total,88,42
,Auditor General - Democrat,43
,Eugene A Depasquale,43
Eugene A Depasquale,86,43
Total,86,43
,Auditor General - Democrat,44
,Eugene A Depasquale,44
Eugene A Depasquale,104,44
Total,104,44
