col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Leanne Krueger Braneky,Cathy Brady,Ryan N Boyer,Jennifer Lentz,Angel Cruz,Ted Kirsch,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Thaddeus Kirkland,"1,063","3,455","2,902","2,748","2,762","2,672","2,697","2,634","2,523","2,416",791,771,526,363,325,279,All
Blake Rutherford,,225,"2,643","2,471","2,511","2,529","2,586","2,528","2,405","2,288",657,650,423,286,239,203,All
Anne Wakabayashi,,,31,"2,638","2,703","2,559","2,608","2,599","2,402","2,317",427,411,408,279,235,205,All
Maria Quinones Sanchez,,,,20,"2,602","2,499","2,398","2,426","2,478","2,384",357,328,351,284,276,239,All
Leanne Krueger Braneky,,,,,9,"2,508","2,454","2,455","2,385","2,317",368,352,361,261,230,185,All
Cathy Brady,,,,,,34,"2,514","2,481","2,414","2,338",397,352,375,228,243,169,All
Ryan N Boyer,,,,,,,14,"2,511","2,364","2,284",421,388,375,270,219,205,All
Jennifer Lentz,,,,,,,,15,"2,419","2,296",459,452,474,312,279,240,All
Angel Cruz,,,,,,,,,12,"2,351",335,317,329,274,265,219,All
Ted Kirsch,,,,,,,,,,8,234,219,228,198,197,173,All
H Douglass Brown,,,,,,,,,,,546,"1,575","1,298","1,091","1,011",932,All
Peter Cutty,,,,,,,,,,,,93,"1,166","1,011",920,883,All
Amanda Mcillmurray,,,,,,,,,,,,,25,"1,100","1,012",920,All
Kat Richter,,,,,,,,,,,,,,6,954,918,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,8,846,All
Jacob Adeniran,,,,,,,,,,,,,,,,1,All
Total,"5,185","3,892","3,152","3,039","2,980","2,967","2,929","2,922","2,787","2,631","2,481","1,865","1,523","1,260","1,167","1,049",All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,1
,Thaddeus Kirkland,Blake Rutherford,Ryan N Boyer,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Cathy Brady,Ted Kirsch,Angel Cruz,H Douglass Brown,Leanne Krueger Braneky,Amanda Mcillmurray,Kat Richter,Peter Cutty,Katherine Hunter Snyder,Jacob Adeniran,1
Thaddeus Kirkland,13,42,38,40,37,36,34,33,32,10,33,6,3,5,2,3,1
Blake Rutherford,,4,36,37,35,31,31,32,31,8,31,5,4,4,3,3,1
Ryan N Boyer,,,1,37,36,33,32,32,32,7,31,7,6,5,5,4,1
Anne Wakabayashi,,,,0,36,34,33,33,31,7,34,7,5,4,3,3,1
Jennifer Lentz,,,,,0,32,30,31,29,7,30,6,5,5,3,4,1
Maria Quinones Sanchez,,,,,,0,33,34,33,5,31,5,4,3,3,2,1
Cathy Brady,,,,,,,2,32,29,4,28,4,3,2,2,2,1
Ted Kirsch,,,,,,,,0,32,4,29,4,4,1,3,1,1
Angel Cruz,,,,,,,,,1,3,30,3,2,1,3,2,1
H Douglass Brown,,,,,,,,,,13,4,14,12,14,10,9,1
Leanne Krueger Braneky,,,,,,,,,,,0,5,3,2,2,2,1
Amanda Mcillmurray,,,,,,,,,,,,0,13,11,12,10,1
Kat Richter,,,,,,,,,,,,,0,10,11,9,1
Peter Cutty,,,,,,,,,,,,,,0,8,9,1
Katherine Hunter Snyder,,,,,,,,,,,,,,,0,9,1
Jacob Adeniran,,,,,,,,,,,,,,,,0,1
Total,64,49,43,42,40,40,39,37,35,35,34,17,14,14,12,10,1
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,2
,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Maria Quinones Sanchez,Leanne Krueger Braneky,Ryan N Boyer,Jennifer Lentz,Peter Cutty,Angel Cruz,Ted Kirsch,Cathy Brady,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Katherine Hunter Snyder,2
Thaddeus Kirkland,26,57,24,47,43,41,41,38,21,35,36,37,20,9,9,9,2
Blake Rutherford,,8,21,43,39,38,44,37,22,35,36,36,17,9,10,9,2
H Douglass Brown,,,8,13,14,10,12,13,34,8,7,9,30,24,23,20,2
Anne Wakabayashi,,,,0,39,40,40,35,9,32,35,34,13,6,5,8,2
Maria Quinones Sanchez,,,,,2,39,37,33,10,35,34,34,16,7,8,7,2
Leanne Krueger Braneky,,,,,,0,37,30,7,31,33,31,11,8,6,6,2
Ryan N Boyer,,,,,,,0,33,9,31,32,35,12,7,7,8,2
Jennifer Lentz,,,,,,,,1,11,32,33,31,14,7,9,7,2
Peter Cutty,,,,,,,,,3,8,6,6,25,20,20,17,2
Angel Cruz,,,,,,,,,,2,31,29,9,3,5,5,2
Ted Kirsch,,,,,,,,,,,0,30,10,6,5,5,2
Cathy Brady,,,,,,,,,,,,0,12,5,6,5,2
Amanda Mcillmurray,,,,,,,,,,,,,0,22,20,18,2
Kat Richter,,,,,,,,,,,,,,0,21,18,2
Jacob Adeniran,,,,,,,,,,,,,,,0,16,2
Katherine Hunter Snyder,,,,,,,,,,,,,,,,0,2
Total,99,74,52,50,50,45,45,42,42,40,40,39,35,25,23,22,2
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,3
,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Angel Cruz,Cathy Brady,Jennifer Lentz,Leanne Krueger Braneky,Ryan N Boyer,Ted Kirsch,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,3
Thaddeus Kirkland,28,127,99,96,98,90,91,95,94,89,22,15,13,7,6,6,3
Blake Rutherford,,6,99,95,97,93,92,96,95,90,15,11,8,6,3,3,3
Anne Wakabayashi,,,0,99,97,93,98,98,99,89,12,9,10,6,4,5,3
Maria Quinones Sanchez,,,,1,98,97,94,97,94,92,14,8,7,6,6,5,3
Angel Cruz,,,,,0,92,92,96,93,92,14,10,10,6,7,6,3
Cathy Brady,,,,,,2,91,92,91,90,15,7,8,6,7,5,3
Jennifer Lentz,,,,,,,0,91,93,88,12,8,11,6,5,6,3
Leanne Krueger Braneky,,,,,,,,0,94,91,11,5,6,4,3,3,3
Ryan N Boyer,,,,,,,,,0,87,11,7,7,5,3,4,3
Ted Kirsch,,,,,,,,,,0,9,6,5,5,4,3,3
H Douglass Brown,,,,,,,,,,,19,50,46,41,42,35,3
Peter Cutty,,,,,,,,,,,,1,37,34,36,33,3
Amanda Mcillmurray,,,,,,,,,,,,,0,41,41,34,3
Kat Richter,,,,,,,,,,,,,,0,38,35,3
Katherine Hunter Snyder,,,,,,,,,,,,,,,0,33,3
Jacob Adeniran,,,,,,,,,,,,,,,,0,3
Total,169,142,112,109,108,107,104,103,103,97,86,54,53,45,44,38,3
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,4
,Thaddeus Kirkland,Blake Rutherford,Cathy Brady,Angel Cruz,Leanne Krueger Braneky,Ted Kirsch,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Ryan N Boyer,H Douglass Brown,Peter Cutty,Jacob Adeniran,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,4
Thaddeus Kirkland,26,110,95,96,97,94,97,95,96,95,8,8,2,2,2,2,4
Blake Rutherford,,5,97,96,96,94,95,95,95,95,7,6,2,2,1,3,4
Cathy Brady,,,0,98,98,96,95,96,96,97,5,4,5,6,4,6,4
Angel Cruz,,,,0,97,97,96,96,95,98,4,3,5,4,3,4,4
Leanne Krueger Braneky,,,,,0,96,98,94,98,95,2,2,3,3,2,3,4
Ted Kirsch,,,,,,0,94,92,94,95,4,4,5,5,3,4,4
Anne Wakabayashi,,,,,,,0,94,96,95,1,1,2,2,1,2,4
Jennifer Lentz,,,,,,,,0,94,95,4,2,4,2,2,3,4
Maria Quinones Sanchez,,,,,,,,,0,94,1,1,1,1,1,2,4
Ryan N Boyer,,,,,,,,,,0,2,2,3,3,2,4,4
H Douglass Brown,,,,,,,,,,,20,34,29,27,25,24,4
Peter Cutty,,,,,,,,,,,,3,26,26,25,24,4
Jacob Adeniran,,,,,,,,,,,,,1,27,25,25,4
Amanda Mcillmurray,,,,,,,,,,,,,,1,26,25,4
Kat Richter,,,,,,,,,,,,,,,0,23,4
Katherine Hunter Snyder,,,,,,,,,,,,,,,,0,4
Total,141,117,102,101,101,99,98,98,98,98,59,39,31,30,26,26,4
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,5
,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Peter Cutty,Leanne Krueger Braneky,Jennifer Lentz,Anne Wakabayashi,Cathy Brady,Angel Cruz,Ryan N Boyer,Maria Quinones Sanchez,Amanda Mcillmurray,Ted Kirsch,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,5
Thaddeus Kirkland,24,73,32,32,40,39,42,36,32,36,30,15,26,9,4,2,5
Blake Rutherford,,9,32,30,35,37,39,35,33,36,27,16,26,12,4,3,5
