col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Senator In The General Assembly 1st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Lawrence M Farnese Jr,John H Morley Jr,Cindy Bass,Malcolm Kenyatta,Yasmeen Kaboud,Lou Agre,Jerry T Jordan,Ariana Flores Gordon,Katherine J Gilmore,Sherrie Cohen,Gwen Snyder,Carol Rose Fleischman,Waleed Shahid,Hamdi Soysal,Tonya Diane Bah,William Leopold,Mary Jo Daley,Nicole Allen White,Vincent Hughes,Ken Washington,Margaret Lenzi,Mark Aronchick,Heather A Steinmiller,Michelle W Singer,Blondell Reynolds Brown,Joe Foster,All
Lawrence M Farnese Jr,8,0,71,64,64,57,59,59,58,49,49,49,50,51,50,48,48,49,48,50,47,47,47,45,44,43,All
John H Morley Jr,,2,32,28,26,30,28,24,26,26,24,23,22,21,20,24,22,20,21,21,21,23,21,23,21,22,All
Cindy Bass,,,10,97,25,21,90,19,93,16,17,15,17,14,12,17,81,76,77,76,14,77,74,75,74,67,All
Malcolm Kenyatta,,,,0,25,21,94,18,90,17,16,16,18,14,15,18,79,75,77,76,14,78,77,75,74,68,All
Yasmeen Kaboud,,,,,0,90,25,89,26,83,79,81,78,82,77,78,13,11,10,13,74,16,11,11,7,10,All
Lou Agre,,,,,,2,23,88,19,83,80,84,78,80,77,78,10,9,9,9,74,12,8,8,5,10,All
Jerry T Jordan,,,,,,,0,22,86,17,19,17,19,14,16,19,77,75,73,76,14,78,74,71,69,72,All
Ariana Flores Gordon,,,,,,,,0,19,83,82,82,80,81,80,79,11,11,12,11,77,13,9,8,7,9,All
Katherine J Gilmore,,,,,,,,,1,17,16,15,15,13,13,16,75,70,70,67,15,71,67,71,67,63,All
Sherrie Cohen,,,,,,,,,,0,78,78,73,80,75,78,11,7,8,10,74,12,7,9,4,9,All
Gwen Snyder,,,,,,,,,,,0,76,76,74,74,76,9,11,9,10,74,12,9,7,6,11,All
Carol Rose Fleischman,,,,,,,,,,,,0,73,79,73,74,8,7,5,8,70,10,6,6,4,7,All
Waleed Shahid,,,,,,,,,,,,,0,73,78,78,10,11,9,10,74,11,11,8,6,10,All
Hamdi Soysal,,,,,,,,,,,,,,0,73,75,7,7,4,8,71,9,6,5,3,6,All
Tonya Diane Bah,,,,,,,,,,,,,,,0,77,9,9,8,10,73,10,7,8,3,8,All
William Leopold,,,,,,,,,,,,,,,,0,11,10,9,11,75,12,9,9,4,9,All
Mary Jo Daley,,,,,,,,,,,,,,,,,0,71,69,72,7,72,70,68,67,65,All
Nicole Allen White,,,,,,,,,,,,,,,,,,0,75,73,5,69,73,71,72,70,All
Vincent Hughes,,,,,,,,,,,,,,,,,,,0,72,8,67,71,70,73,68,All
Ken Washington,,,,,,,,,,,,,,,,,,,,0,6,70,71,71,69,68,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,8,8,8,5,9,All
Mark Aronchick,,,,,,,,,,,,,,,,,,,,,,0,68,67,65,65,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,0,72,70,69,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,,0,71,66,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,,,0,66,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,141,61,130,112,109,107,104,102,101,92,90,89,88,87,87,87,85,84,84,82,82,82,81,81,80,77,All
,Senator In The General Assembly 1st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,10
,Lawrence M Farnese Jr,John H Morley Jr,Cindy Bass,Malcolm Kenyatta,Yasmeen Kaboud,Lou Agre,Jerry T Jordan,Ariana Flores Gordon,Katherine J Gilmore,Sherrie Cohen,Gwen Snyder,Carol Rose Fleischman,Waleed Shahid,Hamdi Soysal,Tonya Diane Bah,William Leopold,Mary Jo Daley,Nicole Allen White,Vincent Hughes,Ken Washington,Margaret Lenzi,Mark Aronchick,Heather A Steinmiller,Michelle W Singer,Blondell Reynolds Brown,Joe Foster,10
Lawrence M Farnese Jr,8,0,71,64,64,57,59,59,58,49,49,49,50,51,50,48,48,49,48,50,47,47,47,45,44,43,10
John H Morley Jr,,2,32,28,26,30,28,24,26,26,24,23,22,21,20,24,22,20,21,21,21,23,21,23,21,22,10
Cindy Bass,,,10,97,25,21,90,19,93,16,17,15,17,14,12,17,81,76,77,76,14,77,74,75,74,67,10
Malcolm Kenyatta,,,,0,25,21,94,18,90,17,16,16,18,14,15,18,79,75,77,76,14,78,77,75,74,68,10
Yasmeen Kaboud,,,,,0,90,25,89,26,83,79,81,78,82,77,78,13,11,10,13,74,16,11,11,7,10,10
Lou Agre,,,,,,2,23,88,19,83,80,84,78,80,77,78,10,9,9,9,74,12,8,8,5,10,10
Jerry T Jordan,,,,,,,0,22,86,17,19,17,19,14,16,19,77,75,73,76,14,78,74,71,69,72,10
Ariana Flores Gordon,,,,,,,,0,19,83,82,82,80,81,80,79,11,11,12,11,77,13,9,8,7,9,10
Katherine J Gilmore,,,,,,,,,1,17,16,15,15,13,13,16,75,70,70,67,15,71,67,71,67,63,10
Sherrie Cohen,,,,,,,,,,0,78,78,73,80,75,78,11,7,8,10,74,12,7,9,4,9,10
Gwen Snyder,,,,,,,,,,,0,76,76,74,74,76,9,11,9,10,74,12,9,7,6,11,10
Carol Rose Fleischman,,,,,,,,,,,,0,73,79,73,74,8,7,5,8,70,10,6,6,4,7,10
Waleed Shahid,,,,,,,,,,,,,0,73,78,78,10,11,9,10,74,11,11,8,6,10,10
Hamdi Soysal,,,,,,,,,,,,,,0,73,75,7,7,4,8,71,9,6,5,3,6,10
Tonya Diane Bah,,,,,,,,,,,,,,,0,77,9,9,8,10,73,10,7,8,3,8,10
William Leopold,,,,,,,,,,,,,,,,0,11,10,9,11,75,12,9,9,4,9,10
Mary Jo Daley,,,,,,,,,,,,,,,,,0,71,69,72,7,72,70,68,67,65,10
Nicole Allen White,,,,,,,,,,,,,,,,,,0,75,73,5,69,73,71,72,70,10
Vincent Hughes,,,,,,,,,,,,,,,,,,,0,72,8,67,71,70,73,68,10
Ken Washington,,,,,,,,,,,,,,,,,,,,0,6,70,71,71,69,68,10
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,8,8,8,5,9,10
Mark Aronchick,,,,,,,,,,,,,,,,,,,,,,0,68,67,65,65,10
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,0,72,70,69,10
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,,0,71,66,10
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,,,0,66,10
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
Total,141,61,130,112,109,107,104,102,101,92,90,89,88,87,87,87,85,84,84,82,82,82,81,81,80,77,10
