col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,William F Keller,Yasmeen Kaboud,Lou Agre,Carol Rose Fleischman,Sherrie Cohen,Margaret Lenzi,Ariana Flores Gordon,Tonya Diane Bah,William Leopold,Gwen Snyder,Waleed Shahid,Hamdi Soysal,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Mark Aronchick,Mary Jo Daley,Vincent Hughes,Joe Foster,Heather A Steinmiller,Ken Washington,Michelle W Singer,Blondell Reynolds Brown,Nicole Allen White,All
William F Keller,17,101,97,95,92,93,91,93,92,89,87,88,63,54,55,52,50,45,46,45,45,45,45,43,38,All
Yasmeen Kaboud,,3,116,114,116,112,113,111,111,109,108,104,8,8,11,10,7,4,4,6,2,4,4,5,5,All
Lou Agre,,,1,117,115,115,114,113,113,114,112,109,13,11,15,12,10,5,7,10,7,8,8,9,10,All
Carol Rose Fleischman,,,,0,118,115,116,113,112,113,112,109,9,8,11,10,10,6,7,9,7,8,7,7,9,All
Sherrie Cohen,,,,,1,116,117,114,116,114,113,109,8,6,10,9,9,5,5,7,4,5,5,5,6,All
Margaret Lenzi,,,,,,0,116,117,117,113,111,108,11,8,13,9,10,4,7,10,6,7,6,8,9,All
Ariana Flores Gordon,,,,,,,0,114,114,110,109,108,8,6,10,8,9,5,5,8,4,5,5,6,7,All
Tonya Diane Bah,,,,,,,,0,115,111,110,109,10,8,12,9,9,4,5,8,5,6,6,8,9,All
William Leopold,,,,,,,,,0,111,110,107,10,8,12,8,11,4,6,8,4,6,5,6,6,All
Gwen Snyder,,,,,,,,,,0,110,107,10,8,13,10,9,4,6,8,6,7,7,7,9,All
Waleed Shahid,,,,,,,,,,,0,106,6,8,11,8,7,3,6,7,5,5,3,6,8,All
Hamdi Soysal,,,,,,,,,,,,0,7,6,9,6,5,3,4,7,4,5,4,6,7,All
Cindy Bass,,,,,,,,,,,,,6,56,54,56,51,51,48,45,48,47,47,44,39,All
Malcolm Kenyatta,,,,,,,,,,,,,,1,54,53,49,49,47,44,44,47,46,43,37,All
Jerry T Jordan,,,,,,,,,,,,,,,0,51,49,46,45,46,45,45,45,39,36,All
Katherine J Gilmore,,,,,,,,,,,,,,,,0,48,50,45,44,45,45,46,41,42,All
Mark Aronchick,,,,,,,,,,,,,,,,,0,48,48,45,45,44,45,42,37,All
Mary Jo Daley,,,,,,,,,,,,,,,,,,0,45,43,45,45,47,40,36,All
Vincent Hughes,,,,,,,,,,,,,,,,,,,0,46,46,46,42,41,36,All
Joe Foster,,,,,,,,,,,,,,,,,,,,0,43,44,42,39,39,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,0,44,43,40,37,All
Ken Washington,,,,,,,,,,,,,,,,,,,,,,0,44,39,35,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,0,39,37,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,,0,36,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,188,135,129,127,125,124,122,121,121,120,118,116,78,64,63,62,58,54,53,52,51,51,51,48,45,All
