col_1,col_2,division
,United States Senator - Republican,All
,Pat Toomey,All
Pat Toomey,580,All
Total,580,All
,United States Senator - Republican,1
,Pat Toomey,1
Pat Toomey,11,1
Total,11,1
,United States Senator - Republican,2
,Pat Toomey,2
Pat Toomey,20,2
Total,20,2
,United States Senator - Republican,3
,Pat Toomey,3
Pat Toomey,19,3
Total,19,3
,United States Senator - Republican,4
,Pat Toomey,4
Pat Toomey,30,4
Total,30,4
,United States Senator - Republican,5
,Pat Toomey,5
Pat Toomey,38,5
Total,38,5
,United States Senator - Republican,6
,Pat Toomey,6
Pat Toomey,51,6
Total,51,6
,United States Senator - Republican,7
,Pat Toomey,7
Pat Toomey,52,7
Total,52,7
,United States Senator - Republican,8
,Pat Toomey,8
Pat Toomey,54,8
Total,54,8
,United States Senator - Republican,9
,Pat Toomey,9
Pat Toomey,51,9
Total,51,9
,United States Senator - Republican,10
,Pat Toomey,10
Pat Toomey,87,10
Total,87,10
,United States Senator - Republican,11
,Pat Toomey,11
Pat Toomey,80,11
Total,80,11
,United States Senator - Republican,12
,Pat Toomey,12
Pat Toomey,36,12
Total,36,12
,United States Senator - Republican,13
,Pat Toomey,13
Pat Toomey,7,13
Total,7,13
,United States Senator - Republican,14
,Pat Toomey,14
Pat Toomey,7,14
Total,7,14
,United States Senator - Republican,15
,Pat Toomey,15
Pat Toomey,16,15
Total,16,15
,United States Senator - Republican,16
,Pat Toomey,16
Pat Toomey,12,16
Total,12,16
,United States Senator - Republican,17
,Pat Toomey,17
Pat Toomey,9,17
Total,9,17
