col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 195th District - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Donna Bullock,Jamar Izzo Izzard,Jimmie Moore,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Jennifer Lentz,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Angel Cruz,Ted Kirsch,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,All
Donna Bullock,293,0,0,"2,214","1,976","1,860","1,823","1,779","1,728","1,709","1,703","1,670","1,631","1,301","1,172","1,148","1,065","1,046",978,All
Jamar Izzo Izzard,,29,0,168,147,133,137,129,127,126,115,120,120,253,233,221,208,206,190,All
Jimmie Moore,,,24,165,149,149,133,149,134,149,133,135,136,147,136,147,138,138,129,All
Thaddeus Kirkland,,,,25,"2,266","2,100","1,992","1,978","1,962","1,974","1,923","1,880","1,862",390,372,353,309,299,250,All
Blake Rutherford,,,,,7,"2,022","1,905","1,934","1,880","1,954","1,877","1,852","1,834",339,325,291,258,253,208,All
Anne Wakabayashi,,,,,,6,"1,985","1,988","1,980","1,962","1,924","1,866","1,837",312,290,326,287,276,240,All
Maria Quinones Sanchez,,,,,,,3,"1,885","1,928","1,849","1,877","1,892","1,859",303,277,315,312,292,255,All
Jennifer Lentz,,,,,,,,2,"1,888","1,883","1,882","1,862","1,816",307,303,342,285,284,243,All
Leanne Krueger Braneky,,,,,,,,,2,"1,840","1,866","1,826","1,807",247,239,260,238,224,198,All
Ryan N Boyer,,,,,,,,,,0,"1,830","1,819","1,791",263,251,258,236,232,193,All
Cathy Brady,,,,,,,,,,,3,"1,819","1,800",229,220,243,218,202,158,All
Angel Cruz,,,,,,,,,,,,3,"1,817",228,223,240,233,212,193,All
Ted Kirsch,,,,,,,,,,,,,0,206,206,200,216,189,178,All
H Douglass Brown,,,,,,,,,,,,,,32,"1,584","1,534","1,450","1,439","1,378",All
Peter Cutty,,,,,,,,,,,,,,,6,"1,480","1,392","1,388","1,359",All
Amanda Mcillmurray,,,,,,,,,,,,,,,,2,"1,458","1,463","1,381",All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,2,"1,427","1,361",All
Kat Richter,,,,,,,,,,,,,,,,,,1,"1,364",All
Jacob Adeniran,,,,,,,,,,,,,,,,,,,1,All
Total,"3,805",449,353,"2,769","2,465","2,320","2,259","2,225","2,151","2,145","2,118","2,086","2,045","1,945","1,758","1,721","1,604","1,586","1,485",All
