col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,William Leopold,Waleed Shahid,Tonya Diane Bah,Margaret Lenzi,Morgan Cephas,Steven Jones,Edwin Santana,Jess Johnson,Lynwood W Savage,All
Cindy Bass,61,"2,536","2,476","2,374","2,025","2,088","2,032","1,918","1,953","1,860","1,836","1,698","1,724",569,629,403,410,361,309,333,307,276,266,274,"1,573","1,099",320,255,343,All
Malcolm Kenyatta,,14,"2,410","2,348","1,986","1,989","1,945","1,864","1,902","1,780","1,775","1,658","1,678",602,599,429,448,359,372,343,359,320,308,324,"1,363",828,287,199,297,All
Katherine J Gilmore,,,19,"2,236","1,857","1,895","1,890","1,765","1,840","1,703","1,733","1,599","1,643",523,494,339,348,300,286,279,262,229,228,230,"1,302",794,254,177,287,All
Jerry T Jordan,,,,6,"1,797","1,859","1,830","1,723","1,809","1,659","1,683","1,583","1,622",520,559,339,362,297,280,283,278,242,241,241,"1,190",738,241,161,281,All
Vincent Hughes,,,,,15,"1,904","1,754","1,993","1,726","1,797","1,751","1,681","1,654",363,369,318,337,272,248,277,315,275,269,279,"1,113",590,254,120,271,All
Ken Washington,,,,,,3,"1,880","1,826","1,853","1,858","1,807","1,685","1,709",350,380,328,325,283,234,276,255,248,224,241,"1,048",570,236,143,267,All
Mary Jo Daley,,,,,,,0,"1,688","1,888","1,704","1,725","1,594","1,648",299,305,253,287,202,199,211,181,155,163,176,981,559,231,116,263,All
Blondell Reynolds Brown,,,,,,,,4,"1,687","1,738","1,698","1,636","1,618",279,288,233,275,189,182,208,234,201,184,205,"1,010",542,218,115,256,All
Mark Aronchick,,,,,,,,,1,"1,661","1,724","1,593","1,632",302,330,279,286,227,209,233,205,184,166,182,939,520,218,123,270,All
Nicole Allen White,,,,,,,,,,0,"1,714","1,644","1,623",253,274,251,249,199,163,211,215,218,200,234,939,503,200,120,247,All
Michelle W Singer,,,,,,,,,,,0,"1,601","1,685",231,256,218,229,173,139,197,195,190,158,191,896,500,202,117,247,All
Joe Foster,,,,,,,,,,,,2,"1,544",226,235,189,202,150,141,180,196,195,158,192,832,479,184,98,219,All
Heather A Steinmiller,,,,,,,,,,,,,0,178,189,140,163,120,108,129,145,134,127,144,843,461,181,97,219,All
Yasmeen Kaboud,,,,,,,,,,,,,,16,"1,196",998,924,924,912,865,818,805,814,747,758,448,244,180,129,All
Lou Agre,,,,,,,,,,,,,,,15,984,919,953,900,868,835,809,819,759,816,422,207,148,127,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,4,942,957,910,884,824,814,817,763,501,284,204,120,120,All
Sherrie Cohen,,,,,,,,,,,,,,,,,3,903,898,839,823,769,795,764,496,266,198,102,102,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,1,889,842,794,760,796,744,463,253,185,100,109,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,0,804,792,747,768,729,422,235,187,94,96,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,0,788,779,788,739,444,232,173,96,92,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,766,788,771,432,229,173,86,78,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,2,759,737,410,233,177,86,88,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,2,732,408,216,170,87,82,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,397,213,165,87,73,All
Morgan Cephas,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,All
Steven Jones,,,,,,,,,,,,,,,,,,,,,,,,,,221,0,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0,0,All
Jess Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,All
Lynwood W Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,All
Total,"3,811","3,136","2,971","2,737","2,465","2,365","2,244","2,242","2,165","2,097","2,047","1,889","1,877","1,834","1,788","1,283","1,209","1,160","1,076","1,074","1,031","1,025","1,002",967,"3,249","1,919",723,611,571,All
