col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Mary Jo Daley,Ken Washington,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Heather A Steinmiller,Joe Foster,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Gwen Snyder,Carol Rose Fleischman,William Leopold,Tonya Diane Bah,Hamdi Soysal,Margaret Lenzi,Waleed Shahid,Vanessa L Brown,Wanda Logan,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,All
Cindy Bass,23,"1,475","1,439","1,414","1,248","1,284","1,243","1,188","1,222","1,169","1,151","1,125","1,083",245,239,189,184,161,152,136,135,126,128,122,777,393,307,150,89,48,All
Malcolm Kenyatta,,12,"1,394","1,381","1,198","1,217","1,198","1,124","1,188","1,125","1,108","1,090","1,068",240,217,172,161,145,124,134,125,119,121,116,715,276,253,142,76,44,All
Katherine J Gilmore,,,6,"1,337","1,152","1,206","1,155","1,093","1,159","1,096","1,090","1,068","1,045",224,190,154,150,128,117,105,104,106,98,99,695,269,242,119,77,45,All
Jerry T Jordan,,,,4,"1,137","1,191","1,159","1,087","1,163","1,080","1,077","1,063","1,036",211,208,156,149,131,121,118,101,105,94,101,692,242,240,114,70,43,All
Vincent Hughes,,,,,4,"1,149","1,174","1,215","1,108","1,151","1,108","1,087","1,084",145,138,151,132,127,111,137,124,100,127,117,698,177,198,134,79,42,All
Mary Jo Daley,,,,,,0,"1,171","1,085","1,195","1,107","1,098","1,080","1,058",135,127,131,117,107,95,88,90,82,78,82,681,182,189,115,78,39,All
Ken Washington,,,,,,,0,"1,115","1,138","1,134","1,108","1,090","1,070",137,131,129,128,111,92,109,90,87,89,91,663,173,182,117,76,38,All
Blondell Reynolds Brown,,,,,,,,3,"1,058","1,110","1,073","1,054","1,045",121,105,118,101,100,79,100,93,80,96,78,668,152,179,115,76,38,All
Mark Aronchick,,,,,,,,,2,"1,074","1,079","1,051","1,036",128,123,125,111,99,82,86,78,75,73,68,658,164,175,113,67,40,All
Nicole Allen White,,,,,,,,,,1,"1,091","1,067","1,060",105,90,101,98,94,71,91,86,67,91,87,640,149,169,103,76,37,All
Michelle W Singer,,,,,,,,,,,0,"1,076","1,037",95,81,83,80,87,59,76,52,54,74,67,630,145,158,101,67,38,All
Heather A Steinmiller,,,,,,,,,,,,0,"1,029",94,77,88,73,74,60,69,74,52,70,62,619,137,156,97,67,38,All
Joe Foster,,,,,,,,,,,,,1,92,92,94,79,71,55,91,72,53,85,85,609,132,155,95,67,40,All
Yasmeen Kaboud,,,,,,,,,,,,,,8,510,432,441,401,408,383,379,408,363,359,191,193,127,82,30,18,All
Lou Agre,,,,,,,,,,,,,,,6,443,452,401,418,396,374,415,372,367,174,176,134,79,34,18,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,451,406,423,414,378,417,379,363,172,123,82,80,39,17,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,2,411,418,392,377,416,374,368,163,120,90,80,31,19,All
Gwen Snyder,,,,,,,,,,,,,,,,,,0,391,393,377,379,372,361,154,114,76,69,27,15,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,0,371,359,397,349,338,147,115,85,64,24,15,All
William Leopold,,,,,,,,,,,,,,,,,,,,0,383,368,385,371,150,102,76,68,27,14,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,2,352,370,363,143,106,75,69,26,16,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,0,350,339,146,107,67,65,29,13,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,0,368,147,99,73,58,28,12,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,0,140,94,75,64,30,11,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0,0,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,0,0,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,0,0,All
Movita Johnson Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,All
Darryl Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,All
Ted Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,All
Total,"1,931","1,651","1,579","1,526","1,432","1,371","1,335","1,311","1,298","1,253","1,218","1,188","1,168",707,682,566,562,505,501,486,480,478,464,463,"1,093",628,509,275,143,80,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,1
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Mary Jo Daley,Vincent Hughes,Ken Washington,Nicole Allen White,Mark Aronchick,Heather A Steinmiller,Michelle W Singer,Blondell Reynolds Brown,Joe Foster,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Hamdi Soysal,Gwen Snyder,Carol Rose Fleischman,Tonya Diane Bah,Waleed Shahid,William Leopold,Margaret Lenzi,Vanessa L Brown,Wanda Logan,Ray Bailey,Movita Johnson Harrell,Darryl Thomas,Ted Smith,1
Cindy Bass,0,93,93,90,85,76,80,76,75,74,73,69,71,10,13,9,8,7,10,8,5,5,4,5,72,23,11,5,2,0,1
Malcolm Kenyatta,,1,89,86,79,73,74,73,72,73,72,69,69,10,11,8,8,7,9,5,5,3,4,4,65,14,10,6,1,0,1
Katherine J Gilmore,,,1,88,79,73,74,74,71,70,71,68,68,12,11,11,9,9,11,9,5,6,5,5,66,12,8,6,3,0,1
