col_1,col_2,col_3,col_4,col_5,col_6,division
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,All
,Otto Voit,Aaron Cohen,Calvin Tucker,Elizabeth Havey,Aldridk Gessa,All
Otto Voit,17,78,71,74,37,All
Aaron Cohen,,6,41,49,22,All
Calvin Tucker,,,8,40,18,All
Elizabeth Havey,,,,3,30,All
Aldridk Gessa,,,,,3,All
Total,143,91,87,84,41,All
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,2
,Otto Voit,Aaron Cohen,Elizabeth Havey,Aldridk Gessa,Calvin Tucker,2
Otto Voit,0,11,8,6,4,2
Aaron Cohen,,0,7,6,3,2
Elizabeth Havey,,,1,5,1,2
Aldridk Gessa,,,,0,1,2
Calvin Tucker,,,,,0,2
Total,13,11,9,6,4,2
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,3
,Otto Voit,Aaron Cohen,Calvin Tucker,Aldridk Gessa,Elizabeth Havey,3
Otto Voit,0,1,1,0,0,3
Aaron Cohen,,0,0,0,0,3
Calvin Tucker,,,0,0,0,3
Aldridk Gessa,,,,0,0,3
Elizabeth Havey,,,,,0,3
Total,2,1,1,0,0,3
,Delegate To The Republican National Convention 2nd District,,,,State Treasurer - Republican,4
,Aaron Cohen,Elizabeth Havey,Aldridk Gessa,Calvin Tucker,Otto Voit,4
Aaron Cohen,0,1,0,0,1,4
Elizabeth Havey,,0,0,0,1,4
Aldridk Gessa,,,0,0,0,4
Calvin Tucker,,,,0,0,4
Otto Voit,,,,,0,4
Total,1,1,0,0,1,4
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,5
,Otto Voit,Aaron Cohen,Calvin Tucker,Elizabeth Havey,Aldridk Gessa,5
Otto Voit,2,3,2,2,1,5
Aaron Cohen,,1,2,2,1,5
Calvin Tucker,,,0,1,0,5
Elizabeth Havey,,,,0,1,5
Aldridk Gessa,,,,,0,5
Total,5,4,2,2,1,5
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,6
,Otto Voit,Aaron Cohen,Elizabeth Havey,Calvin Tucker,Aldridk Gessa,6
Otto Voit,2,3,4,3,1,6
Aaron Cohen,,1,3,2,0,6
Elizabeth Havey,,,0,3,1,6
Calvin Tucker,,,,0,1,6
Aldridk Gessa,,,,,0,6
Total,6,4,4,3,1,6
,Delegate To The Republican National Convention 2nd District,,,,State Treasurer - Republican,7
,Calvin Tucker,Aaron Cohen,Elizabeth Havey,Aldridk Gessa,Otto Voit,7
Calvin Tucker,0,4,2,0,5,7
Aaron Cohen,,0,3,0,4,7
Elizabeth Havey,,,0,0,4,7
Aldridk Gessa,,,,0,0,7
Otto Voit,,,,,0,7
Total,7,6,4,0,7,7
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,8
,Otto Voit,Elizabeth Havey,Aldridk Gessa,Calvin Tucker,Aaron Cohen,8
Otto Voit,2,3,3,2,1,8
Elizabeth Havey,,1,3,1,0,8
Aldridk Gessa,,,0,1,0,8
Calvin Tucker,,,,1,0,8
Aaron Cohen,,,,,0,8
Total,7,4,3,3,1,8
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,9
,Otto Voit,Aaron Cohen,Elizabeth Havey,Calvin Tucker,Aldridk Gessa,9
Otto Voit,0,11,10,9,5,9
Aaron Cohen,,1,8,5,4,9
Elizabeth Havey,,,0,5,5,9
Calvin Tucker,,,,0,1,9
Aldridk Gessa,,,,,0,9
Total,17,13,11,10,5,9
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,10
,Otto Voit,Calvin Tucker,Aaron Cohen,Aldridk Gessa,Elizabeth Havey,10
Otto Voit,2,4,2,1,2,10
Calvin Tucker,,1,1,1,1,10
Aaron Cohen,,,0,0,0,10
Aldridk Gessa,,,,1,1,10
Elizabeth Havey,,,,,0,10
Total,8,5,2,2,2,10
,State Treasurer - Republican,Delegate To The Republican National Convention 2nd District,,,,11
,Otto Voit,Calvin Tucker,Aaron Cohen,Elizabeth Havey,Aldridk Gessa,11
Otto Voit,1,7,6,5,4,11
