col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,W Curtis Thomas,Kenneth T Walker Jr,Cindy Bass,Malcolm Kenyatta,Yasmeen Kaboud,Katherine J Gilmore,Lou Agre,Jerry T Jordan,Ariana Flores Gordon,Ken Washington,Sherrie Cohen,Carol Rose Fleischman,Mary Jo Daley,Hamdi Soysal,Vincent Hughes,Gwen Snyder,Nicole Allen White,William Leopold,Mark Aronchick,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,Blondell Reynolds Brown,Michelle W Singer,Joe Foster,Heather A Steinmiller,All
W Curtis Thomas,510,0,"1,976","1,549","1,108","1,462","1,012","1,369",793,"1,031",749,721,"1,001",696,972,699,951,674,954,677,664,654,938,898,864,844,All
Kenneth T Walker Jr,,432,979,801,"1,114",741,989,701,830,575,810,786,518,763,518,749,513,752,495,737,741,736,462,456,469,426,All
Cindy Bass,,,56,"1,988",587,"1,988",589,"1,911",374,"1,491",363,333,"1,489",302,"1,371",287,"1,383",289,"1,389",276,238,276,"1,335","1,303","1,226","1,238",All
Malcolm Kenyatta,,,,11,639,"1,905",619,"1,907",410,"1,403",414,365,"1,391",357,"1,328",338,"1,289",359,"1,363",322,304,327,"1,279","1,267","1,220","1,203",All
Yasmeen Kaboud,,,,,45,568,"1,778",551,"1,542",329,"1,493","1,481",277,"1,462",280,"1,420",273,"1,396",292,"1,385","1,386","1,350",207,226,262,166,All
Katherine J Gilmore,,,,,,8,523,"1,823",339,"1,350",351,326,"1,384",303,"1,265",283,"1,278",282,"1,313",256,232,264,"1,214","1,253","1,175","1,181",All
Lou Agre,,,,,,,19,567,"1,503",348,"1,470","1,461",263,"1,427",263,"1,380",254,"1,372",283,"1,364","1,334","1,326",187,207,245,201,All
Jerry T Jordan,,,,,,,,8,339,"1,315",347,312,"1,312",301,"1,236",292,"1,212",302,"1,288",264,245,274,"1,182","1,185","1,162","1,145",All
Ariana Flores Gordon,,,,,,,,,8,292,"1,488","1,485",237,"1,454",229,"1,407",243,"1,382",265,"1,377","1,355","1,341",164,182,218,139,All
Ken Washington,,,,,,,,,,2,292,262,"1,355",241,"1,308",237,"1,339",254,"1,316",233,202,233,"1,265","1,270","1,228","1,273",All
Sherrie Cohen,,,,,,,,,,,1,"1,458",262,"1,453",246,"1,378",247,"1,391",287,"1,365","1,330","1,347",186,209,232,146,All
Carol Rose Fleischman,,,,,,,,,,,,1,217,"1,436",208,"1,371",201,"1,356",232,"1,372","1,323","1,312",130,183,195,128,All
Mary Jo Daley,,,,,,,,,,,,,6,206,"1,236",183,"1,279",186,"1,359",159,129,162,"1,217","1,237","1,158","1,188",All
Hamdi Soysal,,,,,,,,,,,,,,0,190,"1,352",186,"1,353",220,"1,334","1,326","1,293",120,153,181,108,All
Vincent Hughes,,,,,,,,,,,,,,,0,211,"1,288",237,"1,205",214,206,236,"1,317","1,206","1,208","1,164",All
Gwen Snyder,,,,,,,,,,,,,,,,2,202,"1,333",214,"1,339","1,332","1,301",148,176,198,129,All
Nicole Allen White,,,,,,,,,,,,,,,,,4,226,"1,219",207,196,243,"1,253","1,230","1,212","1,173",All
William Leopold,,,,,,,,,,,,,,,,,,1,208,"1,356","1,332","1,339",170,196,232,136,All
Mark Aronchick,,,,,,,,,,,,,,,,,,,1,181,155,181,"1,170","1,204","1,148","1,163",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,0,"1,315","1,317",152,155,197,126,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,1,"1,318",137,152,209,100,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,0,170,189,229,138,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,1,"1,183","1,152","1,146",All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,,0,"1,137","1,188",All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,096",All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,752","2,703","3,178","2,512","2,446","2,361","2,233","2,212","1,788","1,769","1,710","1,663","1,645","1,608","1,594","1,589","1,572","1,567","1,561","1,554","1,547","1,533","1,508","1,460","1,429","1,413",All
