col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharif Street,Lou Agre,Cindy Bass,Katherine J Gilmore,Jerry T Jordan,Yasmeen Kaboud,Malcolm Kenyatta,Sherrie Cohen,Gwen Snyder,Vincent Hughes,Ariana Flores Gordon,Mary Jo Daley,Ken Washington,Margaret Lenzi,Carol Rose Fleischman,Mark Aronchick,William Leopold,Joe Foster,Hamdi Soysal,Blondell Reynolds Brown,Nicole Allen White,Waleed Shahid,Tonya Diane Bah,Michelle W Singer,Heather A Steinmiller,All
Sharif Street,99,"1,291","1,304","1,095","1,073","1,077","1,077","1,018","1,015","1,023","1,009",988,"1,015",964,948,959,945,934,915,923,897,880,873,871,832,All
Lou Agre,,107,418,333,385,"1,264",345,"1,239","1,252",320,"1,226",283,313,"1,194","1,201",278,"1,190",308,"1,161",237,217,"1,105","1,118",211,176,All
Cindy Bass,,,44,"1,369","1,319",294,"1,319",301,267,"1,205",253,"1,244","1,204",248,249,"1,209",230,"1,095",212,"1,116","1,141",184,179,"1,120","1,082",All
Katherine J Gilmore,,,,19,"1,246",254,"1,262",250,226,"1,107",211,"1,194","1,141",193,206,"1,156",195,"1,052",172,"1,038","1,089",155,143,"1,083","1,054",All
Jerry T Jordan,,,,,8,273,"1,272",285,253,"1,115",246,"1,140","1,132",230,236,"1,143",241,"1,058",217,"1,028","1,038",194,177,"1,042","1,031",All
Yasmeen Kaboud,,,,,,18,271,"1,160","1,141",167,"1,178",187,193,"1,069","1,133",191,"1,115",179,"1,136",112,150,"1,073","1,074",131,97,All
Malcolm Kenyatta,,,,,,,3,253,222,"1,108",225,"1,145","1,137",196,210,"1,148",202,"1,033",201,"1,050","1,059",175,163,"1,055","1,031",All
Sherrie Cohen,,,,,,,,2,"1,185",226,"1,201",222,233,"1,134","1,198",235,"1,181",224,"1,161",151,180,"1,093","1,108",165,142,All
Gwen Snyder,,,,,,,,,1,232,"1,178",190,230,"1,168","1,161",197,"1,155",240,"1,126",162,151,"1,088","1,106",151,121,All
Vincent Hughes,,,,,,,,,,3,176,"1,117","1,158",237,167,"1,107",193,"1,119",142,"1,136","1,076",157,143,"1,066","1,039",All
Ariana Flores Gordon,,,,,,,,,,,5,177,190,"1,112","1,184",194,"1,160",178,"1,154",106,145,"1,091","1,108",121,88,All
Mary Jo Daley,,,,,,,,,,,,7,"1,152",166,170,"1,180",154,"1,063",153,"1,035","1,088",118,114,"1,089","1,078",All
Ken Washington,,,,,,,,,,,,,0,226,179,"1,138",191,"1,119",166,"1,082","1,082",153,143,"1,075","1,048",All
Margaret Lenzi,,,,,,,,,,,,,,3,"1,093",179,"1,146",240,"1,068",171,170,"1,085","1,069",141,130,All
Carol Rose Fleischman,,,,,,,,,,,,,,,3,170,"1,144",180,"1,145",94,132,"1,073","1,101",122,100,All
Mark Aronchick,,,,,,,,,,,,,,,,1,179,"1,057",165,"1,024","1,058",134,126,"1,069","1,046",All
William Leopold,,,,,,,,,,,,,,,,,0,199,"1,124",114,147,"1,110","1,116",146,109,All
Joe Foster,,,,,,,,,,,,,,,,,,0,160,"1,028","1,031",175,151,"1,020","1,010",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,0,86,120,"1,081","1,086",113,85,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,3,"1,018",92,86,997,986,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,0,131,115,"1,048","1,024",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,1,"1,065",108,92,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,2,91,83,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,,1,"1,032",All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"2,618","1,880","1,830","1,542","1,495","1,491","1,485","1,441","1,423","1,417","1,402","1,398","1,380","1,360","1,359","1,336","1,334","1,284","1,281","1,272","1,246","1,237","1,231","1,227","1,174",All
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,3
,Sharif Street,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Vincent Hughes,Ken Washington,Jerry T Jordan,Blondell Reynolds Brown,Mary Jo Daley,Lou Agre,Michelle W Singer,Mark Aronchick,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Nicole Allen White,Sherrie Cohen,Carol Rose Fleischman,Ariana Flores Gordon,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Waleed Shahid,Tonya Diane Bah,3
Sharif Street,4,73,66,64,60,62,57,56,57,52,54,51,52,50,46,46,39,38,41,37,34,31,30,26,27,3
Cindy Bass,,2,68,66,63,60,61,57,62,22,57,59,51,53,20,52,18,17,17,13,12,10,8,5,6,3
Malcolm Kenyatta,,,0,61,59,58,61,54,58,21,55,57,54,52,18,50,18,16,14,12,13,10,9,7,6,3
