col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Eugene A Depasquale,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Yasmeen Kaboud,Mary Jo Daley,Lou Agre,Vincent Hughes,Heather A Steinmiller,Blondell Reynolds Brown,Nicole Allen White,Mark Aronchick,Michelle W Singer,Joe Foster,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Waleed Shahid,Hamdi Soysal,Margaret Lenzi,Tonya Diane Bah,William Leopold,All
Eugene A Depasquale,81,865,665,638,582,472,490,440,443,423,370,403,415,403,390,379,300,296,282,275,253,253,251,258,251,All
Cindy Bass,,119,761,733,710,568,227,551,240,505,472,503,506,519,480,457,114,123,110,96,79,89,85,89,88,All
Malcolm Kenyatta,,,38,712,705,534,229,525,233,494,452,484,484,502,463,459,106,120,99,99,83,87,95,84,93,All
Katherine J Gilmore,,,,21,674,506,215,513,211,475,437,463,462,489,454,444,102,109,100,94,74,83,81,76,82,All
Jerry T Jordan,,,,,8,492,194,495,214,455,433,445,449,475,434,435,93,101,89,80,69,74,76,73,81,All
Ken Washington,,,,,,6,103,503,155,492,517,493,509,499,471,467,88,93,75,72,64,63,72,68,74,All
Yasmeen Kaboud,,,,,,,36,92,407,88,52,66,87,86,74,74,298,293,279,277,265,269,253,252,251,All
Mary Jo Daley,,,,,,,,2,97,459,451,458,468,511,455,439,76,87,65,66,39,57,53,51,60,All
Lou Agre,,,,,,,,,17,89,104,77,90,95,78,80,294,293,282,265,251,267,251,255,252,All
Vincent Hughes,,,,,,,,,,1,441,492,478,450,437,445,63,74,59,66,68,47,76,63,67,All
Heather A Steinmiller,,,,,,,,,,,2,444,445,438,441,429,44,51,39,42,39,37,46,43,43,All
Blondell Reynolds Brown,,,,,,,,,,,,4,470,450,444,448,49,65,37,54,48,34,64,50,56,All
Nicole Allen White,,,,,,,,,,,,,1,456,445,465,72,73,60,63,69,46,75,63,70,All
Mark Aronchick,,,,,,,,,,,,,,2,444,431,72,84,59,59,41,52,53,50,54,All
Michelle W Singer,,,,,,,,,,,,,,,0,425,54,68,52,60,50,43,65,47,60,All
Joe Foster,,,,,,,,,,,,,,,,1,56,63,52,50,60,37,65,52,61,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,8,284,280,268,246,269,243,251,248,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,271,263,245,272,256,252,264,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,0,248,242,261,236,249,242,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,0,255,243,244,238,235,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,1,235,250,240,239,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,1,227,235,239,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,1,238,246,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,0,237,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"1,460","1,238",937,873,802,710,623,611,601,585,579,577,576,573,534,529,374,365,343,334,319,312,312,312,307,All
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,Eugene A Depasquale,Cindy Bass,Jerry T Jordan,Malcolm Kenyatta,Ken Washington,Lou Agre,Heather A Steinmiller,Katherine J Gilmore,Yasmeen Kaboud,Mary Jo Daley,Nicole Allen White,Michelle W Singer,Vincent Hughes,Blondell Reynolds Brown,Sherrie Cohen,Tonya Diane Bah,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Mark Aronchick,Waleed Shahid,Hamdi Soysal,Joe Foster,Margaret Lenzi,William Leopold,1
Eugene A Depasquale,2,44,33,33,27,28,24,26,28,25,23,21,23,20,25,25,23,24,22,21,22,23,19,22,23,1
Cindy Bass,,3,34,35,31,9,28,28,7,30,29,26,26,25,6,8,6,6,5,26,5,4,24,4,4,1
Jerry T Jordan,,,0,36,27,10,27,28,8,24,25,25,25,23,6,8,7,6,5,25,5,5,23,5,5,1
Malcolm Kenyatta,,,,1,28,8,27,27,5,27,27,27,25,21,4,5,4,3,4,24,2,3,23,2,3,1
Ken Washington,,,,,1,8,34,20,1,29,30,27,26,26,3,4,3,2,2,24,2,2,24,1,2,1
Lou Agre,,,,,,2,7,4,28,3,3,3,4,4,26,25,26,26,25,2,26,25,4,25,25,1
Heather A Steinmiller,,,,,,,1,20,2,26,28,27,25,25,4,5,4,3,1,25,3,3,25,2,2,1
Katherine J Gilmore,,,,,,,,2,4,21,19,20,19,17,1,3,2,1,2,20,1,1,17,1,1,1
Yasmeen Kaboud,,,,,,,,,2,1,0,1,3,2,25,24,24,25,24,2,25,24,2,25,24,1
