col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Sharif Street,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Anne Wakabayashi,Maria Quinones Sanchez,Angel Cruz,Amanda Mcillmurray,Jennifer Lentz,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Katherine Hunter Snyder,Ted Kirsch,Kat Richter,Jacob Adeniran,All
Sharif Street,217,947,706,697,578,550,533,523,529,523,515,510,504,451,467,440,423,All
Thaddeus Kirkland,,35,199,664,211,537,510,487,153,492,503,492,476,112,457,98,103,All
H Douglass Brown,,,17,158,547,122,96,101,506,117,101,112,108,446,65,457,432,All
Blake Rutherford,,,,10,158,489,458,443,104,458,455,475,451,74,419,72,62,All
Peter Cutty,,,,,5,117,99,110,460,120,110,111,84,420,64,423,419,All
Anne Wakabayashi,,,,,,5,479,457,122,480,486,489,466,89,441,85,77,All
Maria Quinones Sanchez,,,,,,,4,496,112,444,476,434,440,100,442,78,88,All
Angel Cruz,,,,,,,,21,118,460,465,446,444,99,446,82,89,All
Amanda Mcillmurray,,,,,,,,,3,131,114,112,106,463,75,465,449,All
Jennifer Lentz,,,,,,,,,,1,463,459,448,89,423,82,85,All
Leanne Krueger Braneky,,,,,,,,,,,0,453,455,86,433,79,82,All
Ryan N Boyer,,,,,,,,,,,,2,460,80,426,81,74,All
Cathy Brady,,,,,,,,,,,,,2,83,422,58,51,All
Katherine Hunter Snyder,,,,,,,,,,,,,,1,63,423,423,All
Ted Kirsch,,,,,,,,,,,,,,,1,56,49,All
Kat Richter,,,,,,,,,,,,,,,,0,432,All
Jacob Adeniran,,,,,,,,,,,,,,,,,1,All
Total,"1,856","1,071",787,782,646,610,602,597,593,571,569,560,554,507,507,496,479,All
