col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Jared Solomon,Mark B Cohen,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Jennifer Lentz,Maria Quinones Sanchez,Cathy Brady,Anne Wakabayashi,Ryan N Boyer,Angel Cruz,Leanne Krueger Braneky,Ted Kirsch,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Jared Solomon,25,0,55,46,41,34,31,28,29,30,27,26,26,23,25,24,23,22,All
Mark B Cohen,,21,50,32,30,25,25,26,25,21,23,23,20,22,18,15,15,11,All
Thaddeus Kirkland,,,0,21,65,20,49,48,45,46,42,43,42,41,12,9,8,7,All
H Douglass Brown,,,,2,16,49,12,9,11,7,10,10,9,7,42,38,37,32,All
Blake Rutherford,,,,,1,13,43,41,43,44,42,41,39,39,6,5,3,2,All
Peter Cutty,,,,,,1,10,9,7,7,8,9,7,6,31,29,32,28,All
Jennifer Lentz,,,,,,,0,42,44,44,45,42,40,41,14,12,10,9,All
Maria Quinones Sanchez,,,,,,,,0,42,43,37,43,39,43,8,8,11,8,All
Cathy Brady,,,,,,,,,0,42,41,41,39,40,10,10,8,5,All
Anne Wakabayashi,,,,,,,,,,0,41,41,39,40,7,5,7,4,All
Ryan N Boyer,,,,,,,,,,,0,39,35,38,9,9,8,6,All
Angel Cruz,,,,,,,,,,,,0,39,39,8,8,9,8,All
Leanne Krueger Braneky,,,,,,,,,,,,,0,38,10,8,7,6,All
Ted Kirsch,,,,,,,,,,,,,,0,5,6,7,7,All
Amanda Mcillmurray,,,,,,,,,,,,,,,0,38,35,31,All
Kat Richter,,,,,,,,,,,,,,,,0,33,31,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,0,30,All
Jacob Adeniran,,,,,,,,,,,,,,,,,,0,All
Total,129,99,105,81,72,61,57,55,54,52,51,49,46,46,45,40,40,35,All
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,3
,Jared Solomon,Mark B Cohen,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Maria Quinones Sanchez,Cathy Brady,Jennifer Lentz,Angel Cruz,Ted Kirsch,Ryan N Boyer,Anne Wakabayashi,Amanda Mcillmurray,Leanne Krueger Braneky,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,3
Jared Solomon,11,0,31,26,23,19,16,17,16,14,13,13,12,13,13,12,14,14,3
Mark B Cohen,,16,32,20,17,16,17,16,15,14,14,13,13,11,12,11,8,5,3
Thaddeus Kirkland,,,0,15,35,15,28,25,26,23,23,20,23,7,22,5,6,5,3
H Douglass Brown,,,,2,12,27,7,9,7,7,7,7,4,23,6,22,21,17,3
Blake Rutherford,,,,,1,10,22,23,22,22,21,21,21,3,20,2,4,2,3
Peter Cutty,,,,,,0,7,6,6,6,6,5,4,16,4,18,16,15,3
Maria Quinones Sanchez,,,,,,,0,23,22,24,25,19,23,5,20,8,6,7,3
Cathy Brady,,,,,,,,0,23,22,22,22,22,7,20,7,8,5,3
Jennifer Lentz,,,,,,,,,0,21,23,23,22,8,20,6,7,6,3
Angel Cruz,,,,,,,,,,0,21,20,21,5,21,7,6,6,3
Ted Kirsch,,,,,,,,,,,0,20,22,5,21,7,6,7,3
Ryan N Boyer,,,,,,,,,,,,0,20,6,17,6,6,4,3
Anne Wakabayashi,,,,,,,,,,,,,0,3,19,4,3,3,3
Amanda Mcillmurray,,,,,,,,,,,,,,0,6,19,20,16,3
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,4,6,5,3
Katherine Hunter Snyder,,,,,,,,,,,,,,,,0,18,17,3
Kat Richter,,,,,,,,,,,,,,,,,0,16,3
Jacob Adeniran,,,,,,,,,,,,,,,,,,0,3
Total,70,65,63,48,41,35,34,33,32,28,28,27,26,25,25,24,22,20,3
,Representative In The General Assembly 202nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,16
,Jared Solomon,Mark B Cohen,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Anne Wakabayashi,Peter Cutty,Jennifer Lentz,Ryan N Boyer,Angel Cruz,Cathy Brady,Leanne Krueger Braneky,Maria Quinones Sanchez,Amanda Mcillmurray,Kat Richter,Ted Kirsch,Katherine Hunter Snyder,Jacob Adeniran,16
Jared Solomon,14,0,24,20,18,18,15,15,14,12,12,13,12,12,10,10,11,8,16
Mark B Cohen,,5,18,12,13,8,9,10,10,9,9,8,9,7,7,8,4,6,16
